energy_MeV_per_u,sigma_el_H_mb,water_macroscopic_elastic_per_mm
0,1267.7045,0.0084753551
1,993.83417,0.00664437
2,914.10707,0.0061113471
3,847.52389,0.0056661991
4,793.98423,0.0053082547
5,749.37453,0.0050100125
6,711.11088,0.0047541973
7,677.57998,0.0045300234
8,647.71913,0.004330386
9,620.79031,0.0041503509
10,596.26636,0.0039863937
11,573.754,0.0038358852
12,552.95031,0.0036968003
13,533.62268,0.0035675836
14,515.58032,0.0034469598
15,498.67262,0.0033339218
16,482.77406,0.0032276305
17,467.77753,0.0031273698
18,453.59769,0.0030325692
19,440.15587,0.0029427027
20,427.38849,0.0028573451
21,415.24199,0.0027761386
22,403.66281,0.002698725
23,392.61248,0.0026248469
24,382.04746,0.0025542135
25,371.93933,0.0024866347
26,362.25459,0.0024218865
27,352.96481,0.0023597788
28,344.0499,0.0023001773
29,335.48309,0.0022429031
30,327.24596,0.002187833
31,319.32011,0.002134844
32,311.68712,0.002083813
33,304.33362,0.0020346505
34,297.24454,0.0019872557
35,290.40648,0.0019415393
36,283.80607,0.0018974116
37,277.43325,0.0018548056
38,271.27633,0.0018136429
39,265.32692,0.0017738676
40,259.57498,0.0017354125
41,254.01216,0.0016982217
42,248.63008,0.0016622393
43,243.42037,0.0016274093
44,238.37634,0.001593687
45,233.4913,0.0015610276
46,228.76022,0.0015293976
47,224.17474,0.0014987409
48,219.72984,0.0014690241
49,215.42049,0.0014402136
50,211.24336,0.0014122869
51,207.19006,0.0013851882
52,203.25726,0.0013588951
53,199.4416,0.0013333852
54,195.73807,0.0013086249
55,192.14333,0.0012845919
56,188.65234,0.0012612526
57,185.26176,0.0012385846
58,181.96825,0.0012165655
59,178.77012,0.0011951842
60,175.6607,0.0011743958
61,172.63997,0.0011542005
62,169.7046,0.0011345757
63,166.85005,0.0011154914
64,164.075,0.0010969385
65,161.3766,0.0010788981
66,158.75216,0.0010613522
67,156.19952,0.0010442863
68,153.71633,0.0010276847
69,151.30042,0.0010115329
70,148.94944,0.00099581523
71,146.66156,0.00098051936
72,144.43459,0.00096563074
73,142.26703,0.00095113932
74,140.15653,0.00093702943
75,138.10177,0.00092329212
76,136.10089,0.00090991508
77,134.15223,0.00089688712
78,132.25411,0.00088419706
79,130.40519,0.00087183594
80,128.60397,0.0008597937
81,126.84894,0.00084806025
82,125.13875,0.00083662667
83,123.47208,0.00082548398
84,121.84775,0.00081462437
85,120.26442,0.00080403887
86,118.72092,0.00079371967
87,117.21608,0.00078365891
88,115.74873,0.00077384879
89,114.31786,0.00076428257
90,112.92247,0.00075495355
91,111.56155,0.00074585501
92,110.23393,0.00073697913
93,108.93879,0.00072832031
94,107.67527,0.00071987295
95,106.44255,0.00071163145
96,105.23961,0.00070358912
97,104.06563,0.00069574034
98,102.91976,0.00068807954
99,101.80134,0.00068060223
