energy_MeV_per_u,total_kinetic_energy_MeV,c12_h_inelastic_cross_section_barn,c12_o_inelastic_cross_section_barn,hydrogen_macroscopic_cross_section_per_mm,oxygen_macroscopic_cross_section_per_mm,water_macroscopic_cross_section_per_mm,water_mean_free_path_mm
1,12,1.1459,0,0.00810616,0,0.00850751,117.543
2,24,1.08186,1.03661,0.00765311,0.00295951,0.0140178,71.3379
3,36,1.02803,1.36242,0.00727233,0.00388967,0.0157984,63.2974
4,48,0.984462,1.49973,0.00696412,0.0042817,0.016407,60.9494
5,60,0.94792,1.56634,0.00670562,0.00447187,0.0165976,60.2496
6,72,0.916374,1.59999,0.00648246,0.00456794,0.016605,60.2229
7,84,0.888549,1.61618,0.00628564,0.00461416,0.0165227,60.523
8,96,0.863609,1.62233,0.0061092,0.00463171,0.0163937,60.9989
9,108,0.840972,1.62236,0.00594907,0.00463181,0.0162402,61.5755
10,120,0.820222,1.61853,0.00580228,0.00462087,0.0160741,62.2121
11,132,0.801048,1.61219,0.00566665,0.00460277,0.0159021,62.8849
12,144,0.783214,1.6042,0.00554049,0.00457995,0.0157283,63.5796
13,156,0.766534,1.59511,0.0054225,0.00455402,0.0155552,64.2871
14,168,0.750861,1.58531,0.00531162,0.00452604,0.0153843,65.0015
15,180,0.736075,1.57506,0.00520702,0.00449677,0.0152163,65.7188
16,192,0.722077,1.56453,0.005108,0.0044667,0.015052,66.4366
17,204,0.708784,1.55385,0.00501397,0.00443622,0.0148914,67.1528
18,216,0.696129,1.54312,0.00492445,0.00440559,0.0147348,67.8664
19,228,0.684052,1.5324,0.00483901,0.00437498,0.0145822,68.5765
20,240,0.672502,1.52174,0.00475731,0.00434455,0.0144337,69.2825
21,252,0.661436,1.51118,0.00467903,0.00431438,0.014289,69.984
22,264,0.650816,1.50073,0.0046039,0.00428456,0.0141481,70.6808
23,276,0.640607,1.49042,0.00453168,0.00425513,0.014011,71.3727
24,288,0.630782,1.48026,0.00446218,0.00422612,0.0138774,72.0596
25,300,0.621313,1.47026,0.00439519,0.00419757,0.0137473,72.7415
26,312,0.612177,1.46043,0.00433057,0.00416949,0.0136206,73.4184
27,324,0.603354,1.45076,0.00426815,0.00414189,0.0134971,74.0903
28,336,0.594823,1.44126,0.00420781,0.00411477,0.0133767,74.7571
29,348,0.58657,1.43193,0.00414942,0.00408814,0.0132593,75.419
30,360,0.578577,1.42277,0.00409288,0.00406199,0.0131447,76.076
31,372,0.570831,1.41378,0.00403808,0.00403631,0.013033,76.7282
32,384,0.563319,1.40495,0.00398494,0.00401112,0.012924,77.3755
33,396,0.55603,1.39629,0.00393338,0.00398638,0.0128175,78.0181
34,408,0.548952,1.38779,0.00388331,0.00396211,0.0127136,78.656
35,420,0.542075,1.37945,0.00383466,0.00393829,0.0126121,79.2892
36,432,0.535391,1.37126,0.00378738,0.00391492,0.0125129,79.9178
37,444,0.52889,1.36322,0.00374139,0.00389198,0.0124159,80.5418
38,456,0.522566,1.35534,0.00369665,0.00386946,0.0123211,81.1613
39,468,0.51641,1.3476,0.0036531,0.00384736,0.0122285,81.7763
40,480,0.510415,1.34,0.0036107,0.00382567,0.0121379,82.3868
41,492,0.504576,1.33254,0.00356939,0.00380438,0.0120492,82.9929
42,504,0.498886,1.32522,0.00352914,0.00378348,0.0119625,83.5946
43,516,0.49334,1.31803,0.00348991,0.00376296,0.0118776,84.1918
44,528,0.487932,1.31098,0.00345165,0.00374281,0.0117946,84.7848
45,540,0.482657,1.30405,0.00341434,0.00372303,0.0117133,85.3733
46,552,0.477511,1.29725,0.00337793,0.00370361,0.0116337,85.9575
47,564,0.472489,1.29057,0.00334241,0.00368454,0.0115557,86.5374
48,576,0.467587,1.28401,0.00330773,0.00366581,0.0114793,87.113
49,588,0.462801,1.27756,0.00327387,0.00364742,0.0114045,87.6843
50,600,0.458127,1.27123,0.00324081,0.00362935,0.0113313,88.2513
51,612,0.453562,1.26502,0.00320852,0.0036116,0.0112595,88.814
52,624,0.449103,1.25891,0.00317697,0.00359417,0.0111891,89.3724
53,636,0.444745,1.25291,0.00314614,0.00357704,0.0111202,89.9266
54,648,0.440486,1.24702,0.00311602,0.00356022,0.0110526,90.4764
55,660,0.436323,1.24123,0.00308657,0.00354369,0.0109864,91.022
56,672,0.432254,1.23554,0.00305778,0.00352745,0.0109214,91.5633
57,684,0.428275,1.22995,0.00302963,0.00351149,0.0108577,92.1003
58,696,0.424384,1.22446,0.00300211,0.00349581,0.0107953,92.633
59,708,0.420578,1.21906,0.00297519,0.00348041,0.0107341,93.1615
60,720,0.416855,1.21376,0.00294885,0.00346526,0.010674,93.6856
61,732,0.413214,1.20855,0.00292309,0.00345038,0.0106151,94.2055
62,744,0.409651,1.20343,0.00289789,0.00343576,0.0105573,94.7211
63,756,0.406164,1.19839,0.00287322,0.00342138,0.0105006,95.2323
64,768,0.402752,1.19344,0.00284909,0.00340726,0.010445,95.7393
65,780,0.399413,1.18858,0.00282546,0.00339337,0.0103905,96.242
66,792,0.396144,1.1838,0.00280234,0.00337972,0.010337,96.7403
67,804,0.392944,1.1791,0.0027797,0.00336631,0.0102844,97.2344
68,816,0.389812,1.17448,0.00275754,0.00335312,0.0102329,97.7241
69,828,0.386745,1.16994,0.00273585,0.00334015,0.0101823,98.2095
70,840,0.383742,1.16548,0.0027146,0.00332741,0.0101327,98.6906
71,852,0.380801,1.16109,0.0026938,0.00331488,0.010084,99.1674
72,864,0.377921,1.15677,0.00267343,0.00330257,0.0100361,99.6399
73,876,0.3751,1.15253,0.00265347,0.00329046,0.00998921,100.108
74,888,0.372337,1.14836,0.00263393,0.00327855,0.00994315,100.572
75,900,0.369631,1.14426,0.00261478,0.00326685,0.00989792,101.031
76,912,0.36698,1.14023,0.00259603,0.00325534,0.00985353,101.486
77,924,0.364382,1.13627,0.00257766,0.00324403,0.00980995,101.937
78,936,0.361838,1.13238,0.00255966,0.00323291,0.00976717,102.384
79,948,0.359345,1.12854,0.00254202,0.00322197,0.00972516,102.826
80,960,0.356902,1.12478,0.00252474,0.00321122,0.00968392,103.264
81,972,0.354508,1.12108,0.0025078,0.00320065,0.00964343,103.698
82,984,0.352162,1.11744,0.00249121,0.00319026,0.00960368,104.127
83,996,0.349863,1.11386,0.00247494,0.00318004,0.00956464,104.552
