energy_MeV_per_u,c12_copper_macroscopic_inelastic_cross_section_per_mm,c12_copper_inelastic_mean_free_path_mm
1,0,0
2,0,0
3,0.00614657,162.692
4,0.0108685,92.0089
5,0.0135082,74.0292
6,0.0151382,66.0581
7,0.0162092,61.6935
8,0.0169418,59.0255
9,0.0174563,57.2858
10,0.0178232,56.1065
11,0.0180866,55.2896
12,0.018275,54.7196
13,0.018408,54.3242
14,0.0184991,54.0566
15,0.0185581,53.8847
16,0.0185922,53.786
17,0.0186066,53.7442
18,0.0186055,53.7475
19,0.018592,53.7867
20,0.0185684,53.8549
21,0.0185368,53.9468
22,0.0184986,54.0581
23,0.0184552,54.1854
24,0.0184074,54.3259
25,0.0183562,54.4775
26,0.0183022,54.6384
27,0.0182459,54.8069
28,0.0181878,54.9819
29,0.0181283,55.1623
30,0.0180678,55.3471
31,0.0180064,55.5357
32,0.0179445,55.7274
33,0.0178822,55.9216
34,0.0178197,56.1178
35,0.0177571,56.3156
36,0.0176945,56.5147
37,0.0176321,56.7148
38,0.0175699,56.9155
39,0.0175081,57.1166
40,0.0174466,57.3179
41,0.0173855,57.5192
42,0.0173249,57.7204
43,0.0172648,57.9212
44,0.0172053,58.1217
45,0.0171463,58.3215
46,0.017088,58.5207
47,0.0170302,58.7191
48,0.0169731,58.9167
49,0.0169166,59.1134
50,0.0168608,59.309
51,0.0168057,59.5036
52,0.0167512,59.6971
53,0.0166974,59.8894
54,0.0166443,60.0805
55,0.0165919,60.2703
56,0.0165402,60.4588
57,0.0164891,60.646
58,0.0164388,60.8318
59,0.0163891,61.0163
60,0.0163401,61.1993
61,0.0162917,61.3808
62,0.0162441,61.5609
63,0.0161971,61.7395
64,0.0161508,61.9166
65,0.0161051,62.0922
66,0.0160601,62.2662
67,0.0160157,62.4387
68,0.015972,62.6096
69,0.0159289,62.779
70,0.0158864,62.9468
71,0.0158446,63.1129
72,0.0158034,63.2775
73,0.0157628,63.4406
74,0.0157228,63.602
75,0.0156834,63.7618
76,0.0156446,63.9199
77,0.0156063,64.0765
78,0.0155687,64.2315
79,0.0155316,64.3849
80,0.0154951,64.5366
81,0.0154591,64.6867
82,0.0154237,64.8353
83,0.0153888,64.9822
84,0.0153545,65.1275
85,0.0153207,65.2712
86,0.0152874,65.4133
87,0.0152546,65.5538
88,0.0152224,65.6928
89,0.0151906,65.8301
90,0.0151593,65.9659
91,0.0151286,66.1001
92,0.0150983,66.2327
93,0.0150685,66.3638
94,0.0150391,66.4933
95,0.0150102,66.6213
96,0.0149818,66.7478
97,0.0149538,66.8727
98,0.0149262,66.9961
99,0.0148991,67.118
100,0.0148796,67.2061
101,0.0148533,67.3251
102,0.0148274,67.4426
103,0.014802,67.5587
104,0.0147769,67.6732
105,0.0147522,67.7863
106,0.014728,67.898
107,0.0147041,68.0082
108,0.0146806,68.1171
109,0.0146575,68.2245
110,0.0146348,68.3305
111,0.0146124,68.4351
112,0.0145904,68.5383
