energy_MeV_per_u,total_kinetic_energy_MeV,c12_h_inelastic_cross_section_barn,c12_o_inelastic_cross_section_barn,hydrogen_macroscopic_cross_section_per_mm,oxygen_macroscopic_cross_section_per_mm,water_macroscopic_cross_section_per_mm,water_mean_free_path_mm
1,12,1.1459,0,0.00747629,0,0.00754872,132.473
2,24,1.08186,1.03661,0.00705844,0.00316108,0.0107964,92.6236
3,36,1.02803,1.36242,0.00670725,0.00415459,0.0115902,86.2798
4,48,0.984462,1.49973,0.00642299,0.00457332,0.0117871,84.8386
5,60,0.94792,1.56634,0.00618458,0.00477644,0.011781,84.8823
6,72,0.916374,1.59999,0.00597876,0.00487905,0.0116917,85.5309
7,84,0.888549,1.61618,0.00579722,0.00492842,0.0115653,86.4654
8,96,0.863609,1.62233,0.0056345,0.00494717,0.0114226,87.546
9,108,0.840972,1.62236,0.00548681,0.00494728,0.0112734,88.7041
10,120,0.820222,1.61853,0.00535143,0.00493559,0.0111231,89.9028
11,132,0.801048,1.61219,0.00522633,0.00491625,0.0109744,91.1215
12,144,0.783214,1.6042,0.00510998,0.00489188,0.0108286,92.3481
13,156,0.766534,1.59511,0.00500115,0.00486418,0.0106866,93.5751
14,168,0.750861,1.58531,0.0048989,0.0048343,0.0105487,94.7983
15,180,0.736075,1.57506,0.00480242,0.00480303,0.0104151,96.0147
16,192,0.722077,1.56453,0.00471109,0.00477092,0.0102857,97.2228
17,204,0.708784,1.55385,0.00462437,0.00473837,0.0101604,98.4216
18,216,0.696129,1.54312,0.0045418,0.00470564,0.0100391,99.6106
19,228,0.684052,1.5324,0.00446301,0.00467296,0.00992166,100.79
20,240,0.672502,1.52174,0.00438765,0.00464045,0.00980792,101.958
21,252,0.661436,1.51118,0.00431545,0.00460823,0.0096977,103.117
22,264,0.650816,1.50073,0.00424616,0.00457637,0.00959084,104.266
23,276,0.640607,1.49042,0.00417956,0.00454494,0.00948717,105.405
24,288,0.630782,1.48026,0.00411545,0.00451396,0.00938656,106.535
25,300,0.621313,1.47026,0.00405367,0.00448346,0.00928886,107.656
26,312,0.612177,1.46043,0.00399407,0.00445347,0.00919394,108.767
27,324,0.603354,1.45076,0.0039365,0.00442399,0.00910166,109.87
28,336,0.594823,1.44126,0.00388085,0.00439502,0.00901192,110.964
29,348,0.58657,1.43193,0.003827,0.00436657,0.00892459,112.05
30,360,0.578577,1.42277,0.00377485,0.00433864,0.00883958,113.128
31,372,0.570831,1.41378,0.00372431,0.00431122,0.00875679,114.197
32,384,0.563319,1.40495,0.0036753,0.00428431,0.00867613,115.259
33,396,0.55603,1.39629,0.00362774,0.00425789,0.00859751,116.313
34,408,0.548952,1.38779,0.00358156,0.00423197,0.00852085,117.359
35,420,0.542075,1.37945,0.0035367,0.00420652,0.00844608,118.398
36,432,0.535391,1.37126,0.00349309,0.00418156,0.00837312,119.43
37,444,0.52889,1.36322,0.00345068,0.00415705,0.00830191,120.454
38,456,0.522566,1.35534,0.00340941,0.004133,0.00823239,121.471
39,468,0.51641,1.3476,0.00336925,0.0041094,0.00816449,122.482
40,480,0.510415,1.34,0.00333014,0.00408623,0.00809816,123.485
41,492,0.504576,1.33254,0.00329204,0.00406349,0.00803334,124.481
42,504,0.498886,1.32522,0.00325492,0.00404116,0.00797,125.471
43,516,0.49334,1.31803,0.00321873,0.00401925,0.00790807,126.453
44,528,0.487932,1.31098,0.00318345,0.00399773,0.00784751,127.429
45,540,0.482657,1.30405,0.00314903,0.0039766,0.00778828,128.398
46,552,0.477511,1.29725,0.00311546,0.00395586,0.00773034,129.36
47,564,0.472489,1.29057,0.00308269,0.00393549,0.00767366,130.316
48,576,0.467587,1.28401,0.00305071,0.00391548,0.00761818,131.265
49,588,0.462801,1.27756,0.00301949,0.00389583,0.00756389,132.207
50,600,0.458127,1.27123,0.00298899,0.00387654,0.00751074,133.143
51,612,0.453562,1.26502,0.00295921,0.00385758,0.0074587,134.072
52,624,0.449103,1.25891,0.00293011,0.00383896,0.00740774,134.994
53,636,0.444745,1.25291,0.00290168,0.00382067,0.00735784,135.909
54,648,0.440486,1.24702,0.00287389,0.0038027,0.00730896,136.818
55,660,0.436323,1.24123,0.00284673,0.00378505,0.00726108,137.721
56,672,0.432254,1.23554,0.00282018,0.0037677,0.00721416,138.616
57,684,0.428275,1.22995,0.00279422,0.00375066,0.0071682,139.505
58,696,0.424384,1.22446,0.00276884,0.00373391,0.00712315,140.387
59,708,0.420578,1.21906,0.00274401,0.00371745,0.00707901,141.263
60,720,0.416855,1.21376,0.00271972,0.00370128,0.00703574,142.131
61,732,0.413214,1.20855,0.00269596,0.00368538,0.00699333,142.993
62,744,0.409651,1.20343,0.00267271,0.00366976,0.00695175,143.849
63,756,0.406164,1.19839,0.00264996,0.00365441,0.00691098,144.697
64,768,0.402752,1.19344,0.0026277,0.00363932,0.00687102,145.539
65,780,0.399413,1.18858,0.00260592,0.00362449,0.00683183,146.374
66,792,0.396144,1.1838,0.00258459,0.00360991,0.00679339,147.202
67,804,0.392944,1.1791,0.00256371,0.00359558,0.0067557,148.023
68,816,0.389812,1.17448,0.00254328,0.00358149,0.00671874,148.837
69,828,0.386745,1.16994,0.00252327,0.00356765,0.00668248,149.645
70,840,0.383742,1.16548,0.00250367,0.00355403,0.00664692,150.446
71,852,0.380801,1.16109,0.00248448,0.00354065,0.00661203,151.24
72,864,0.377921,1.15677,0.00246569,0.0035275,0.0065778,152.026
73,876,0.3751,1.15253,0.00244729,0.00351456,0.00654423,152.806
74,888,0.372337,1.14836,0.00242926,0.00350185,0.00651129,153.579
75,900,0.369631,1.14426,0.00241161,0.00348935,0.00647897,154.346
76,912,0.36698,1.14023,0.00239431,0.00347706,0.00644725,155.105
77,924,0.364382,1.13627,0.00237737,0.00346498,0.00641613,155.857
78,936,0.361838,1.13238,0.00236076,0.0034531,0.00638559,156.603
79,948,0.359345,1.12854,0.0023445,0.00344142,0.00635563,157.341
80,960,0.356902,1.12478,0.00232856,0.00342993,0.00632622,158.072
81,972,0.354508,1.12108,0.00231294,0.00341864,0.00629735,158.797
82,984,0.352162,1.11744,0.00229763,0.00340754,0.00626903,159.514
83,996,0.349863,1.11386,0.00228263,0.00339662,0.00624122,160.225
84,1008,0.34761,1.11034,0.00226793,0.00338589,0.00621393,160.929
85,1020,0.345401,1.10687,0.00225353,0.00337533,0.00618715,161.625
86,1032,0.343237,1.10347,0.0022394,0.00336496,0.00616085,162.315
87,1044,0.341115,1.10013,0.00222556,0.00335475,0.00613504,162.998
88,1056,0.339035,1.09684,0.00221199,0.00334472,0.0061097,163.674
89,1068,0.336996,1.0936,0.00219869,0.00333486,0.00608483,164.343
90,1080,0.334997,1.09042,0.00218565,0.00332515,0.00606041,165.005
91,1092,0.333038,1.08729,0.00217286,0.00331562,0.00603644,165.66
92,1104,0.331116,1.08422,0.00216033,0.00330624,0.00601291,166.309
93,1116,0.329233,1.08119,0.00214803,0.00329701,0.0059898,166.95
94,1128,0.327385,1.07822,0.00213598,0.00328795,0.00596712,167.585
95,1140,0.325574,1.07529,0.00212417,0.00327903,0.00594484,168.213
96,1152,0.323798,1.07242,0.00211258,0.00327026,0.00592297,168.834
97,1164,0.322057,1.06959,0.00210122,0.00326164,0.0059015,169.449
98,1176,0.320349,1.06681,0.00209007,0.00325316,0.00588041,170.056
99,1188,0.318674,1.06408,0.00207914,0.00324482,0.00585971,170.657
100,1200,0.317418,1.06205,0.00207095,0.00323864,0.00584427,171.108
101,1212,0.315804,1.0594,0.00206042,0.00323057,0.00582426,171.696
102,1224,0.31422,1.0568,0.00205009,0.00322263,0.00580462,172.276
103,1236,0.312667,1.05424,0.00203995,0.00321482,0.00578533,172.851
104,1248,0.311143,1.05172,0.00203001,0.00320715,0.00576639,173.419
105,1260,0.309649,1.04925,0.00202026,0.0031996,0.00574779,173.98
106,1272,0.308183,1.04681,0.0020107,0.00319217,0.00572952,174.535
107,1284,0.306745,1.04442,0.00200132,0.00318488,0.00571158,175.083
108,1296,0.305334,1.04206,0.00199211,0.0031777,0.00569396,175.625
109,1308,0.30395,1.03975,0.00198308,0.00317064,0.00567666,176.16
110,1320,0.302592,1.03747,0.00197422,0.0031637,0.00565966,176.689
111,1332,0.30126,1.03524,0.00196553,0.00315688,0.00564297,177.212
112,1344,0.299953,1.03304,0.001957,0.00315017,0.00562657,177.728
113,1356,0.29867,1.03087,0.00194864,0.00314357,0.00561047,178.238
114,1368,0.297412,1.02874,0.00194043,0.00313708,0.00559465,178.742
115,1380,0.296177,1.02665,0.00193237,0.0031307,0.00557912,179.24
116,1392,0.294965,1.02459,0.00192446,0.00312443,0.00556385,179.732
117,1404,0.293776,1.02257,0.00191671,0.00311826,0.00554886,180.217
118,1416,0.29261,1.02058,0.00190909,0.00311219,0.00553414,180.697
119,1428,0.291464,1.01863,0.00190162,0.00310622,0.00551967,181.17
120,1440,0.290341,1.0167,0.00189429,0.00310036,0.00550546,181.638
121,1452,0.289238,1.01481,0.00188709,0.00309459,0.0054915,182.099
122,1464,0.288155,1.01295,0.00188003,0.00308892,0.00547779,182.555
123,1476,0.287093,1.01112,0.0018731,0.00308334,0.00546432,183.005
124,1488,0.28605,1.00932,0.0018663,0.00307785,0.00545109,183.45
125,1500,0.285026,1.00755,0.00185962,0.00307246,0.00543808,183.888
126,1512,0.284022,1.00581,0.00185306,0.00306715,0.00542531,184.321
127,1524,0.283035,1.0041,0.00184663,0.00306194,0.00541276,184.749
128,1536,0.282067,1.00242,0.00184031,0.00305681,0.00540043,185.17
129,1548,0.281117,1.00077,0.00183411,0.00305176,0.00538831,185.587
130,1560,0.280184,0.99914,0.00182802,0.0030468,0.00537641,185.998
131,1572,0.279268,0.99754,0.00182204,0.00304193,0.00536472,186.403
132,1584,0.278368,0.995967,0.00181618,0.00303713,0.00535323,186.803
133,1596,0.277485,0.99442,0.00181042,0.00303241,0.00534194,187.198
134,1608,0.276618,0.992899,0.00180476,0.00302777,0.00533084,187.588
135,1620,0.275767,0.991403,0.00179921,0.00302321,0.00531994,187.972
136,1632,0.274931,0.989932,0.00179375,0.00301872,0.00530923,188.351
137,1644,0.274111,0.988485,0.0017884,0.00301431,0.0052987,188.725
138,1656,0.273305,0.987062,0.00178314,0.00300997,0.00528836,189.095
139,1668,0.272514,0.985663,0.00177798,0.00300571,0.00527819,189.459
140,1680,0.271737,0.984287,0.00177291,0.00300151,0.0052682,189.818
141,1692,0.270973,0.982933,0.00176793,0.00299738,0.00525839,190.172
142,1704,0.270224,0.981602,0.00176304,0.00299333,0.00524874,190.522
143,1716,0.269488,0.980294,0.00175824,0.00298933,0.00523926,190.867
144,1728,0.268765,0.979006,0.00175352,0.00298541,0.00522994,191.207
145,1740,0.268055,0.97774,0.00174889,0.00298155,0.00522078,191.542
146,1752,0.267358,0.976495,0.00174434,0.00297775,0.00521178,191.873
147,1764,0.266673,0.975271,0.00173987,0.00297402,0.00520294,192.199
148,1776,0.266,0.974066,0.00173548,0.00297034,0.00519424,192.521
149,1788,0.265339,0.972882,0.00173117,0.00296673,0.0051857,192.838
150,1800,0.26469,0.971717,0.00172693,0.00296318,0.0051773,193.151
151,1812,0.264052,0.970571,0.00172277,0.00295969,0.00516904,193.459
152,1824,0.263426,0.969444,0.00171869,0.00295625,0.00516093,193.764
153,1836,0.26281,0.968336,0.00171467,0.00295287,0.00515295,194.064
154,1848,0.262206,0.967246,0.00171073,0.00294954,0.00514511,194.359
155,1860,0.261612,0.966173,0.00170685,0.00294628,0.0051374,194.651
156,1872,0.261028,0.965119,0.00170304,0.00294306,0.00512982,194.939
157,1884,0.260454,0.964081,0.0016993,0.0029399,0.00512237,195.222
158,1896,0.259891,0.963061,0.00169563,0.00293678,0.00511505,195.502
159,1908,0.259337,0.962057,0.00169201,0.00293372,0.00510785,195.777
160,1920,0.258793,0.96107,0.00168846,0.00293071,0.00510077,196.049
161,1932,0.258259,0.960099,0.00168498,0.00292775,0.00509381,196.317
162,1944,0.257733,0.959144,0.00168155,0.00292484,0.00508697,196.581
