energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
1,0.000246296,0.00714054,0.00845236,0.0081639,0.00787885,0.00766784,0.00747831,0.00716192,0.00661084,0.00685291,0.00641882,0.00591626,0.00548334,0.00512221,0.0047615,0.00440261,0.00404414,0.00375639,0.00353709,0.00325084,0.00303379,0.00281749,0.00260195,0.00245753,0
2,0.00445393,0.0102896,0.0118168,0.0114937,0.0111692,0.0109234,0.0107099,0.0103309,0.00989583,0.0100891,0.0096101,0.00907035,0.00859707,0.00820207,0.00780803,0.00742241,0.00703634,0.00672676,0.00647793,0.00617092,0.00593395,0.00569826,0.00546385,0.0053055,0.000851359
3,0.00569621,0.0110627,0.0125521,0.0122384,0.0119235,0.0116832,0.0114761,0.011105,0.0107131,0.0109133,0.0104611,0.00995263,0.00950616,0.0091336,0.00876191,0.00839868,0.00803495,0.00774324,0.00750782,0.00721874,0.00699516,0.0067729,0.00655196,0.00640254,0.00209006
4,0.00621241,0.0112583,0.0127056,0.0124015,0.0120963,0.0118625,0.0116618,0.0113005,0.0109364,0.0111366,0.0107048,0.0102198,0.00979364,0.00943803,0.00908325,0.00873683,0.00838989,0.00811162,0.00788652,0.00761088,0.00739745,0.00718533,0.00697453,0.00683187,0.00265331
5,0.00645736,0.011257,0.0126646,0.0123693,0.012073,0.0118454,0.0116506,0.0112987,0.0109553,0.0111534,0.0107382,0.0102722,0.0098625,0.00952065,0.00917961,0.00884678,0.00851343,0.00824604,0.00802939,0.0077646,0.00755941,0.00735552,0.00715293,0.00701578,0.00295693
6,0.00657647,0.0111748,0.0125459,0.0122586,0.0119703,0.0117484,0.011559,0.0112159,0.010889,0.0110841,0.010683,0.0102331,0.00983733,0.00950714,0.00917772,0.00885639,0.00853452,0.00827633,0.00806687,0.00781126,0.00761305,0.00741612,0.00722048,0.00708799,0.00313613
7,0.00662931,0.0110563,0.012394,0.012114,0.011833,0.0116164,0.0114318,0.0110967,0.0107838,0.0109757,0.0105868,0.0101509,0.00976729,0.00944725,0.00912796,0.00881662,0.00850476,0.00825458,0.0080514,0.00780375,0.00761163,0.00742077,0.00723118,0.00710275,0.00324733
8,0.00664428,0.0109216,0.0122286,0.0119552,0.0116809,0.0114692,0.011289,0.0109614,0.0106604,0.0108491,0.0104711,0.0100476,0.00967484,0.00936382,0.00905354,0.00875107,0.00844807,0.008205,0.00800743,0.00776685,0.00758014,0.00739467,0.00721045,0.00708564,0.00331795
9,0.0066364,0.0107805,0.0120591,0.0117919,0.0115237,0.0113165,0.0111403,0.0108197,0.0105292,0.0107147,0.0103466,0.00993428,0.00957126,0.00926838,0.00896621,0.00867174,0.00837674,0.00814009,0.00794757,0.00771337,0.00753153,0.00735093,0.00717155,0.00704999,0.00336281
10,0.00661421,0.010638,0.0118903,0.0116287,0.0113662,0.0111632,0.0109908,0.0106766,0.0103956,0.010578,0.0102188,0.00981673,0.0094626,0.00916715,0.00887239,0.00858521,0.00829751,0.0080667,0.0078788,0.00765041,0.00747303,0.00729686,0.0071219,0.00700331,0.00339054
