energy_MeVu,macroscopic_cross_section_per_mm,macro_h_per_mm,macro_o_per_mm,target_h_fraction
1.0,7.66104000e-03,7.66104000e-03,0.00000000e+00,1.000000
2.0,1.06981000e-02,7.23286000e-03,3.46519000e-03,0.676088
3.0,1.14273000e-02,6.87300000e-03,4.55428000e-03,0.601454
4.0,1.15950000e-02,6.58171000e-03,5.01330000e-03,0.567633
5.0,1.15734000e-02,6.33741000e-03,5.23596000e-03,0.547584
6.0,1.14749000e-02,6.12650000e-03,5.34844000e-03,0.533904
7.0,1.13430000e-02,5.94048000e-03,5.40256000e-03,0.523713
8.0,1.11969000e-02,5.77374000e-03,5.42311000e-03,0.515655
9.0,1.10456000e-02,5.62240000e-03,5.42323000e-03,0.509017
10.0,1.08941000e-02,5.48367000e-03,5.41042000e-03,0.503361
11.0,1.07447000e-02,5.35548000e-03,5.38922000e-03,0.498430
12.0,1.05988000e-02,5.23625000e-03,5.36250000e-03,0.494042
13.0,1.04569000e-02,5.12474000e-03,5.33214000e-03,0.490082
14.0,1.03193000e-02,5.01995000e-03,5.29939000e-03,0.486462
15.0,1.01862000e-02,4.92110000e-03,5.26511000e-03,0.483114
16.0,1.00574000e-02,4.82751000e-03,5.22991000e-03,0.479996
17.0,9.93287000e-03,4.73865000e-03,5.19422000e-03,0.477068
18.0,9.81239000e-03,4.65404000e-03,5.15835000e-03,0.474302
19.0,9.69581000e-03,4.57329000e-03,5.12252000e-03,0.471677
20.0,9.58296000e-03,4.49608000e-03,5.08688000e-03,0.469174
21.0,9.47366000e-03,4.42209000e-03,5.05156000e-03,0.466777
22.0,9.36773000e-03,4.35109000e-03,5.01664000e-03,0.464476
23.0,9.26502000e-03,4.28284000e-03,4.98218000e-03,0.462259
24.0,9.16537000e-03,4.21715000e-03,4.94822000e-03,0.460118
25.0,9.06864000e-03,4.15385000e-03,4.91479000e-03,0.458046
26.0,8.97468000e-03,4.09277000e-03,4.88191000e-03,0.456035
27.0,8.88337000e-03,4.03378000e-03,4.84960000e-03,0.454082
28.0,8.79459000e-03,3.97675000e-03,4.81784000e-03,0.452181
29.0,8.70823000e-03,3.92157000e-03,4.78666000e-03,0.450329
30.0,8.62417000e-03,3.86813000e-03,4.75604000e-03,0.448522
31.0,8.54233000e-03,3.81635000e-03,4.72598000e-03,0.446758
32.0,8.46260000e-03,3.76612000e-03,4.69648000e-03,0.445031
33.0,8.38491000e-03,3.71739000e-03,4.66752000e-03,0.443343
34.0,8.30917000e-03,3.67007000e-03,4.63910000e-03,0.441689
35.0,8.23531000e-03,3.62409000e-03,4.61121000e-03,0.440067
36.0,8.16325000e-03,3.57941000e-03,4.58384000e-03,0.438479
37.0,8.09293000e-03,3.53595000e-03,4.55698000e-03,0.436918
38.0,8.02428000e-03,3.49366000e-03,4.53062000e-03,0.435386
39.0,7.95725000e-03,3.45251000e-03,4.50474000e-03,0.433882
40.0,7.89178000e-03,3.41243000e-03,4.47935000e-03,0.432403
41.0,7.82781000e-03,3.37339000e-03,4.45442000e-03,0.430949
42.0,7.76530000e-03,3.33535000e-03,4.42994000e-03,0.429520
43.0,7.70419000e-03,3.29827000e-03,4.40592000e-03,0.428114
44.0,7.64445000e-03,3.26211000e-03,4.38233000e-03,0.426729
45.0,7.58602000e-03,3.22685000e-03,4.35917000e-03,0.425368
46.0,7.52888000e-03,3.19244000e-03,4.33643000e-03,0.424026
47.0,7.47297000e-03,3.15887000e-03,4.31410000e-03,0.422706
48.0,7.41827000e-03,3.12610000e-03,4.29217000e-03,0.421406
49.0,7.36473000e-03,3.09410000e-03,4.27063000e-03,0.420124
50.0,7.31233000e-03,3.06285000e-03,4.24948000e-03,0.418861
51.0,7.26103000e-03,3.03233000e-03,4.22870000e-03,0.417617
52.0,7.21081000e-03,3.00252000e-03,4.20829000e-03,0.416392
53.0,7.16162000e-03,2.97338000e-03,4.18824000e-03,0.415183
54.0,7.11345000e-03,2.94491000e-03,4.16854000e-03,0.413992
55.0,7.06627000e-03,2.91708000e-03,4.14919000e-03,0.412818
56.0,7.02005000e-03,2.88987000e-03,4.13017000e-03,0.411659
57.0,6.97476000e-03,2.86327000e-03,4.11149000e-03,0.410519
58.0,6.93039000e-03,2.83726000e-03,4.09313000e-03,0.409394
59.0,6.88690000e-03,2.81181000e-03,4.07509000e-03,0.408284
60.0,6.84428000e-03,2.78693000e-03,4.05736000e-03,0.407191
61.0,6.80251000e-03,2.76258000e-03,4.03993000e-03,0.406112
62.0,6.76157000e-03,2.73876000e-03,4.02281000e-03,0.405048
63.0,6.72143000e-03,2.71545000e-03,4.00598000e-03,0.403999
64.0,6.68208000e-03,2.69264000e-03,3.98944000e-03,0.402964
65.0,6.64349000e-03,2.67031000e-03,3.97318000e-03,0.401944
66.0,6.60566000e-03,2.64846000e-03,3.95720000e-03,0.400938
67.0,6.56856000e-03,2.62707000e-03,3.94149000e-03,0.399946
68.0,6.53217000e-03,2.60612000e-03,3.92605000e-03,0.398967
69.0,6.49649000e-03,2.58562000e-03,3.91087000e-03,0.398003
70.0,6.46149000e-03,2.56554000e-03,3.89595000e-03,0.397051
71.0,6.42716000e-03,2.54588000e-03,3.88128000e-03,0.396113
72.0,6.39348000e-03,2.52662000e-03,3.86686000e-03,0.395187
73.0,6.36045000e-03,2.50777000e-03,3.85268000e-03,0.394276
74.0,6.32804000e-03,2.48929000e-03,3.83874000e-03,0.393375
75.0,6.29624000e-03,2.47120000e-03,3.82504000e-03,0.392488
76.0,6.26505000e-03,2.45348000e-03,3.81157000e-03,0.391614
77.0,6.23444000e-03,2.43611000e-03,3.79832000e-03,0.390750
78.0,6.20440000e-03,2.41910000e-03,3.78530000e-03,0.389901
79.0,6.17493000e-03,2.40243000e-03,3.77250000e-03,0.389062
80.0,6.14601000e-03,2.38610000e-03,3.75991000e-03,0.388236
81.0,6.11763000e-03,2.37010000e-03,3.74753000e-03,0.387421
