energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
0.5,0,0.007478764861,0.008422686639,0.008204858537,0.007987030434,0.007841811699,0.007696592964,0.007478764861,0.006825280553,0.00689788992,0.006462233715,0.005953968142,0.005518311936,0.005155265098,0.00479221826,0.004429171422,0.004066124585,0.003775687114,0.003557859011,0.003267421541,0.003049593438,0.002831765336,0.002613937233,0.002468718498,0
1,0.0002462955056,0.007140537287,0.008452356691,0.008163897023,0.007878854584,0.007667843386,0.00747831422,0.007161923067,0.00661083867,0.006852907783,0.006418816983,0.005916261989,0.005483342349,0.005122207883,0.004761495886,0.004402607488,0.004044141561,0.003756385897,0.003537094429,0.003250836145,0.003033790745,0.002817494035,0.002601946014,0.002457530728,0
1.5,0.003073993569,0.009264833183,0.01079866883,0.01047264321,0.01014512752,0.009898852128,0.009683346696,0.009304296181,0.008834162652,0.009035016768,0.008546362632,0.007993724294,0.007510126336,0.007107026206,0.006704522431,0.006309825373,0.005914335619,0.005597497438,0.005344643459,0.005030247888,0.004788234604,0.004547442626,0.004307871953,0.004146160156,0
2,0.004453927092,0.01028960805,0.01181676339,0.01149365207,0.01116919497,0.01092343005,0.01070987254,0.01033090589,0.009895834638,0.01008912498,0.009610103374,0.009070345827,0.008597072346,0.00820207305,0.00780802946,0.007422405536,0.007036338669,0.006726764233,0.006477925741,0.006170918435,0.005933946549,0.005698258227,0.005463853471,0.005305498202,0.0008513590076
2.5,0.005223621791,0.01079771172,0.01230756289,0.01198896063,0.01166910259,0.01142574977,0.01121530379,0.01083975499,0.0104290743,0.01062732951,0.01016280219,0.0096399965,0.009181214484,0.008798346212,0.008416391841,0.008042906996,0.007668942039,0.007369041791,0.007127419918,0.006830139023,0.006600405024,0.006371980701,0.006144866055,0.005991336007,0.001607610581
3,0.005696214199,0.01106274622,0.01255212096,0.01223841487,0.01192351533,0.01168321363,0.01147608792,0.01110504148,0.01071306417,0.01091328707,0.01046110589,0.009952631082,0.009506163572,0.009133595468,0.008761909541,0.008398680856,0.008034950577,0.007743237538,0.007507818118,0.007218743745,0.00699516396,0.006772903507,0.006551962387,0.006402536913,0.002090062528
3.5,0.006004120496,0.01119810366,0.01266630251,0.01235747842,0.0120475071,0.011810442,0.01160660068,0.01124039942,0.01086357112,0.01106421657,0.01062281993,0.01012680109,0.009691073729,0.009327484085,0.008964751132,0.00861043328,0.008255600903,0.007971008999,0.0077410393,0.007459088499,0.007240878221,0.007023988495,0.006808419321,0.006662576094,0.002418807707
4,0.006212410338,0.01125830684,0.01270559648,0.01240149685,0.01209628598,0.01186245973,0.0116617824,0.01130046538,0.01093637523,0.01113658439,0.01070478649,0.01021981496,0.009793636316,0.009438026062,0.009083251208,0.008736834256,0.008389894926,0.008111622019,0.007886522743,0.007610884061,0.007397448943,0.007185330937,0.006974530044,0.006831873196,0.002653310545
4.5,0.006356542509,0.01127239952,0.01269943318,0.01239985257,0.01209918978,0.0118685271,0.01167086732,0.0113143422,0.01096125548,0.01116052818,0.01073739697,0.01026237394,0.009844809788,0.009496396195,0.009148799709,0.008809496322,0.008469665911,0.008197085627,0.00797639716,0.007706438849,0.007497312575,0.007289497287,0.007082992985,0.006943211786,0.002826231762
5,0.006457360502,0.0112570465,0.01266461886,0.0123693422,0.0120730075,0.01184540118,0.01165060948,0.01129872762,0.01095533945,0.0111533769,0.01073815945,0.01027220234,0.009862499367,0.009520651674,0.009179605031,0.008846783094,0.0085134316,0.008246040424,0.008029388907,0.007764604279,0.007559410666,0.007355520327,0.007152933262,0.007015776959,0.002956928147
5.5,0.006527847806,0.0112223624,0.01261130024,0.01232011855,0.0120278993,0.0118032312,0.01161116424,0.0112637556,0.01092904993,0.01112567261,0.01071774714,0.01026013032,0.009857667285,0.009521865569,0.009186850584,0.008859990567,0.008532599909,0.008269983605,0.008057058651,0.007797031599,0.007595460311,0.007395183649,0.007196201613,0.00706146329,0.003057560576
6,0.006576470857,0.01117476056,0.01254587315,0.0122585897,0.01197028642,0.01174843739,0.0115589613,0.01121585129,0.01088901488,0.0110841168,0.01068296046,0.0102330759,0.009837330995,0.009507138712,0.00917772022,0.008856386919,0.008534522902,0.008276334195,0.008066873702,0.007811255881,0.007613046173,0.007416121909,0.007220483086,0.007087988859,0.003136130071
6.5,0.006608959138,0.01111845102,0.01247250839,0.01218894069,0.0119043687,0.01168522327,0.01149821453,0.01115923213,0.01083959932,0.01103312126,0.01063828771,0.01019561786,0.00980614602,0.009481190961,0.009156997879,0.008840820928,0.008524113912,0.00827005708,0.008063836537,0.007812331654,0.007617261091,0.007423466503,0.00723094789,0.007100549395,0.003198101777
7,0.006629310513,0.01105627564,0.01239400025,0.01211398008,0.01183296943,0.01161641791,0.01143176311,0.01109674474,0.01078376041,0.01097567356,0.01058677688,0.01015087533,0.00976729205,0.009447252728,0.009127964501,0.008816624508,0.008504755625,0.008254575507,0.008051400257,0.007803752909,0.00761162928,0.007420772036,0.007231181177,0.007102750193,0.003247326365
7.5,0.006640387152,0.01099019648,0.01231226148,0.01203563414,0.01175802871,0.01154396799,0.01136156313,0.01103035424,0.01072354822,0.01091384382,0.0105305467,0.01010102403,0.009722993442,0.009407589092,0.00909292574,0.008786144137,0.008478835204,0.008232309157,0.008032008653,0.007787996165,0.007598651542,0.007410563698,0.007223732634,0.007097157126,0.003286588781
