# TOPAS 4.2.p3 / Geant4 11.3.2 Copper ion macroscopic inelastic cross sections.
atomic_number,mass_number,energy_MeVu,macroscopic_inelastic_cross_section_per_mm,mean_free_path_mm
1,1,0.01,0,0
1,1,1.01,0,0
1,1,2.01,0,0
1,1,3.01,0,0
1,1,4.01,0.000197531,5062.49
1,1,5.01,0.000713953,1400.65
1,1,6.01,0.00149421,669.25
1,1,7.01,0.00245917,406.642
1,1,8.01,0.00349818,285.863
1,1,9.01,0.00451232,221.615
1,1,10.01,0.00543679,183.932
1,1,11.01,0.00624149,160.218
1,1,12.01,0.00692099,144.488
1,1,13.01,0.0074836,133.625
1,1,14.01,0.00794487,125.867
1,1,15.01,0.00849383,117.733
1,1,16.01,0.00874856,114.304
1,1,17.01,0.00900444,111.056
1,1,18.01,0.00937239,106.696
1,1,19.01,0.00974035,102.666
1,1,20.01,0.0101059,98.9521
1,1,21.01,0.0102333,97.7205
1,1,22.01,0.0103602,96.5231
1,1,23.01,0.0104451,95.7385
1,1,24.01,0.01053,94.9664
1,1,25.01,0.0106137,94.2181
1,1,26.01,0.0105712,94.5965
1,1,27.01,0.0105283,94.9818
1,1,28.01,0.0104434,95.754
1,1,29.01,0.0103585,96.539
1,1,30.01,0.0102727,97.3449
1,1,31.01,0.0101029,98.9812
1,1,32.01,0.0099331,100.674
1,1,33.01,0.00976412,102.416
1,1,34.01,0.00967921,103.314
1,1,35.01,0.00959451,104.226
1,1,36.01,0.00953082,104.923
1,1,37.01,0.00946594,105.642
1,1,38.01,0.00928196,107.736
1,1,39.01,0.00909798,109.914
1,1,40.01,0.00891474,112.174
1,1,41.01,0.00880435,113.58
1,1,42.01,0.00869397,115.022
1,1,43.01,0.00858358,116.502
1,1,44.01,0.00847319,118.019
1,1,45.01,0.00836332,119.57
1,1,46.01,0.00830388,120.426
1,1,47.01,0.00824444,121.294
1,1,48.01,0.008185,122.175
1,1,49.01,0.00812556,123.068
1,1,50.01,0.0080657,123.982
1,1,51.01,0.0079638,125.568
1,1,52.01,0.00786191,127.196
1,1,53.01,0.00776001,128.866
1,1,54.01,0.00765811,130.58
1,1,55.01,0.0075569,132.329
1,1,56.01,0.00752293,132.927
1,1,57.01,0.00748897,133.53
1,1,58.01,0.007455,134.138
1,1,59.01,0.00742104,134.752
1,1,60.01,0.00738699,135.373
1,1,61.01,0.00734453,136.156
1,1,62.01,0.00730208,136.947
1,1,63.01,0.00725962,137.748
1,1,64.01,0.00721716,138.559
1,1,65.01,0.00717471,139.379
1,1,66.01,0.00713225,140.208
1,1,67.01,0.00708979,141.048
1,1,68.01,0.00704734,141.898
1,1,69.01,0.00700488,142.758
1,1,70.01,0.00696268,143.623
1,1,71.01,0.0069457,143.974
1,1,72.01,0.00692871,144.327
1,1,73.01,0.00691173,144.682
1,1,74.01,0.00689475,145.038
1,1,75.01,0.00687777,145.396
1,1,76.01,0.00686078,145.756
1,1,77.01,0.0068438,146.118
1,1,78.01,0.00682682,146.481
1,1,79.01,0.00680984,146.846
1,1,80.01,0.0067929,147.213
1,1,81.01,0.00678016,147.489
1,1,82.01,0.00676742,147.767
1,1,83.01,0.00675469,148.045
1,1,84.01,0.00674195,148.325
1,1,85.01,0.00672921,148.606
1,1,86.01,0.00671647,148.888
1,1,87.01,0.00670374,149.171
1,1,88.01,0.006691,149.454
1,1,89.01,0.00667826,149.74
1,1,90.01,0.00666561,150.024
1,1,91.01,0.00666137,150.119
