# TOPAS 4.2.p3 / Geant4 11.3.2 SchneiderSection07 ion electronic stopping powers.
# delta_electron_fraction preserves the measured C-12 correction and uses each ion's G4 restricted/unrestricted ratio relative to C-12.
atomic_number,mass_number,energy_MeVu,stopping_power_MeV_per_mm,restricted_stopping_power_MeV_per_mm,nuclear_stopping_power_MeV_per_mm,raw_delta_electron_fraction,delta_electron_fraction
1,1,0.01,52.6738,52.6738,1.00806,0,0.000147972232053
1,1,0.11,93.1919,93.1919,0.147957,0,0.000147972232053
1,1,0.21,72.6925,72.6925,0.085098,0,0.000147972232053
1,1,0.31,57.6607,57.6607,0.0605917,0,0.000147972232053
1,1,0.41,48.0966,48.0966,0.0479498,0,0.000147972232053
1,1,0.51,41.6397,41.6397,0.0394803,0,0.000147972232053
1,1,0.61,36.9721,36.9721,0.0341174,0,0.000147972232053
1,1,0.71,33.4107,33.4107,0.0300898,0,0.000147972232053
1,1,0.81,30.5817,30.5817,0.0265881,0,0.000147972232053
1,1,0.91,28.2657,28.2657,0.0239012,0,0.000147972232053
1,1,1.01,26.3255,26.3255,0,0,0.000147972232053
1,1,1.11,24.6705,24.6705,0,0,0.000147972232053
1,1,1.21,23.2381,23.2381,0,0,0.000147972232053
1,1,1.31,21.9836,21.9836,0,0,0.000147972232053
1,1,1.41,20.8738,20.8738,0,0,0.000147972232053
1,1,1.51,19.8837,19.8837,0,0,0.000147972232053
1,1,1.61,18.9939,18.9939,0,0,0.000147972232053
1,1,1.71,18.1891,18.1891,0,0,0.000147972232053
1,1,1.81,17.4572,17.4572,0,0,0.000147972232053
1,1,1.91,16.7882,16.7882,0,0,0.000147972232053
1,1,2.01,16.1727,16.1727,0,0,0.000147972232053
1,1,2.11,15.5958,15.5958,0,0,0.000147972232053
1,1,2.21,15.063,15.063,0,0,0.000147972232053
1,1,2.31,14.5694,14.5694,0,0,0.000147972232053
1,1,2.41,14.1106,14.1106,0,0,0.000147972232053
1,1,2.51,13.6822,13.6822,0,0,0.000147972232053
1,1,2.61,13.2735,13.2735,0,0,0.000147972232053
1,1,2.71,12.8916,12.8916,0,0,0.000147972232053
1,1,2.81,12.5329,12.5329,0,0,0.000147972232053
1,1,2.91,12.1953,12.1953,0,0,0.000147972232053
1,1,3.01,11.8771,11.8771,0,0,0.000147972232053
1,1,3.11,11.5765,11.5765,0,0,0.000147972232053
1,1,3.21,11.2921,11.2921,0,0,0.000147972232053
1,1,3.31,11.0225,11.0225,0,0,0.000147972232053
1,1,3.41,10.7666,10.7666,0,0,0.000147972232053
1,1,3.51,10.5233,10.5233,0,0,0.000147972232053
1,1,3.61,10.3,10.3,0,0,0.000147972232053
1,1,3.71,10.0871,10.0871,0,0,0.000147972232053
1,1,3.81,9.88362,9.88362,0,0,0.000147972232053
1,1,3.91,9.68894,9.68894,0,0,0.000147972232053
1,1,4.01,9.50249,9.50249,0,0,0.000147972232053
1,1,4.11,9.32367,9.32367,0,0,0.000147972232053
1,1,4.21,9.15194,9.15194,0,0,0.000147972232053
1,1,4.31,8.98702,8.98702,0,0,0.000147972232053
1,1,4.41,8.82849,8.82849,0,0,0.000147972232053
1,1,4.51,8.67588,8.67588,0,0,0.000147972232053
1,1,4.61,8.52875,8.52875,0,0,0.000147972232053
1,1,4.71,8.38699,8.38699,0,0,0.000147972232053
1,1,4.81,8.25032,8.25032,0,0,0.000147972232053
1,1,4.91,8.11845,8.11845,0,0,0.000147972232053
1,1,5.01,7.99114,7.99114,0,0,0.000147972232053
1,1,5.11,7.86814,7.86814,0,0,0.000147972232053
1,1,5.21,7.74923,7.74923,0,0,0.000147972232053
1,1,5.31,7.63422,7.63422,0,0,0.000147972232053
1,1,5.41,7.5229,7.5229,0,0,0.000147972232053
1,1,5.51,7.4151,7.4151,0,0,0.000147972232053
1,1,5.61,7.31065,7.31065,0,0,0.000147972232053
1,1,5.71,7.20939,7.20939,0,0,0.000147972232053
1,1,5.81,7.11112,7.11112,0,0,0.000147972232053
1,1,5.91,7.01574,7.01574,0,0,0.000147972232053
1,1,6.01,6.92314,6.92314,0,0,0.000147972232053
1,1,6.11,6.83319,6.83319,0,0,0.000147972232053
1,1,6.21,6.74578,6.74578,0,0,0.000147972232053
1,1,6.31,6.6608,6.6608,0,0,0.000147972232053
1,1,6.41,6.57815,6.57815,0,0,0.000147972232053
1,1,6.51,6.49772,6.49772,0,0,0.000147972232053
1,1,6.61,6.41944,6.41944,0,0,0.000147972232053
1,1,6.71,6.34321,6.34321,0,0,0.000147972232053
1,1,6.81,6.26895,6.26895,0,0,0.000147972232053
1,1,6.91,6.19658,6.19658,0,0,0.000147972232053
1,1,7.01,6.12603,6.12603,0,0,0.000147972232053
1,1,7.11,6.05723,6.05723,0,0,0.000147972232053
1,1,7.21,5.99011,5.99011,0,0,0.000147972232053
1,1,7.31,5.92463,5.92463,0,0,0.000147972232053
1,1,7.41,5.86071,5.86071,0,0,0.000147972232053
1,1,7.51,5.79828,5.79828,0,0,0.000147972232053
1,1,7.61,5.73718,5.73718,0,0,0.000147972232053
1,1,7.71,5.67749,5.67749,0,0,0.000147972232053
1,1,7.81,5.61915,5.61915,0,0,0.000147972232053
1,1,7.91,5.56211,5.56211,0,0,0.000147972232053
1,1,8.01,5.50634,5.50634,0,0,0.000147972232053
1,1,8.11,5.45178,5.45178,0,0,0.000147972232053
1,1,8.21,5.3984,5.3984,0,0,0.000147972232053
1,1,8.31,5.34615,5.34615,0,0,0.000147972232053
1,1,8.41,5.29501,5.29501,0,0,0.000147972232053
1,1,8.51,5.24493,5.24493,0,0,0.000147972232053
1,1,8.61,5.19589,5.19589,0,0,0.000147972232053
1,1,8.71,5.14784,5.14784,0,0,0.000147972232053
1,1,8.81,5.10077,5.10077,0,0,0.000147972232053
1,1,8.91,5.05463,5.05463,0,0,0.000147972232053
1,1,9.01,5.00941,5.00941,0,0,0.000147972232053
1,1,9.11,4.96506,4.96506,0,0,0.000147972232053
1,1,9.21,4.92158,4.92158,0,0,0.000147972232053
1,1,9.31,4.87893,4.87893,0,0,0.000147972232053
1,1,9.41,4.83708,4.83708,0,0,0.000147972232053
1,1,9.51,4.79602,4.79602,0,0,0.000147972232053
1,1,9.61,4.75573,4.75573,0,0,0.000147972232053
1,1,9.71,4.71617,4.71617,0,0,0.000147972232053
1,1,9.81,4.67733,4.67733,0,0,0.000147972232053
1,1,9.91,4.63919,4.63919,0,0,0.000147972232053
1,1,10.01,4.60173,4.60173,0,0,0.000147972232053
1,1,10.11,4.56494,4.56494,0,0,0.000147972232053
1,1,10.21,4.52878,4.52878,0,0,0.000147972232053
1,1,10.31,4.49326,4.49326,0,0,0.000147972232053
1,1,10.41,4.45834,4.45834,0,0,0.000147972232053
1,1,10.51,4.42402,4.42402,0,0,0.000147972232053
1,1,10.61,4.39024,4.39024,0,0,0.000147972232053
1,1,10.71,4.35702,4.35702,0,0,0.000147972232053
1,1,10.81,4.32434,4.32434,0,0,0.000147972232053
1,1,10.91,4.2922,4.2922,0,0,0.000147972232053
1,1,11.01,4.26058,4.26058,0,0,0.000147972232053
1,1,11.11,4.22948,4.22948,0,0,0.000147972232053
1,1,11.21,4.19887,4.19887,0,0,0.000147972232053
1,1,11.31,4.16874,4.16874,0,0,0.000147972232053
1,1,11.41,4.13909,4.13909,0,0,0.000147972232053
1,1,11.51,4.1099,4.1099,0,0,0.000147972232053
1,1,11.61,4.08117,4.08117,0,0,0.000147972232053
1,1,11.71,4.05287,4.05287,0,0,0.000147972232053
1,1,11.81,4.025,4.025,0,0,0.000147972232053
1,1,11.91,3.99755,3.99755,0,0,0.000147972232053
1,1,12.01,3.97051,3.97051,0,0,0.000148703485013
1,1,12.11,3.94388,3.94388,0,0,0.000156016014611
1,1,12.21,3.91763,3.91763,0,0,0.000163328544209
1,1,12.31,3.89177,3.89177,0,0,0.000170641073807
1,1,12.41,3.86629,3.86629,0,0,0.000177953603406
1,1,12.51,3.84117,3.84117,0,0,0.000185266133004
1,1,12.61,3.81641,3.81641,0,0,0.000192578662602
1,1,12.71,3.79199,3.79199,0,0,0.0001998911922
1,1,12.81,3.76793,3.76793,0,0,0.000207203721798
1,1,12.91,3.74419,3.74419,0,0,0.000214516251397
1,1,13.01,3.72079,3.72079,0,0,0.000222458488977
1,1,13.11,3.69771,3.69771,0,0,0.000236068098392
1,1,13.21,3.67494,3.67494,0,0,0.000249677707808
1,1,13.31,3.65248,3.65248,0,0,0.000263287317224
1,1,13.41,3.63032,3.63032,0,0,0.00027689692664
1,1,13.51,3.60846,3.60846,0,0,0.000290506536056
1,1,13.61,3.58689,3.58689,0,0,0.000304116145472
1,1,13.71,3.5656,3.5656,0,0,0.000317725754888
1,1,13.81,3.54459,3.54459,0,0,0.000331335364304
1,1,13.91,3.52385,3.52385,0,0,0.00034494497372
1,1,14.01,3.50337,3.50337,0,0,0.000358554583136
1,1,14.11,3.48316,3.48316,0,0,0.000372164192551
1,1,14.21,3.46321,3.46321,0,0,0.000385773801967
1,1,14.31,3.44351,3.44351,0,0,0.000399383411383
1,1,14.41,3.42405,3.42405,0,0,0.000412993020799
1,1,14.51,3.40484,3.40484,0,0,0.000426602630215
1,1,14.61,3.38587,3.38587,0,0,0.000440212239631
1,1,14.71,3.36712,3.36712,0,0,0.000453821849047
1,1,14.81,3.34861,3.34861,0,0,0.000467431458463
1,1,14.91,3.33032,3.33032,0,0,0.000481041067879
1,1,15.01,3.31225,3.31225,0,0,0.000494650677295
