# TOPAS 4.2.p3 / Geant4 11.3.2 Water_75eV ion electronic stopping powers.
# delta_electron_fraction preserves the measured C-12 correction and uses each ion's G4 restricted/unrestricted ratio relative to C-12.
atomic_number,mass_number,energy_MeVu,stopping_power_MeV_per_mm,restricted_stopping_power_MeV_per_mm,nuclear_stopping_power_MeV_per_mm,raw_delta_electron_fraction,delta_electron_fraction
1,1,0.01,54.3409,54.3409,1.03157,0,0.000147972232053
1,1,0.11,94.5143,94.5143,0.151303,0,0.000147972232053
1,1,0.21,73.7148,73.7148,0.0869374,0,0.000147972232053
1,1,0.31,58.44,58.44,0.0618463,0,0.000147972232053
1,1,0.41,48.6995,48.6995,0.0488953,0,0.000147972232053
1,1,0.51,42.1195,42.1195,0.0402489,0,0.000147972232053
1,1,0.61,37.3643,37.3643,0.0348871,0,0.000147972232053
1,1,0.71,33.7385,33.7385,0.0308163,0,0.000147972232053
1,1,0.81,30.8606,30.8606,0.0271232,0,0.000147972232053
1,1,0.91,28.5065,28.5065,0.0243724,0,0.000147972232053
1,1,1.01,26.5359,26.5359,0,0,0.000147972232053
1,1,1.11,24.8562,24.8562,0,0,0.000147972232053
1,1,1.21,23.4034,23.4034,0,0,0.000147972232053
1,1,1.31,22.1318,22.1318,0,0,0.000147972232053
1,1,1.41,21.0075,21.0075,0,0,0.000147972232053
1,1,1.51,20.005,20.005,0,0,0.000147972232053
1,1,1.61,19.1044,19.1044,0,0,0.000147972232053
1,1,1.71,18.2903,18.2903,0,0,0.000147972232053
1,1,1.81,17.5501,17.5501,0,0,0.000147972232053
1,1,1.91,16.8738,16.8738,0,0,0.000147972232053
1,1,2.01,16.2512,16.2512,0,0,0.000147972232053
1,1,2.11,15.6626,15.6626,0,0,0.000147972232053
1,1,2.21,15.12,15.12,0,0,0.000147972232053
1,1,2.31,14.618,14.618,0,0,0.000147972232053
1,1,2.41,14.152,14.152,0,0,0.000147972232053
1,1,2.51,13.7175,13.7175,0,0,0.000147972232053
1,1,2.61,13.3019,13.3019,0,0,0.000147972232053
1,1,2.71,12.9133,12.9133,0,0,0.000147972232053
1,1,2.81,12.5488,12.5488,0,0,0.000147972232053
1,1,2.91,12.206,12.206,0,0,0.000147972232053
1,1,3.01,11.8831,11.8831,0,0,0.000147972232053
1,1,3.11,11.5784,11.5784,0,0,0.000147972232053
1,1,3.21,11.2903,11.2903,0,0,0.000147972232053
1,1,3.31,11.0174,11.0174,0,0,0.000147972232053
1,1,3.41,10.7585,10.7585,0,0,0.000147972232053
1,1,3.51,10.5126,10.5126,0,0,0.000147972232053
1,1,3.61,10.2886,10.2886,0,0,0.000147972232053
1,1,3.71,10.0751,10.0751,0,0,0.000147972232053
1,1,3.81,9.8711,9.8711,0,0,0.000147972232053
1,1,3.91,9.67594,9.67594,0,0,0.000147972232053
1,1,4.01,9.48905,9.48905,0,0,0.000147972232053
1,1,4.11,9.30987,9.30987,0,0,0.000147972232053
1,1,4.21,9.13792,9.13792,0,0,0.000147972232053
1,1,4.31,8.9728,8.9728,0,0,0.000147972232053
1,1,4.41,8.81411,8.81411,0,0,0.000147972232053
1,1,4.51,8.66133,8.66133,0,0,0.000147972232053
1,1,4.61,8.514,8.514,0,0,0.000147972232053
1,1,4.71,8.37208,8.37208,0,0,0.000147972232053
1,1,4.81,8.23526,8.23526,0,0,0.000147972232053
1,1,4.91,8.10326,8.10326,0,0,0.000147972232053
1,1,5.01,7.97584,7.97584,0,0,0.000147972232053
1,1,5.11,7.85274,7.85274,0,0,0.000147972232053
1,1,5.21,7.73376,7.73376,0,0,0.000147972232053
1,1,5.31,7.61868,7.61868,0,0,0.000147972232053
1,1,5.41,7.5073,7.5073,0,0,0.000147972232053
1,1,5.51,7.39945,7.39945,0,0,0.000147972232053
1,1,5.61,7.29496,7.29496,0,0,0.000147972232053
1,1,5.71,7.19367,7.19367,0,0,0.000147972232053
1,1,5.81,7.09543,7.09543,0,0,0.000147972232053
1,1,5.91,7.00011,7.00011,0,0,0.000147972232053
1,1,6.01,6.90756,6.90756,0,0,0.000147972232053
1,1,6.11,6.81767,6.81767,0,0,0.000147972232053
1,1,6.21,6.73033,6.73033,0,0,0.000147972232053
1,1,6.31,6.64542,6.64542,0,0,0.000147972232053
1,1,6.41,6.56284,6.56284,0,0,0.000147972232053
1,1,6.51,6.48249,6.48249,0,0,0.000147972232053
1,1,6.61,6.40428,6.40428,0,0,0.000147972232053
1,1,6.71,6.32813,6.32813,0,0,0.000147972232053
1,1,6.81,6.25395,6.25395,0,0,0.000147972232053
1,1,6.91,6.18167,6.18167,0,0,0.000147972232053
1,1,7.01,6.11121,6.11121,0,0,0.000147972232053
1,1,7.11,6.04249,6.04249,0,0,0.000147972232053
1,1,7.21,5.97547,5.97547,0,0,0.000147972232053
1,1,7.31,5.91007,5.91007,0,0,0.000147972232053
1,1,7.41,5.84625,5.84625,0,0,0.000147972232053
1,1,7.51,5.78391,5.78391,0,0,0.000147972232053
1,1,7.61,5.72288,5.72288,0,0,0.000147972232053
1,1,7.71,5.66325,5.66325,0,0,0.000147972232053
1,1,7.81,5.60498,5.60498,0,0,0.000147972232053
1,1,7.91,5.54802,5.54802,0,0,0.000147972232053
1,1,8.01,5.49232,5.49232,0,0,0.000147972232053
1,1,8.11,5.43783,5.43783,0,0,0.000147972232053
1,1,8.21,5.38453,5.38453,0,0,0.000147972232053
1,1,8.31,5.33237,5.33237,0,0,0.000147972232053
1,1,8.41,5.28132,5.28132,0,0,0.000147972232053
1,1,8.51,5.23133,5.23133,0,0,0.000147972232053
1,1,8.61,5.18238,5.18238,0,0,0.000147972232053
1,1,8.71,5.13442,5.13442,0,0,0.000147972232053
1,1,8.81,5.08744,5.08744,0,0,0.000147972232053
1,1,8.91,5.04139,5.04139,0,0,0.000147972232053
1,1,9.01,4.99626,4.99626,0,0,0.000147972232053
1,1,9.11,4.95201,4.95201,0,0,0.000147972232053
1,1,9.21,4.90861,4.90861,0,0,0.000147972232053
1,1,9.31,4.86605,4.86605,0,0,0.000147972232053
1,1,9.41,4.8243,4.8243,0,0,0.000147972232053
1,1,9.51,4.78333,4.78333,0,0,0.000147972232053
1,1,9.61,4.74312,4.74312,0,0,0.000147972232053
1,1,9.71,4.70365,4.70365,0,0,0.000147972232053
1,1,9.81,4.6649,4.6649,0,0,0.000147972232053
1,1,9.91,4.62685,4.62685,0,0,0.000147972232053
1,1,10.01,4.58948,4.58948,0,0,0.000147972232053
1,1,10.11,4.55277,4.55277,0,0,0.000147972232053
1,1,10.21,4.5167,4.5167,0,0,0.000147972232053
1,1,10.31,4.48126,4.48126,0,0,0.000147972232053
1,1,10.41,4.44643,4.44643,0,0,0.000147972232053
1,1,10.51,4.41219,4.41219,0,0,0.000147972232053
1,1,10.61,4.37849,4.37849,0,0,0.000147972232053
1,1,10.71,4.34534,4.34534,0,0,0.000147972232053
1,1,10.81,4.31274,4.31274,0,0,0.000147972232053
1,1,10.91,4.28067,4.28067,0,0,0.000147972232053
1,1,11.01,4.24913,4.24913,0,0,0.000147972232053
1,1,11.11,4.2181,4.2181,0,0,0.000147972232053
1,1,11.21,4.18756,4.18756,0,0,0.000147972232053
1,1,11.31,4.15751,4.15751,0,0,0.000147972232053
1,1,11.41,4.12793,4.12793,0,0,0.000147972232053
1,1,11.51,4.09881,4.09881,0,0,0.000147972232053
1,1,11.61,4.07014,4.07014,0,0,0.000147972232053
1,1,11.71,4.04192,4.04192,0,0,0.000147972232053
1,1,11.81,4.01412,4.01412,0,0,0.000147972232053
1,1,11.91,3.98674,3.98674,0,0,0.000147972232053
1,1,12.01,3.95978,3.95978,0,0,0.000148703485013
1,1,12.11,3.93321,3.93321,0,0,0.000156016014611
1,1,12.21,3.90703,3.90703,0,0,0.000163328544209
1,1,12.31,3.88124,3.88124,0,0,0.000170641073807
1,1,12.41,3.85582,3.85582,0,0,0.000177953603406
