# TOPAS 4.2.p3 / Geant4 11.3.2 Copper neutral macroscopic total cross sections.
pdg_id,energy_MeV,macroscopic_total_cross_section_per_mm,mean_free_path_mm
22,0.0001,66790.7,1.49721e-05
22,0.000102723,64861.6,1.54175e-05
22,0.00010552,63000.2,1.5873e-05
22,0.000108393,61319.3,1.63081e-05
22,0.000111344,59666.9,1.67597e-05
22,0.000114376,58055.2,1.7225e-05
22,0.00011749,56553.5,1.76824e-05
22,0.000120689,55036.1,1.81699e-05
22,0.000123975,53550.8,1.86739e-05
22,0.00012735,54302.3,1.84154e-05
22,0.000130818,52857.1,1.89189e-05
22,0.00013438,51447.7,1.94372e-05
22,0.000138038,50008.7,1.99965e-05
22,0.000141797,48566.2,2.05905e-05
22,0.000145658,47145.9,2.12108e-05
22,0.000149624,45686.6,2.18882e-05
22,0.000153697,44290,2.25785e-05
22,0.000157882,42858,2.33329e-05
22,0.000162181,41461.5,2.41188e-05
22,0.000166597,40083.5,2.49479e-05
22,0.000171133,38683.1,2.58511e-05
22,0.000175792,37354.4,2.67706e-05
22,0.000180579,36017.4,2.77644e-05
22,0.000185495,34695.4,2.88223e-05
22,0.000190546,33425.7,2.99171e-05
22,0.000195734,32153.8,3.11005e-05
22,0.000201064,30923.2,3.23382e-05
22,0.000206538,29722.3,3.36448e-05
22,0.000212162,28526,3.50557e-05
22,0.000217938,27375.2,3.65294e-05
22,0.000223872,26256,3.80865e-05
22,0.000229968,25149.3,3.97625e-05
22,0.000236229,24086.7,4.15167e-05
22,0.000242661,23046.3,4.33909e-05
22,0.000249268,22029.5,4.53938e-05
22,0.000256055,21051,4.75037e-05
22,0.000263027,20102.4,4.97454e-05
22,0.000270188,19181.3,5.21341e-05
22,0.000277545,18297.7,5.46517e-05
22,0.000285102,17439.3,5.73416e-05
22,0.000292864,16612.4,6.01959e-05
22,0.000300838,15819.3,6.32139e-05
22,0.00030903,15051.2,6.644e-05
22,0.000317444,14318.2,6.98414e-05
22,0.000326087,13612.7,7.34606e-05
22,0.000334965,12936.6,7.73003e-05
22,0.000344086,12286.4,8.13905e-05
22,0.000353454,11666.6,8.57151e-05
22,0.000363078,11073,9.03097e-05
22,0.000372964,10498.4,9.52524e-05
22,0.000383119,9955.98,0.000100442
