energy_MeV_per_u,water_macroscopic_cross_section_per_mm
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,9.9203e-05
0.82,0.000275319
0.83,0.000444684
0.84,0.000607602
0.85,0.00076436
0.86,0.000915232
0.87,0.00106047
0.88,0.00120033
0.89,0.00133503
0.9,0.0014648
0.91,0.00158984
0.92,0.00171035
0.93,0.00182652
0.94,0.00193853
0.95,0.00204654
0.96,0.00215071
0.97,0.00225121
0.98,0.00234817
0.99,0.00244173
1,0.00253203
1.01,0.00261919
1.02,0.00270333
1.03,0.00278457
1.04,0.00286302
1.05,0.00293878
1.06,0.00301195
1.07,0.00308262
1.08,0.00315089
1.09,0.00321685
1.1,0.00328058
1.11,0.00334216
1.12,0.00340166
1.13,0.00345916
1.14,0.00351473
1.15,0.00356843
1.16,0.00362034
1.17,0.00367051
1.18,0.00373017
1.19,0.00380945
1.2,0.00388663
1.21,0.00396176
1.22,0.00403492
1.23,0.00410616
1.24,0.00417555
1.25,0.00424313
1.26,0.00430897
1.27,0.00437311
1.28,0.0044356
1.29,0.00449651
1.3,0.00455586
1.31,0.00461371
1.32,0.0046701
1.33,0.00472508
1.34,0.00477868
1.35,0.00483094
1.36,0.0048819
1.37,0.0049316
1.38,0.00498008
1.39,0.00502736
1.4,0.00507348
1.41,0.00511847
1.42,0.00516236
1.43,0.00520519
1.44,0.00524698
1.45,0.00528775
1.46,0.00532755
1.47,0.00536638
1.48,0.00540429
1.49,0.00544129
1.5,0.0054774
1.51,0.00551265
1.52,0.00554706
1.53,0.00558066
1.54,0.00561346
1.55,0.00564548
1.56,0.00567675
1.57,0.00570728
1.58,0.00573709
1.59,0.00576621
1.6,0.00579464
1.61,0.0058224
1.62,0.00584951
1.63,0.00587599
1.64,0.00590185
1.65,0.00592711
1.66,0.00595177
1.67,0.00597587
1.68,0.0059994
1.69,0.00602238
1.7,0.00604483
1.71,0.00606676
1.72,0.00608818
1.73,0.0061091
1.74,0.00612953
1.75,0.00614949
1.76,0.00616898
1.77,0.00618802
1.78,0.00620662
1.79,0.00622479
1.8,0.00624253
1.81,0.00625986
1.82,0.00627679
1.83,0.00629332
1.84,0.00630946
1.85,0.00632523
1.86,0.00634063
1.87,0.00635567
1.88,0.00637035
1.89,0.00638469
1.9,0.00639869
1.91,0.00641236
1.92,0.00642571
1.93,0.00643874
1.94,0.00645146
1.95,0.00646388
1.96,0.006476
1.97,0.00648784
1.98,0.00649939
1.99,0.00651066
2,0.00652166
2.01,0.00653239
2.02,0.00654286
2.03,0.00655308
2.04,0.00656305
2.05,0.00657277
2.06,0.00658226
2.07,0.00659151
2.08,0.00660053
2.09,0.00660932
2.1,0.0066179
2.11,0.00662625
2.12,0.0066344
2.13,0.00664234
2.14,0.00665008
2.15,0.00665761
2.16,0.00666496
2.17,0.00667211
2.18,0.00667907
2.19,0.00668585
2.2,0.00669245
2.21,0.00669888
2.22,0.00670513
2.23,0.00671121
2.24,0.00671713
2.25,0.00672288
2.26,0.00672847
2.27,0.00673391
2.28,0.0067392
2.29,0.00674433
2.3,0.00674931
2.31,0.00675416
2.32,0.00675886
2.33,0.00676342
2.34,0.00676784
2.35,0.00677213
2.36,0.00677629
2.37,0.00678032
2.38,0.00678422
2.39,0.006788
2.4,0.00679166
2.41,0.0067952
2.42,0.00679862
2.43,0.00680192
2.44,0.00680512
2.45,0.0068082
2.46,0.00681118
2.47,0.00681404
2.48,0.00681681
2.49,0.00681947
2.5,0.00682203
2.51,0.00682449
2.52,0.00682686
2.53,0.00682913
2.54,0.0068313
2.55,0.00683339
2.56,0.00683538
2.57,0.00683729
2.58,0.00683911
2.59,0.00684085
2.6,0.0068425
2.61,0.00684407
2.62,0.00684556
2.63,0.00684697
2.64,0.0068483
2.65,0.00684956
2.66,0.00685074
2.67,0.00685185
2.68,0.00685288
2.69,0.00685385
2.7,0.00685474
2.71,0.00685557
2.72,0.00685633
2.73,0.00685703
2.74,0.00685766
2.75,0.00685822
2.76,0.00685873
2.77,0.00685917
2.78,0.00685955
2.79,0.00685988
2.8,0.00686014
2.81,0.00686035
2.82,0.00686051
2.83,0.00686061
2.84,0.00686065
2.85,0.00686064
2.86,0.00686058
2.87,0.00686047
2.88,0.00686031
2.89,0.0068601
2.9,0.00685984
2.91,0.00685953
2.92,0.00685918
2.93,0.00685878
2.94,0.00685833
2.95,0.00685784
2.96,0.00685731
2.97,0.00685674
2.98,0.00685612
2.99,0.00685546
3,0.00685476
3.01,0.00685403
3.02,0.00685325
3.03,0.00685243
3.04,0.00685158
3.05,0.00685069
3.06,0.00684976
3.07,0.0068488
3.08,0.00684781
3.09,0.00684677
3.1,0.00684571
3.11,0.00684461
3.12,0.00684348
3.13,0.00684232
3.14,0.00684112
3.15,0.0068399
3.16,0.00683864
3.17,0.00683736
3.18,0.00683604
3.19,0.0068347
3.2,0.00683333
3.21,0.00683193
3.22,0.0068305
3.23,0.00682905
3.24,0.00682757
3.25,0.00682606
3.26,0.00682453
3.27,0.00682298
3.28,0.0068214
3.29,0.00681979
3.3,0.00681817
3.31,0.00681652
3.32,0.00681484
3.33,0.00681315
3.34,0.00681143
3.35,0.00680969
3.36,0.00680793
3.37,0.00680615
3.38,0.00680435
3.39,0.00680253
3.4,0.00680069
3.41,0.00679883
3.42,0.00679696
3.43,0.00679506
3.44,0.00679314
3.45,0.00679121
3.46,0.00678926
3.47,0.0067873
3.48,0.00678531
3.49,0.00678331
3.5,0.0067813
3.51,0.00677926
3.52,0.00677722
3.53,0.00677515
3.54,0.00677308
3.55,0.00677098
3.56,0.00676888
3.57,0.00676676
3.58,0.00676462
3.59,0.00676247
3.6,0.00676031
3.61,0.00675813
3.62,0.00675595
3.63,0.00675375
3.64,0.00675153
3.65,0.00674931
3.66,0.00674707
3.67,0.00674482
3.68,0.00674257
3.69,0.00674029
3.7,0.00673801
3.71,0.00673572
3.72,0.00673342
3.73,0.00673111
3.74,0.00672878
3.75,0.00672645
3.76,0.00672411
3.77,0.00672176
3.78,0.0067194
3.79,0.00671703
3.8,0.00671465
3.81,0.00671226
3.82,0.00670987
3.83,0.00670746
3.84,0.00670505
3.85,0.00670263
3.86,0.0067002
3.87,0.00669777
3.88,0.00669532
3.89,0.00669287
3.9,0.00669042
3.91,0.00668795
3.92,0.00668548
3.93,0.00668301
3.94,0.00668052
3.95,0.00667803
3.96,0.00667554
3.97,0.00667304
3.98,0.00667053
3.99,0.00666802
4,0.0066655
4.01,0.00666297
4.02,0.00666044
4.03,0.00665791
