energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
0.100000,0.000000000000e+00,7.797925370990e-03,8.782129544030e-03,8.555005504100e-03,8.327881464170e-03,8.176465437550e-03,8.025049410930e-03,7.797925370990e-03,7.116553251200e-03,7.192261264510e-03,6.738013184650e-03,6.208057091470e-03,5.753809011610e-03,5.375268945050e-03,4.996728878500e-03,4.618188811950e-03,4.239648745390e-03,3.936816692150e-03,3.709692652220e-03,3.406860598980e-03,3.179736559050e-03,2.952612519110e-03,2.725488479180e-03,2.574072452560e-03,0.000000000000e+00
0.600000,0.000000000000e+00,6.472407918320e-03,7.289313772080e-03,7.100797036600e-03,6.912280301110e-03,6.786602477460e-03,6.660924653800e-03,6.472407918320e-03,5.906857711860e-03,5.969696623690e-03,5.592663152720e-03,5.152790769920e-03,4.775757298950e-03,4.461562739810e-03,4.147368180670e-03,3.833173621530e-03,3.518979062390e-03,3.267623415070e-03,3.079106679590e-03,2.827751032270e-03,2.639234296790e-03,2.450717561300e-03,2.262200825820e-03,2.136523002160e-03,0.000000000000e+00
1.100000,1.078499344983e-03,6.690557508935e-03,8.132943450676e-03,7.824400935277e-03,7.519603999556e-03,7.284569727958e-03,7.082713012213e-03,6.726113549570e-03,6.310009732255e-03,6.613283716416e-03,6.210599242791e-03,5.749514615687e-03,5.349057262928e-03,5.015249835184e-03,4.681923379581e-03,4.352822971267e-03,4.023672108324e-03,3.759222698592e-03,3.553173442349e-03,3.291153476554e-03,3.090342666512e-03,2.890746578433e-03,2.692365212317e-03,2.558634844794e-03,0.000000000000e+00
1.600000,3.764456703809e-03,8.816672145432e-03,1.027429250242e-02,9.968507241625e-03,9.660986437169e-03,9.425678438870e-03,9.223561577686e-03,8.859698402995e-03,8.495568170445e-03,8.678306602788e-03,8.236297450508e-03,7.740998220417e-03,7.305158240905e-03,6.941286277537e-03,6.578434257347e-03,6.224535495718e-03,5.870136932712e-03,5.585916719170e-03,5.354986583467e-03,5.073425019461e-03,4.855165748176e-03,4.638235801651e-03,4.422635179874e-03,4.276713106208e-03,0.000000000000e+00
2.100000,5.073071164562e-03,9.742245305296e-03,1.117412243677e-02,1.087500320356e-02,1.057430670235e-02,1.034258998545e-02,1.014508616820e-02,9.786325647185e-03,9.457882079995e-03,9.645395527892e-03,9.223657332216e-03,8.752229506039e-03,8.336703787167e-03,7.989779280934e-03,7.643876937947e-03,7.307047831984e-03,6.969735262993e-03,6.699129130440e-03,6.478212628369e-03,6.210340567687e-03,6.002227355594e-03,5.795481179430e-03,5.590102039202e-03,5.450945872381e-03,1.160128828320e-03
2.600000,5.803042572008e-03,1.018286900561e-02,1.158328050871e-02,1.129154658433e-02,1.099833728009e-02,1.077136007799e-02,1.057885750419e-02,1.022714169962e-02,9.924498447474e-03,1.011468858309e-02,9.710859906384e-03,9.260123383534e-03,8.862430451815e-03,8.530429005169e-03,8.199396019094e-03,7.877377320197e-03,7.554843491454e-03,7.296063505484e-03,7.084191365625e-03,6.828162997465e-03,6.628963434604e-03,6.431139680663e-03,6.234691735602e-03,6.101482503477e-03,1.922848505770e-03
3.100000,6.244617916322e-03,1.039158353705e-02,1.175984814598e-02,1.147539179133e-02,1.118953218265e-02,1.096751983970e-02,1.077990323254e-02,1.043566806457e-02,1.015313141234e-02,1.034345300317e-02,9.954880949648e-03,9.521674984385e-03,9.139147980407e-03,8.819829083586e-03,8.501437262271e-03,8.191960554693e-03,7.881951563222e-03,7.633199239715e-03,7.429080827939e-03,7.183071859151e-03,6.991456240419e-03,6.801212299047e-03,6.612340035044e-03,6.484192155083e-03,2.411120315110e-03
3.600000,6.524475486389e-03,1.047616850400e-02,1.181322712665e-02,1.153570404184e-02,1.125683212166e-02,1.103969947696e-02,1.085671621342e-02,1.051988167869e-02,1.025379711272e-02,1.044297284823e-02,1.006772108928e-02,9.649764218971e-03,9.280463360232e-03,8.972199719800e-03,8.664829555507e-03,8.366259057455e-03,8.067147061349e-03,7.827122142454e-03,7.629802334929e-03,7.392499907725e-03,7.207500167234e-03,7.023861672574e-03,6.841584423763e-03,6.717852754129e-03,2.742839661860e-03
4.100000,6.706058333782e-03,1.048926463791e-02,1.179657353956e-02,1.152558474068e-02,1.125329008306e-02,1.104084394845e-02,1.086221486381e-02,1.053251538542e-02,1.028035431583e-02,1.046770837629e-02,1.010430057845e-02,9.699866467880e-03,9.342316256180e-03,9.043871291358e-03,8.746291523177e-03,8.457390295695e-03,8.167943047992e-03,7.935660568518e-03,7.744404401755e-03,7.514817149832e-03,7.335696471075e-03,7.157923406091e-03,6.981497954886e-03,6.861691251679e-03,2.977641984400e-03
4.600000,6.824347971543e-03,1.045913170244e-02,1.173825971592e-02,1.147341288198e-02,1.120729531097e-02,1.099931037198e-02,1.082476604428e-02,1.050187581203e-02,1.026179021461e-02,1.044695897532e-02,1.009423059111e-02,9.701964961064e-03,9.355003480083e-03,9.065404112258e-03,8.776645507546e-03,8.496443665618e-03,8.215694208191e-03,7.990380857590e-03,7.804604752860e-03,7.581956139049e-03,7.408134038445e-03,7.235644306220e-03,7.064486942415e-03,6.948218069917e-03,3.148754817790e-03
5.100000,6.900055125083e-03,1.040202350726e-02,1.165449870385e-02,1.139542849399e-02,1.113511702073e-02,1.093136612056e-02,1.076065814863e-02,1.044424204448e-02,1.021482403788e-02,1.039761650251e-02,1.005462390796e-02,9.673433960590e-03,9.336120922775e-03,9.054580109502e-03,8.773858527480e-03,8.501573739609e-03,8.228741639108e-03,8.009773033262e-03,7.829001780245e-03,7.612665920141e-03,7.443672478817e-03,7.275995410364e-03,7.109634714770e-03,6.996590201192e-03,3.276067770430e-03
5.600000,6.946132019682e-03,1.032778828790e-02,1.155504188328e-02,1.130141513282e-02,1.104657238015e-02,1.084683862410e-02,1.067974188547e-02,1.036947648218e-02,1.014961812672e-02,1.032994314201e-02,9.995904998510e-03,9.624888820938e-03,9.296446426934e-03,9.022313409077e-03,8.748980353907e-03,8.483967131203e-03,8.218408164305e-03,8.005268735511e-03,7.829107340788e-03,7.618568144034e-03,7.454014545463e-03,7.290761062904e-03,7.128807696373e-03,7.018728123763e-03,3.372164206220e-03
