energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
0.5,0.0000000000e+00,7.4787648608e-03,8.4226866393e-03,8.2048585366e-03,7.9870304338e-03,7.8418116987e-03,7.6965929635e-03,7.4787648608e-03,6.8252805526e-03,6.8978899201e-03,6.4622337147e-03,5.9539681416e-03,5.5183119361e-03,5.1552650982e-03,4.7922182603e-03,4.4291714224e-03,4.0661245845e-03,3.7756871142e-03,3.5578590114e-03,3.2674215411e-03,3.0495934384e-03,2.8317653356e-03,2.6139372329e-03,2.4687184977e-03,0.0000000000e+00
1,2.4629550564e-04,7.1405372872e-03,8.4523566911e-03,8.1638970229e-03,7.8788545837e-03,7.6678433861e-03,7.4783142197e-03,7.1619230672e-03,6.6108386704e-03,6.8529077826e-03,6.4188169831e-03,5.9162619887e-03,5.4833423493e-03,5.1222078826e-03,4.7614958863e-03,4.4026074885e-03,4.0441415610e-03,3.7563858975e-03,3.5370944288e-03,3.2508361445e-03,3.0337907448e-03,2.8174940347e-03,2.6019460142e-03,2.4575307280e-03,0.0000000000e+00
1.5,3.0739935686e-03,9.2648331829e-03,1.0798668829e-02,1.0472643206e-02,1.0145127525e-02,9.8988521278e-03,9.6833466959e-03,9.3042961814e-03,8.8341626523e-03,9.0350167677e-03,8.5463626322e-03,7.9937242942e-03,7.5101263364e-03,7.1070262062e-03,6.7045224312e-03,6.3098253732e-03,5.9143356192e-03,5.5974974378e-03,5.3446434588e-03,5.0302478876e-03,4.7882346041e-03,4.5474426258e-03,4.3078719526e-03,4.1461601560e-03,0.0000000000e+00
2,4.4539270922e-03,1.0289608054e-02,1.1816763392e-02,1.1493652068e-02,1.1169194966e-02,1.0923430046e-02,1.0709872536e-02,1.0330905887e-02,9.8958346379e-03,1.0089124978e-02,9.6101033743e-03,9.0703458269e-03,8.5970723463e-03,8.2020730498e-03,7.8080294597e-03,7.4224055363e-03,7.0363386685e-03,6.7267642329e-03,6.4779257406e-03,6.1709184354e-03,5.9339465487e-03,5.6982582272e-03,5.4638534708e-03,5.3054982023e-03,8.5135900756e-04
2.5,5.2236217908e-03,1.0797711722e-02,1.2307562893e-02,1.1988960630e-02,1.1669102595e-02,1.1425749768e-02,1.1215303788e-02,1.0839754991e-02,1.0429074301e-02,1.0627329510e-02,1.0162802192e-02,9.6399965000e-03,9.1812144837e-03,8.7983462122e-03,8.4163918412e-03,8.0429069961e-03,7.6689420387e-03,7.3690417911e-03,7.1274199176e-03,6.8301390228e-03,6.6004050239e-03,6.3719807015e-03,6.1448660554e-03,5.9913360068e-03,1.6076105809e-03
3,5.6962141991e-03,1.1062746223e-02,1.2552120960e-02,1.2238414873e-02,1.1923515332e-02,1.1683213632e-02,1.1476087921e-02,1.1105041483e-02,1.0713064167e-02,1.0913287072e-02,1.0461105886e-02,9.9526310816e-03,9.5061635721e-03,9.1335954678e-03,8.7619095412e-03,8.3986808565e-03,8.0349505773e-03,7.7432375384e-03,7.5078181182e-03,7.2187437453e-03,6.9951639596e-03,6.7729035069e-03,6.5519623872e-03,6.4025369132e-03,2.0900625275e-03
3.5,6.0041204958e-03,1.1198103663e-02,1.2666302509e-02,1.2357478422e-02,1.2047507100e-02,1.1810441996e-02,1.1606600680e-02,1.1240399420e-02,1.0863571125e-02,1.1064216569e-02,1.0622819930e-02,1.0126801086e-02,9.6910737288e-03,9.3274840847e-03,8.9647511318e-03,8.6104332803e-03,8.2556009033e-03,7.9710089993e-03,7.7410392997e-03,7.4590884987e-03,7.2408782213e-03,7.0239884954e-03,6.8084193209e-03,6.6625760940e-03,2.4188077067e-03
4,6.2124103385e-03,1.1258306844e-02,1.2705596478e-02,1.2401496851e-02,1.2096285981e-02,1.1862459729e-02,1.1661782405e-02,1.1300465378e-02,1.0936375231e-02,1.1136584392e-02,1.0704786492e-02,1.0219814960e-02,9.7936363161e-03,9.4380260622e-03,9.0832512082e-03,8.7368342561e-03,8.3898949262e-03,8.1116220189e-03,7.8865227431e-03,7.6108840608e-03,7.3974489427e-03,7.1853309370e-03,6.9745300438e-03,6.8318731955e-03,2.6533105449e-03
4.5,6.3565425087e-03,1.1272399519e-02,1.2699433176e-02,1.2399852570e-02,1.2099189784e-02,1.1868527095e-02,1.1670867323e-02,1.1314342197e-02,1.0961255483e-02,1.1160528184e-02,1.0737396970e-02,1.0262373940e-02,9.8448097877e-03,9.4963961955e-03,9.1487997088e-03,8.8094963222e-03,8.4696659110e-03,8.1970856274e-03,7.9763971605e-03,7.7064388487e-03,7.4973125750e-03,7.2894972872e-03,7.0829929853e-03,6.9432117864e-03,2.8262317616e-03
5,6.4573605024e-03,1.1257046500e-02,1.2664618865e-02,1.2369342204e-02,1.2073007499e-02,1.1845401177e-02,1.1650609484e-02,1.1298727621e-02,1.0955339452e-02,1.1153376901e-02,1.0738159450e-02,1.0272202341e-02,9.8624993674e-03,9.5206516737e-03,9.1796050313e-03,8.8467830936e-03,8.5134316001e-03,8.2460404245e-03,8.0293889075e-03,7.7646042794e-03,7.5594106665e-03,7.3555203273e-03,7.1529332620e-03,7.0157769587e-03,2.9569281467e-03
