energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
0.100000,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
0.600000,0.000000000000e+00,7.336761017140e-03,8.262759980460e-03,8.049067912000e-03,7.835375843540e-03,7.692914464570e-03,7.550453085600e-03,7.336761017140e-03,6.695684811760e-03,6.766915501240e-03,6.339531364320e-03,5.840916537910e-03,5.413532400990e-03,5.057378953560e-03,4.701225506130e-03,4.345072058690e-03,3.988918611260e-03,3.703995853310e-03,3.490303784850e-03,3.205381026900e-03,2.991688958440e-03,2.777996889980e-03,2.564304821520e-03,2.421843442550e-03,0.000000000000e+00
1.100000,0.000000000000e+00,7.014924405410e-03,7.900303213860e-03,7.695985027290e-03,7.491666840730e-03,7.355454716350e-03,7.219242591980e-03,7.014924405410e-03,6.401969845710e-03,6.470075907900e-03,6.061439534770e-03,5.584697099450e-03,5.176060726320e-03,4.835530415380e-03,4.495000104440e-03,4.154469793500e-03,3.813939482550e-03,3.541515233800e-03,3.337197047230e-03,3.064772798480e-03,2.860454611910e-03,2.656136425350e-03,2.451818238780e-03,2.315606114410e-03,0.000000000000e+00
1.600000,0.000000000000e+00,7.246464298409e-03,1.048705842539e-02,9.817443338060e-03,9.168494637860e-03,8.614619366670e-03,8.184742418140e-03,7.366329343642e-03,7.072794211723e-03,8.163987499400e-03,7.634879699430e-03,7.039631412380e-03,6.518790167260e-03,6.080622518890e-03,5.646588147960e-03,5.220820331870e-03,4.799185793190e-03,4.456091573860e-03,4.179137841609e-03,3.844310177129e-03,3.579756277140e-03,3.319335654573e-03,3.063048309437e-03,2.889434561059e-03,0.000000000000e+00
2.100000,3.673943721900e-03,7.342287986040e-03,1.113156595071e-02,1.035971688461e-02,9.609890544696e-03,8.963989590261e-03,8.467690547231e-03,7.493377320944e-03,7.474602964696e-03,8.678190079407e-03,8.130142110857e-03,7.517812232607e-03,6.975653664162e-03,6.524154257492e-03,6.073166475547e-03,5.637800394967e-03,5.202945939112e-03,4.848506719067e-03,4.558349408702e-03,4.214665739367e-03,3.940641755092e-03,3.671995546177e-03,3.408727112629e-03,3.226385539598e-03,0.000000000000e+00
2.600000,5.307596409250e-03,1.085114288684e-02,1.236642168466e-02,1.204878663604e-02,1.172521825793e-02,1.148244533104e-02,1.127265833895e-02,1.089795714190e-02,1.047941527198e-02,1.069489911343e-02,1.023299002584e-02,9.713230788720e-03,9.251416804556e-03,8.873001665190e-03,8.493226871298e-03,8.121922688842e-03,7.744487691159e-03,7.446327281987e-03,7.206017022345e-03,6.910481757792e-03,6.682053615750e-03,6.454938045997e-03,6.229135048574e-03,6.076475824421e-03,0.000000000000e+00
3.100000,5.734289102300e-03,1.109790819241e-02,1.258305986977e-02,1.227033807188e-02,1.195643310928e-02,1.171677209218e-02,1.151031017075e-02,1.114021886633e-02,1.075150957852e-02,1.095191167490e-02,1.050199799820e-02,9.996146470032e-03,9.548290800183e-03,9.177611783350e-03,8.807809430547e-03,8.446457649147e-03,8.080953643368e-03,7.790739989568e-03,7.556464187249e-03,7.268890717921e-03,7.046440339369e-03,6.825310053037e-03,6.605499858956e-03,6.456827792474e-03,0.000000000000e+00
3.600000,6.052319011443e-03,1.121497638133e-02,1.267895437932e-02,1.237109017005e-02,1.206208661074e-02,1.182567255592e-02,1.162247501950e-02,1.125725328676e-02,1.088313903796e-02,1.108375124977e-02,1.064435973084e-02,1.015065139058e-02,9.716919453173e-03,9.354997501693e-03,8.993927694551e-03,8.641262443958e-03,8.288080766946e-03,8.004810228723e-03,7.775856511818e-03,7.495226284715e-03,7.278013791619e-03,7.062121454065e-03,6.847549272101e-03,6.702371802493e-03,0.000000000000e+00
4.100000,6.245549541606e-03,1.126415259994e-02,1.270733192432e-02,1.240415319416e-02,1.209986951067e-02,1.186668345547e-02,1.166662166084e-02,1.130627293125e-02,1.094450582771e-02,1.114455964744e-02,1.071456305449e-02,1.023166113655e-02,9.807273459980e-03,9.453159552721e-03,9.099877175682e-03,8.754940185034e-03,8.409479673856e-03,8.132390862918e-03,7.908207376981e-03,7.633750682055e-03,7.421211316660e-03,7.209988009274e-03,7.000080759888e-03,6.858021690244e-03,2.692062335040e-03
4.600000,6.379670318349e-03,1.127129031735e-02,1.269436605700e-02,1.239566339298e-02,1.209588372259e-02,1.186584144008e-02,1.166876712638e-02,1.131318357567e-02,1.096213013642e-02,1.116117499563e-02,1.073968200417e-02,1.026653704522e-02,9.850600590994e-03,9.503546607498e-03,9.157306358417e-03,8.819345727263e-03,8.480857421977e-03,8.209351989291e-03,7.989498524084e-03,7.720612180718e-03,7.512300139963e-03,7.305297643870e-03,7.099604692436e-03,6.960366939469e-03,2.855281403170e-03
5.100000,6.473562881385e-03,1.125140984380e-02,1.265518924675e-02,1.236074795633e-02,1.206525297989e-02,1.183824388458e-02,1.164400832862e-02,1.129303502970e-02,1.095145716106e-02,1.114922315945e-02,1.073551029352e-02,1.027127505724e-02,9.863066195913e-03,9.522466292862e-03,9.182664451321e-03,8.851073422546e-03,8.518952521699e-03,8.252547048424e-03,8.036663945510e-03,7.772861679476e-03,7.568415575529e-03,7.365271075195e-03,7.163428178468e-03,7.026770837253e-03,2.979156961450e-03
5.600000,6.539106798194e-03,1.121371567731e-02,1.259902478709e-02,1.230863803245e-02,1.201721746952e-02,1.179312264475e-02,1.160158423777e-02,1.125504926429e-02,1.092197712952e-02,1.111830233451e-02,1.071176979544e-02,1.025574484425e-02,9.854664447682e-03,9.520017250188e-03,9.186154094601e-03,8.860431924436e-03,8.534179027475e-03,8.272474187018e-03,8.060261758692e-03,7.801142563814e-03,7.600263086981e-03,7.400676432939e-03,7.202382601697e-03,7.068106100163e-03,3.074835425630e-03
6.100000,6.584111092104e-03,1.116408846611e-02,1.253172987225e-02,1.224520370919e-02,1.195766097683e-02,1.173636173782e-02,1.154738866958e-02,1.120511766126e-02,1.087977124127e-02,1.107456074802e-02,1.067470253564e-02,1.022629980971e-02,9.831842980670e-03,9.502726127220e-03,9.174380618853e-03,8.854106413788e-03,8.533301572745e-03,8.275961464863e-03,8.067165870530e-03,7.812392893439e-03,7.614827742575e-03,7.418546157090e-03,7.223548137015e-03,7.091484214133e-03,3.149710052780e-03
6.600000,6.613895260928e-03,1.110641206232e-02,1.245714666434e-02,1.217430148281e-02,1.189045489804e-02,1.167183681692e-02,1.148530762985e-02,1.114713084452e-02,1.082886910520e-02,1.102207083588e-02,1.062845382154e-02,1.018717134513e-02,9.798906274241e-03,9.474958653599e-03,9.151770762902e-03,8.836585321493e-03,8.520870013047e-03,8.267607795273e-03,8.062011039589e-03,7.811296945946e-03,7.616830295683e-03,7.423637707493e-03,7.231719181350e-03,7.101723878845e-03,3.208864621250e-03
7.100000,6.632191535601e-03,1.104332101018e-02,1.237786141478e-02,1.209853177285e-02,1.181821423149e-02,1.160216890245e-02,1.141797212654e-02,1.108372770989e-02,1.077201430448e-02,1.096360413241e-02,1.057585296411e-02,1.014125672507e-02,9.758809473336e-03,9.439718449336e-03,9.121376440976e-03,8.810969251850e-03,8.500033457734e-03,8.250601041923e-03,8.048013696861e-03,7.801110205500e-03,7.609555121323e-03,7.419264499376e-03,7.230238339668e-03,7.102186953255e-03,3.255901132340e-03
7.600000,6.641684355885e-03,1.097664146708e-02,1.229565107227e-02,1.201968484344e-02,1.174274286240e-02,1.152916851824e-02,1.134720193754e-02,1.101673724116e-02,1.071111657654e-02,1.090108888573e-02,1.051887482289e-02,1.009058544471e-02,9.713628707914e-03,9.399120692797e-03,9.085351740945e-03,8.779451423712e-03,8.473024125603e-03,8.227204593546e-03,8.027460376840e-03,7.784150572733e-03,7.595343408250e-03,7.407791107745e-03,7.221493671212e-03,7.095277019874e-03,3.293437054760e-03
8.100000,6.644345811485e-03,1.090766152674e-02,1.221175633193e-02,1.193901360035e-02,1.166530613976e-02,1.145410768310e-02,1.127427748929e-02,1.094744937279e-02,1.064752942391e-02,1.083589095932e-02,1.045892343347e-02,1.003660614879e-02,9.664850777820e-03,9.354684121615e-03,9.045247229145e-03,8.743614345779e-03,8.441456372910e-03,8.199058267106e-03,8.002009920121e-03,7.762102478397e-03,7.575898645326e-03,7.390940144294e-03,7.207226975303e-03,7.082748583874e-03,3.323416008500e-03
8.600000,6.641651291852e-03,1.083730246901e-02,1.212705410135e-02,1.185740601069e-02,1.158680327052e-02,1.137789201440e-02,1.120011196413e-02,1.087678657522e-02,1.058222623902e-02,1.076899201287e-02,1.039701212779e-02,9.980369087045e-03,9.613557565232e-03,9.307517088384e-03,9.002197641637e-03,8.704619183713e-03,8.406517725255e-03,8.167370666662e-03,7.972886763742e-03,7.736211523339e-03,7.552482236655e-03,7.369988859070e-03,7.188731390576e-03,7.065905321414e-03,3.347308492730e-03
9.100000,6.634722170831e-03,1.076623033872e-02,1.204216951913e-02,1.177549716957e-02,1.150787944845e-02,1.130117272262e-02,1.112536334988e-02,1.080541564802e-02,1.051591523803e-02,1.070110575637e-02,1.033388119869e-02,9.922645468431e-03,9.560546809911e-03,9.258439528744e-03,8.957045039351e-03,8.663330127561e-03,8.369094449831e-03,8.133045716884e-03,7.941008156507e-03,7.707412669341e-03,7.526042400894e-03,7.345898755345e-03,7.166981732667e-03,7.045730888833e-03,3.366245374970e-03
9.600000,6.624422610885e-03,1.069493043723e-02,1.195755048920e-02,1.169374392216e-02,1.142900057369e-02,1.122442128084e-02,1.105050918288e-02,1.073382235148e-02,1.044911631879e-02,1.063275567572e-02,1.027007667144e-02,9.864007480570e-03,9.506413180926e-03,9.208064915942e-03,8.910421641751e-03,8.620398120350e-03,8.329856173964e-03,8.096767991611e-03,7.907069995858e-03,7.676416795545e-03,7.497301252397e-03,7.319403200278e-03,7.142722639188e-03,7.022977417126e-03,3.381108930580e-03
10.100000,6.611426703641e-03,1.062375812247e-02,1.187351832775e-02,1.161247561102e-02,1.135050410735e-02,1.114798027340e-02,1.097589747401e-02,1.066236229975e-02,1.038221356708e-02,1.056432812029e-02,1.020600418062e-02,9.804883104473e-03,9.451603884524e-03,9.156856533653e-03,8.862806761799e-03,8.576318465528e-03,8.289314161544e-03,8.059061524386e-03,7.871606023706e-03,7.643770434677e-03,7.466814933094e-03,7.291067955571e-03,7.116529502129e-03,6.998226707799e-03,3.392596323780e-03
10.600000,6.596265954834e-03,1.055297410550e-02,1.179030281825e-02,1.153192923079e-02,1.127263433082e-02,1.107209867258e-02,1.090178205906e-02,1.059129632075e-02,1.031549180710e-02,1.049610925008e-02,1.014196652179e-02,9.745594382434e-03,9.396457538936e-03,9.105166859802e-03,8.814566696576e-03,8.531471230821e-03,8.247862228037e-03,8.020331131431e-03,7.835029445895e-03,7.609897804708e-03,7.435015946951e-03,7.261333816894e-03,7.088851414567e-03,6.971933381378e-03,3.401264751820e-03
