# Canonical Geant4/TOPAS C12 Stopping Power Table for 25 Schneider Sections
energy_mevu,section_id,material_name,density_g_cm3,mass_stopping_power_mev_mm_per_g_cm3,linear_stopping_power_mev_per_mm,csda_range_mm
0.01,0,PatientTissueFromHUNegative975,0.0393235,179.1329845000,7.0441359160,0.0170354464
0.01,1,PatientTissueFromHUNegative535,0.4700410,235.8394978000,110.8542334000,0.0010825026
0.01,2,PatientTissueFromHUNegative102,0.8749110,288.1042822000,252.0656057000,0.0004760665
0.01,3,PatientTissueFromHUNegative68,0.9126860,277.5165514000,253.2854712000,0.0004737737
0.01,4,PatientTissueFromHUNegative38,0.9471830,267.2857751000,253.1685423000,0.0004739925
0.01,5,PatientTissueFromHUNegative8,0.9803890,258.2642759000,253.1994552000,0.0004739347
0.01,6,PatientTissueFromHU12,1.0038600,251.5245227000,252.4954073000,0.0004752562
0.01,7,PatientTissueFromHU49,1.0430800,238.0287351000,248.2830130000,0.0004833194
0.01,8,PatientTissueFromHU100,1.0788000,238.7517550000,257.5653933000,0.0004659011
0.01,9,PatientTissueFromHU160,1.1085700,254.9469454000,282.6265353000,0.0004245886
0.01,10,PatientTissueFromHU250,1.1660600,247.4831705000,288.5802258000,0.0004158289
0.01,11,PatientTissueFromHU350,1.2314600,239.4169361000,294.8323801000,0.0004070109
0.01,12,PatientTissueFromHU450,1.2965800,232.1301986000,300.9753728000,0.0003987037
0.01,13,PatientTissueFromHU550,1.3606300,225.9613075000,307.4497339000,0.0003903077
0.01,14,PatientTissueFromHU650,1.4258500,219.9210024000,313.5743612000,0.0003826843
0.01,15,PatientTissueFromHU750,1.4919000,214.1332131000,319.4653407000,0.0003756276
0.01,16,PatientTissueFromHU850,1.5592200,208.4530015000,325.0240891000,0.0003692034
0.01,17,PatientTissueFromHU950,1.6247800,203.7763362000,331.0917156000,0.0003624373
0.01,18,PatientTissueFromHU1050,1.6890400,199.7021185000,337.3048663000,0.0003557612
0.01,19,PatientTissueFromHU1150,1.7563600,195.1821283000,342.8100828000,0.0003500480
0.01,20,PatientTissueFromHU1250,1.8216000,191.4885593000,348.8155597000,0.0003440214
0.01,21,PatientTissueFromHU1350,1.8875600,187.8732760000,354.6220809000,0.0003383884
0.01,22,PatientTissueFromHU1450,1.9542400,184.3362711000,360.2373144000,0.0003331137
0.01,23,PatientTissueFromHU2247,2.4196000,181.8854344000,440.0899970000,0.0002726715
0.01,24,PatientTissueFromHU2995,4.5524800,102.0096417000,464.3968535000,0.0002583997
0.11,0,PatientTissueFromHUNegative975,0.0393235,505.5079157000,19.8783405200,0.1140357922
0.11,1,PatientTissueFromHUNegative535,0.4700410,670.2274668000,315.0343887000,0.0072209974
0.11,2,PatientTissueFromHUNegative102,0.8749110,796.5339535000,696.8963178000,0.0032194398
0.11,3,PatientTissueFromHUNegative68,0.9126860,770.6980372000,703.4053087000,0.0031968247
0.11,4,PatientTissueFromHUNegative38,0.9471830,745.7963815000,706.4056540000,0.0031908068
0.11,5,PatientTissueFromHUNegative8,0.9803890,724.1613619000,709.9598334000,0.0031826570
0.11,6,PatientTissueFromHU12,1.0038600,707.7235476000,710.4553605000,0.0031860078
0.11,7,PatientTissueFromHU49,1.0430800,675.2051171000,704.2929535000,0.0032270099
0.11,8,PatientTissueFromHU100,1.0788000,672.6373035000,725.6411231000,0.0031213225
0.11,9,PatientTissueFromHU160,1.1085700,710.9061285000,788.0892069000,0.0028591539
0.11,10,PatientTissueFromHU250,1.1660600,691.1504168000,805.9228550000,0.0027980372
0.11,11,PatientTissueFromHU350,1.2314600,669.4122938000,824.3544634000,0.0027370976
0.11,12,PatientTissueFromHU450,1.2965800,649.9238692000,842.6782903000,0.0026794154
0.11,13,PatientTissueFromHU550,1.3606300,633.5118502000,861.9752287000,0.0026212203
0.11,14,PatientTissueFromHU650,1.4258500,617.3923216000,880.3088418000,0.0025683349
0.11,15,PatientTissueFromHU750,1.4919000,601.8196220000,897.8546940000,0.0025195664
0.11,16,PatientTissueFromHU850,1.5592200,586.4780783000,914.4483493000,0.0024751670
0.11,17,PatientTissueFromHU950,1.6247800,573.8947704000,932.4527451000,0.0024285966
0.11,18,PatientTissueFromHU1050,1.6890400,563.2938358000,951.4258204000,0.0023820225
0.11,19,PatientTissueFromHU1150,1.7563600,551.0694682000,967.8763712000,0.0023426580
0.11,20,PatientTissueFromHU1250,1.8216000,541.2454915000,985.9327873000,0.0023010456
0.11,21,PatientTissueFromHU1350,1.8875600,531.6009515000,1003.4286920000,0.0022621520
0.11,22,PatientTissueFromHU1450,1.9542400,522.1358460000,1020.3787560000,0.0022257375
0.11,23,PatientTissueFromHU2247,2.4196000,515.6421246000,1247.6476850000,0.0018210973
0.11,24,PatientTissueFromHU2995,4.5524800,344.6254072000,1568.9002740000,0.0015810473
0.21,0,PatientTissueFromHUNegative975,0.0393235,596.2679202000,23.4473415600,0.1695559999
0.21,1,PatientTissueFromHUNegative535,0.4700410,789.6511231000,371.1684036000,0.0107263388
0.21,2,PatientTissueFromHUNegative102,0.8749110,913.0244433000,798.8151287000,0.0048265178
0.21,3,PatientTissueFromHUNegative68,0.9126860,887.7465909000,810.2338850000,0.0047850479
0.21,4,PatientTissueFromHUNegative38,0.9471830,863.2151382000,817.6227043000,0.0047683851
0.21,5,PatientTissueFromHUNegative8,0.9803890,842.2749743000,825.7571197000,0.0047484169
0.21,6,PatientTissueFromHU12,1.0038600,826.1313439000,829.3202109000,0.0047477837
0.21,7,PatientTissueFromHU49,1.0430800,794.4351313000,828.6593967000,0.0047960648
0.21,8,PatientTissueFromHU100,1.0788000,788.4473353000,850.5769853000,0.0046471552
0.21,9,PatientTissueFromHU160,1.1085700,822.1013109000,911.3568502000,0.0042738633
0.21,10,PatientTissueFromHU250,1.1660600,800.1152173000,932.9823503000,0.0041806801
0.21,11,PatientTissueFromHU350,1.2314600,775.9158982000,955.5093920000,0.0040879639
0.21,12,PatientTissueFromHU450,1.2965800,754.2216336000,977.9086857000,0.0040001040
0.21,13,PatientTissueFromHU550,1.3606300,736.0014879000,1001.4257050000,0.0039116004
0.21,14,PatientTissueFromHU650,1.4258500,718.0673024000,1023.8562630000,0.0038311256
0.21,15,PatientTissueFromHU750,1.4919000,700.7366454000,1045.4290010000,0.0037569717
0.21,16,PatientTissueFromHU850,1.5592200,683.5881274000,1065.8642800000,0.0036894669
0.21,17,PatientTissueFromHU950,1.6247800,669.6090729000,1087.9674300000,0.0036188226
0.21,18,PatientTissueFromHU1050,1.6890400,657.8432099000,1111.1234950000,0.0035479647
0.21,19,PatientTissueFromHU1150,1.7563600,644.1998888000,1131.4469170000,0.0034882055
0.21,20,PatientTissueFromHU1250,1.8216000,633.3049979000,1153.6283840000,0.0034250764
0.21,21,PatientTissueFromHU1350,1.8875600,622.5779717000,1175.1532760000,0.0033660761
0.21,22,PatientTissueFromHU1450,1.9542400,612.0188108000,1196.0316410000,0.0033108450
0.21,23,PatientTissueFromHU2247,2.4196000,604.8073493000,1463.3918620000,0.0027082425
0.21,24,PatientTissueFromHU2995,4.5524800,407.9948093000,1857.3882090000,0.0022831761
0.31,0,PatientTissueFromHUNegative975,0.0393235,607.3194599000,23.8819267800,0.2202660053
0.31,1,PatientTissueFromHUNegative535,0.4700410,801.4952457000,376.7356268000,0.0139353660
0.31,2,PatientTissueFromHUNegative102,0.8749110,917.6569012000,802.8681171000,0.0063249446
0.31,3,PatientTissueFromHUNegative68,0.9126860,893.8638962000,815.8170640000,0.0062610223
0.31,4,PatientTissueFromHUNegative38,0.9471830,870.7274195000,824.7382094000,0.0062297052
0.31,5,PatientTissueFromHUNegative8,0.9803890,851.0316136000,834.3420326000,0.0061941266
0.31,6,PatientTissueFromHU12,1.0038600,835.8291070000,839.0554073000,0.0061863251
0.31,7,PatientTissueFromHU49,1.0430800,806.0217097000,840.7451249000,0.0062337283
0.31,8,PatientTissueFromHU100,1.0788000,799.5924854000,862.6003733000,0.0060480840
0.31,9,PatientTissueFromHU160,1.1085700,830.1233126000,920.2498007000,0.0055841986
0.31,10,PatientTissueFromHU250,1.1660600,808.6803170000,942.9697705000,0.0054600425
0.31,11,PatientTissueFromHU350,1.2314600,785.1413268000,966.8701383000,0.0053364312
0.31,12,PatientTissueFromHU450,1.2965800,764.0109168000,990.6012745000,0.0052193172
