energy_MeV_per_u,moved_fraction,quantile,radius_mm
150,0.0896592892,0,3.1590875
150,0.0896592892,0.01,3.1590875
150,0.0896592892,0.02,3.1590875
150,0.0896592892,0.03,3.15981625
150,0.0896592892,0.04,3.15981625
150,0.0896592892,0.05,3.15981625
150,0.0896592892,0.06,3.16013743
150,0.0896592892,0.07,3.16013743
150,0.0896592892,0.08,3.16013743
150,0.0896592892,0.09,3.16159427
150,0.0896592892,0.1,3.16159427
150,0.0896592892,0.11,3.16159427
150,0.0896592892,0.12,3.16296427
150,0.0896592892,0.13,3.16296427
150,0.0896592892,0.14,3.16296427
150,0.0896592892,0.15,3.16441981
150,0.0896592892,0.16,3.16441981
150,0.0896592892,0.17,3.16474052
150,0.0896592892,0.18,3.16474052
150,0.0896592892,0.19,3.16474052
150,0.0896592892,0.2,3.16546797
150,0.0896592892,0.21,3.16546797
150,0.0896592892,0.22,3.16546797
150,0.0896592892,0.23,4.23948099
150,0.0896592892,0.24,4.23948099
150,0.0896592892,0.25,4.24182783
150,0.0896592892,0.26,4.2434559
150,0.0896592892,0.27,4.2434559
150,0.0896592892,0.28,4.24580054
150,0.0896592892,0.29,5.09593899
150,0.0896592892,0.3,5.09658993
150,0.0896592892,0.31,5.09684255
150,0.0896592892,0.32,5.09794504
150,0.0896592892,0.33,5.10009585
150,0.0896592892,0.34,5.10119764
150,0.0896592892,0.35,5.10145002
150,0.0896592892,0.36,5.10210026
150,0.0896592892,0.37,5.82768903
150,0.0896592892,0.38,5.8280841
150,0.0896592892,0.39,5.83092944
150,0.0896592892,0.4,5.83097618
150,0.0896592892,0.41,5.83250869
150,0.0896592892,0.42,5.8338201
150,0.0896592892,0.43,7.06790809
150,0.0896592892,0.44,7.06852101
150,0.0896592892,0.45,7.06982382
150,0.0896592892,0.46,7.07188255
150,0.0896592892,0.47,7.07310767
150,0.0896592892,0.48,7.07408416
150,0.0896592892,0.49,7.61253702
150,0.0896592892,0.5,7.61384424
150,0.0896592892,0.51,7.61619149
150,0.0896592892,0.52,7.61900922
150,0.0896592892,0.53,8.60100336
150,0.0896592892,0.54,8.60364821
150,0.0896592892,0.55,9.05240934
