# TOPAS/Geant4 C-12 stopping power in G4_AIR (electronic dE/dx)
# Extracted via CarbonStoppingPowerNtuple / G4EmCalculator; not Bethe-Bloch development table.
energy_MeVu,stopping_power_MeV_per_mm
0.01,0.191764
0.11,0.64248
0.21,0.778607
0.31,0.792775
0.41,0.766496
0.51,0.737817
0.61,0.711721
0.71,0.688717
0.81,0.666964
0.91,0.647498
1.01,0.628624
1.11,0.611825
1.21,0.595025
1.31,0.579763
1.41,0.565276
1.51,0.55079
1.61,0.537296
1.71,0.525041
1.81,0.512787
1.91,0.500532
2.01,0.517827
2.11,0.503488
2.21,0.489951
2.31,0.477324
2.41,0.465526
2.51,0.454399
2.61,0.443911
2.71,0.434017
2.81,0.424611
2.91,0.415619
3.01,0.407001
3.11,0.398751
3.21,0.390778
3.31,0.383085
3.41,0.375668
3.51,0.368523
3.61,0.361613
3.71,0.354957
3.81,0.348558
3.91,0.342404
4.01,0.336476
4.11,0.330755
4.21,0.325246
4.31,0.319943
4.41,0.314835
4.51,0.309912
4.61,0.305164
4.71,0.300578
4.81,0.296144
4.91,0.291849
5.01,0.287681
5.11,0.283632
5.21,0.279699
5.31,0.275878
5.41,0.272166
5.51,0.268559
5.61,0.265052
5.71,0.261641
5.81,0.258324
5.91,0.255094
6.01,0.251945
6.11,0.248874
6.21,0.245882
6.31,0.242967
6.41,0.240138
6.51,0.237381
6.61,0.234694
6.71,0.232074
6.81,0.229519
6.91,0.227028
7.01,0.224597
7.11,0.222225
7.21,0.219909
7.31,0.21765
7.41,0.215442
7.51,0.213283
7.61,0.211171
7.71,0.209103
7.81,0.207077
7.91,0.20509
8.01,0.203152
8.11,0.201255
8.21,0.199392
8.31,0.197564
8.41,0.195769
8.51,0.194008
8.61,0.192279
8.71,0.190581
8.81,0.188914
8.91,0.187278
9.01,0.185671
9.11,0.184093
9.21,0.182543
9.31,0.18102
9.41,0.179524
9.51,0.178053
9.61,0.176608
9.71,0.175186
9.81,0.173789
9.91,0.172414
10.01,0.171054
10.11,0.169715
10.21,0.168397
10.31,0.1671
10.41,0.165824
10.51,0.164569
10.61,0.163334
10.71,0.162118
10.81,0.160922
10.91,0.159746
11.01,0.158588
11.11,0.157449
11.21,0.156329
11.31,0.155227
11.41,0.154142
11.51,0.153075
11.61,0.152025
11.71,0.150992
11.81,0.149976
11.91,0.148976
12.01,0.147991
12.11,0.147023
12.21,0.146069
12.31,0.145131
12.41,0.144207
12.51,0.143298
12.61,0.142403
12.71,0.141521
12.81,0.140653
12.91,0.139798
13.01,0.138955
13.11,0.138125
13.21,0.137307
13.31,0.1365
13.41,0.135705
13.51,0.134922
13.61,0.134148
13.71,0.133386
13.81,0.132633
13.91,0.13189
14.01,0.131156
14.11,0.130432
14.21,0.129716
14.31,0.129009
14.41,0.12831
14.51,0.127619
14.61,0.126935
14.71,0.126258
14.81,0.125588
14.91,0.124927
15.01,0.124282
15.11,0.123643
15.21,0.12301
15.31,0.122383
15.41,0.121762
15.51,0.121147
15.61,0.120538
15.71,0.119934
15.81,0.119336
15.91,0.118744
16.01,0.118158
16.11,0.117577
16.21,0.117001
16.31,0.116431
16.41,0.115867
16.51,0.115307
16.61,0.114753
16.71,0.114205
16.81,0.113661
16.91,0.113123
17.01,0.11259
17.11,0.112062
17.21,0.111539
17.31,0.111021
17.41,0.110507
17.51,0.109999
17.61,0.109495
17.71,0.108996
17.81,0.108502
17.91,0.108012
18.01,0.107527
18.11,0.107047
18.21,0.106571
18.31,0.106099
18.41,0.105632
18.51,0.105169
18.61,0.104711
18.71,0.104256
18.81,0.103806
18.91,0.10336
19.01,0.102918
19.11,0.10248
19.21,0.102046
19.31,0.101615
19.41,0.101189
19.51,0.100766
19.61,0.100347
19.71,0.099932
19.81,0.0995203
19.91,0.0991104
20.01,0.0987028
20.11,0.0982988
20.21,0.0978981
20.31,0.097501
20.41,0.0971072
20.51,0.0967169
20.61,0.0963299
20.71,0.0959462
20.81,0.0955659
20.91,0.0951888
21.01,0.0948151
21.11,0.0944445
21.21,0.0940772
21.31,0.0937131
21.41,0.0933521
21.51,0.0929943
21.61,0.0926395
21.71,0.0922879
21.81,0.0919393
21.91,0.0915938
22.01,0.0912512
22.11,0.0909116
22.21,0.090575
22.31,0.0902413
22.41,0.0899105
22.51,0.0895826
22.61,0.0892576
22.71,0.0889353
22.81,0.0886158
22.91,0.0882992
23.01,0.0879852
23.11,0.087674
23.21,0.0873655
23.31,0.0870596
23.41,0.0867564
23.51,0.0864557
23.61,0.0861577
23.71,0.0858622
23.81,0.0855691
23.91,0.0852784
24.01,0.0849903
24.11,0.0847046
24.21,0.0844213
24.31,0.0841404
24.41,0.0838619
24.51,0.0835858
24.61,0.0833119
24.71,0.0830404
24.81,0.0827711
24.91,0.0825041
25.01,0.0822392
25.11,0.0819766
25.21,0.0817161
25.31,0.0814578
25.41,0.0812015
25.51,0.0809473
25.61,0.0806952
25.71,0.0804451
25.81,0.0801971
25.91,0.0799509
26.01,0.0797068
26.11,0.0794645
26.21,0.0792241
26.31,0.0789856
26.41,0.078749
26.51,0.0785141
26.61,0.0782811
26.71,0.0780497
26.81,0.0778202
26.91,0.0775923
27.01,0.0773661
27.11,0.0771415
27.21,0.0769186
27.31,0.0766973
27.41,0.0764775
27.51,0.0762593
27.61,0.0760425
27.71,0.0758273
27.81,0.0756135
27.91,0.0754012
28.01,0.0751903
28.11,0.0749807
28.21,0.0747726
28.31,0.0745657
28.41,0.0743601
28.51,0.0741558
28.61,0.0739528
28.71,0.0737509
28.81,0.0735503
28.91,0.0733508
29.01,0.0731525
29.11,0.0729552
29.21,0.0727591
29.31,0.072564
29.41,0.0723699
29.51,0.0721768
29.61,0.0719847
29.71,0.0717936
29.81,0.0716044
29.91,0.071418
30.01,0.0712325
30.11,0.071048
30.21,0.0708643
30.31,0.0706814
30.41,0.0704995
30.51,0.0703184
30.61,0.0701382
30.71,0.0699589
30.81,0.0697805
30.91,0.0696029
31.01,0.0694262
31.11,0.0692503
31.21,0.0690753
31.31,0.0689012
31.41,0.0687279
31.51,0.0685554
31.61,0.0683838
31.71,0.068213
31.81,0.0680431
31.91,0.0678739
32.01,0.0677056
32.11,0.0675382
32.21,0.0673715
32.31,0.0672057
32.41,0.0670406
32.51,0.0668764
32.61,0.066713
32.71,0.0665503
32.81,0.0663885
32.91,0.0662275
33.01,0.0660672
33.11,0.0659078
33.21,0.0657491
33.31,0.0655912
33.41,0.065434
33.51,0.0652777
33.61,0.0651221
33.71,0.0649672
33.81,0.0648132
33.91,0.0646599
34.01,0.0645073
34.11,0.0643555
34.21,0.0642044
34.31,0.0640541
34.41,0.0639045
34.51,0.0637556
34.61,0.0636075
34.71,0.0634601
34.81,0.0633134
34.91,0.0631674
35.01,0.0630222
35.11,0.0628776
35.21,0.0627338
35.31,0.0625907
35.41,0.0624483
35.51,0.0623065
35.61,0.0621655
35.71,0.0620252
35.81,0.0618855
35.91,0.0617465
36.01,0.0616083
36.11,0.0614706
36.21,0.0613337
36.31,0.0611974
36.41,0.0610618
36.51,0.0609268
36.61,0.0607925
36.71,0.0606589
36.81,0.0605259
36.91,0.0603935
37.01,0.0602618
37.11,0.0601308
37.21,0.0600003
37.31,0.0598705
37.41,0.0597414
37.51,0.0596128
37.61,0.0594849
37.71,0.0593576
37.81,0.0592309
37.91,0.0591048
38.01,0.0589793
38.11,0.0588544
38.21,0.0587301
38.31,0.0586064
38.41,0.0584833
38.51,0.0583608
38.61,0.0582389
38.71,0.0581176
38.81,0.0579968
38.91,0.0578766
39.01,0.057757
39.11,0.0576379
39.21,0.0575194
39.31,0.0574015
39.41,0.0572841
39.51,0.0571672
39.61,0.057051
39.71,0.0569352
39.81,0.0568196
39.91,0.0567046
40.01,0.0565901
40.11,0.0564762
40.21,0.0563628
40.31,0.0562499
40.41,0.0561375
40.51,0.0560257
40.61,0.0559144
40.71,0.0558036
40.81,0.0556933
40.91,0.0555835
41.01,0.0554742
41.11,0.0553654
41.21,0.0552572
41.31,0.0551494
41.41,0.0550421
41.51,0.0549354
41.61,0.0548291
41.71,0.0547233
41.81,0.054618
41.91,0.0545132
42.01,0.0544088
42.11,0.054305
42.21,0.0542016
42.31,0.0540987
42.41,0.0539962
42.51,0.0538943
42.61,0.0537927
42.71,0.0536917
42.81,0.0535911
42.91,0.053491
43.01,0.0533913
43.11,0.0532921
43.21,0.0531933
43.31,0.053095
43.41,0.0529971
43.51,0.0528996
43.61,0.0528026
43.71,0.052706
43.81,0.0526099
43.91,0.0525142
44.01,0.0524189
44.11,0.052324
44.21,0.0522296
44.31,0.0521355
44.41,0.0520419
44.51,0.0519487
44.61,0.0518559
44.71,0.0517636
44.81,0.0516716
44.91,0.05158
45.01,0.0514888
45.11,0.0513981
45.21,0.0513077
45.31,0.0512177
45.41,0.0511281
45.51,0.0510388
45.61,0.05095
45.71,0.0508615
45.81,0.0507735
45.91,0.0506858
46.01,0.0505984
46.11,0.0505115
46.21,0.0504249
46.31,0.0503386
46.41,0.0502527
46.51,0.0501672
46.61,0.0500821
46.71,0.0499972
46.81,0.0499128
46.91,0.0498287
47.01,0.0497449
47.11,0.0496615
47.21,0.0495784
47.31,0.0494956
47.41,0.0494132
47.51,0.0493311
47.61,0.0492493
47.71,0.0491679
47.81,0.0490868
47.91,0.049006
48.01,0.0489255
48.11,0.0488453
48.21,0.0487655
48.31,0.0486859
48.41,0.0486067
48.51,0.0485278
48.61,0.0484491
48.71,0.0483708
48.81,0.0482927
48.91,0.048215
49.01,0.0481375
49.11,0.0480603
49.21,0.0479834
49.31,0.0479068
49.41,0.0478305
49.51,0.0477544
49.61,0.0476786
49.71,0.0476031
49.81,0.0475278
49.91,0.0474528
50.01,0.0473781
50.11,0.0473036
50.21,0.0472294
50.31,0.0471555
50.41,0.0470818
50.51,0.0470084
50.61,0.0469352
50.71,0.0468623
50.81,0.0467897
50.91,0.0467173
51.01,0.0466452
51.11,0.0465733
51.21,0.0465017
51.31,0.0464303
51.41,0.0463592
51.51,0.0462883
51.61,0.0462177
51.71,0.0461473
51.81,0.0460772
51.91,0.0460073
52.01,0.0459376
52.11,0.0458682
52.21,0.0457991
52.31,0.0457302
52.41,0.0456615
52.51,0.0455931
52.61,0.0455249
52.71,0.0454569
52.81,0.0453892
52.91,0.0453217
53.01,0.0452545
53.11,0.0451874
53.21,0.0451206
53.31,0.0450541
53.41,0.0449878
53.51,0.0449217
53.61,0.0448558
53.71,0.0447901
53.81,0.0447247
53.91,0.0446595
54.01,0.0445945
54.11,0.0445298
54.21,0.0444652
54.31,0.0444009
54.41,0.0443368
54.51,0.044273
54.61,0.0442093
54.71,0.0441458
54.81,0.0440826
54.91,0.0440196
55.01,0.0439568
55.11,0.0438942
55.21,0.0438318
55.31,0.0437696
55.41,0.0437077
55.51,0.0436459
55.61,0.0435843
55.71,0.043523
55.81,0.0434618
55.91,0.0434009
56.01,0.0433401
56.11,0.0432796
56.21,0.0432192
56.31,0.0431591
56.41,0.0430991
56.51,0.0430394
56.61,0.0429798
56.71,0.0429205
56.81,0.0428613
56.91,0.0428023
57.01,0.0427435
57.11,0.0426849
57.21,0.0426265
57.31,0.0425683
57.41,0.0425102
57.51,0.0424524
57.61,0.0423947
57.71,0.0423372
57.81,0.0422799
57.91,0.0422228
58.01,0.0421658
58.11,0.0421091
58.21,0.0420525
58.31,0.0419961
58.41,0.0419398
58.51,0.0418838
58.61,0.0418279
58.71,0.0417722
58.81,0.0417166
58.91,0.0416612
59.01,0.041606
59.11,0.041551
59.21,0.0414961
59.31,0.0414414
59.41,0.0413869
59.51,0.0413325
59.61,0.0412782
59.71,0.041224
59.81,0.04117
59.91,0.0411161
60.01,0.0410624
60.11,0.0410089
60.21,0.0409555
60.31,0.0409023
60.41,0.0408493
60.51,0.0407964
60.61,0.0407436
60.71,0.040691
60.81,0.0406386
60.91,0.0405863
61.01,0.0405342
61.11,0.0404822
61.21,0.0404304
61.31,0.0403788
61.41,0.0403273
61.51,0.0402759
61.61,0.0402247
61.71,0.0401737
61.81,0.0401228
61.91,0.0400721
62.01,0.0400215
62.11,0.039971
62.21,0.0399208
62.31,0.0398706
62.41,0.0398206
62.51,0.0397708
62.61,0.0397211
62.71,0.0396716
62.81,0.0396222
62.91,0.0395729
63.01,0.0395238
63.11,0.0394749
63.21,0.0394261
63.31,0.0393774
63.41,0.0393289
63.51,0.0392805
63.61,0.0392323
63.71,0.0391842
63.81,0.0391362
