# TOPAS/Geant4 C-12 stopping power in Water_75eV (electronic dE/dx)
# Extracted via CarbonStoppingPowerNtuple / G4EmCalculator; not Bethe-Bloch development table.
energy_MeVu,stopping_power_MeV_per_mm
1.0,1243.03
2.0,826.718
3.0,650.443
4.0,538.375
5.0,461.546
6.0,404.947
7.0,361.438
8.0,326.949
9.0,298.873
10.0,275.557
11.0,255.864
12.0,239.004
13.0,224.405
14.0,211.631
15.0,200.357
16.0,190.316
17.0,181.324
18.0,173.221
19.0,165.88
20.0,159.195
21.0,153.081
22.0,147.473
23.0,142.304
24.0,137.524
25.0,133.087
26.0,128.959
27.0,125.109
28.0,121.508
29.0,118.134
30.0,114.964
31.0,111.981
32.0,109.168
33.0,106.51
34.0,103.993
35.0,101.608
36.0,99.3446
37.0,97.1925
38.0,95.144
39.0,93.1916
40.0,91.3286
41.0,89.5488
42.0,87.8468
43.0,86.2174
44.0,84.6562
45.0,83.1589
46.0,81.7216
47.0,80.3409
48.0,79.015
49.0,77.739
50.0,76.5102
51.0,75.3259
52.0,74.1838
53.0,73.0815
54.0,72.017
55.0,70.9883
56.0,69.9936
57.0,69.0312
58.0,68.0996
59.0,67.1972
60.0,66.3226
61.0,65.4747
62.0,64.6521
63.0,63.8537
64.0,63.0784
65.0,62.3253
66.0,61.5934
67.0,60.8818
68.0,60.1897
69.0,59.5162
70.0,58.8607
71.0,58.2224
72.0,57.6006
73.0,56.9947
74.0,56.4041
75.0,55.8283
76.0,55.2665
77.0,54.7184
78.0,54.1835
79.0,53.6612
80.0,53.1511
81.0,52.6529
82.0,52.166
83.0,51.6901
84.0,51.2249
85.0,50.7698
86.0,50.3247
87.0,49.8892
88.0,49.4629
89.0,49.0456
90.0,48.637
91.0,48.2368
92.0,47.8447
93.0,47.4605
94.0,47.084
95.0,46.7148
96.0,46.3529
97.0,45.998
98.0,45.6498
99.0,45.3082
100.0,44.973
101.0,44.644
102.0,44.3211
103.0,44.004
104.0,43.6927
105.0,43.3869
106.0,43.0865
107.0,42.7914
108.0,42.5014
109.0,42.2164
110.0,41.9363
111.0,41.661
112.0,41.3902
113.0,41.124
114.0,40.8622
115.0,40.6047
116.0,40.3514
117.0,40.1022
118.0,39.857
119.0,39.6156
120.0,39.3781
121.0,39.1443
122.0,38.9141
123.0,38.6875
124.0,38.4644
125.0,38.2446
126.0,38.0281
127.0,37.8149
128.0,37.6049
129.0,37.3979
130.0,37.194
131.0,36.9931
132.0,36.795
133.0,36.5998
134.0,36.4073
135.0,36.2176
136.0,36.0305
137.0,35.8461
138.0,35.6641
139.0,35.4847
140.0,35.3077
141.0,35.1331
142.0,34.9608
143.0,34.7908
144.0,34.6231
145.0,34.4576
146.0,34.2942
147.0,34.1329
148.0,33.9738
149.0,33.8166
150.0,33.6615
151.0,33.5083
152.0,33.357
153.0,33.2076
154.0,33.0601
155.0,32.9144
156.0,32.7704
157.0,32.6282
158.0,32.4877
159.0,32.3489
160.0,32.2118
161.0,32.0763
162.0,31.9423
163.0,31.81
164.0,31.6791
165.0,31.5498
166.0,31.422
167.0,31.2956
168.0,31.1707
169.0,31.0472
170.0,30.925
171.0,30.8043
172.0,30.6848
173.0,30.5667
174.0,30.4499
175.0,30.3344
176.0,30.2201
177.0,30.1071
178.0,29.9953
179.0,29.8846
180.0,29.7752
181.0,29.6669
182.0,29.5598
183.0,29.4538
