# TOPAS/Geant4 C-12 stopping power in G4_BONE_COMPACT_ICRU (electronic dE/dx)
# Extracted via CarbonStoppingPowerNtuple / G4EmCalculator; not Bethe-Bloch development table.
energy_MeVu,stopping_power_MeV_per_mm
0.01,355.438
0.11,1112.63
0.21,1300.01
0.31,1321.62
0.41,1290.84
0.51,1251.5
0.61,1211.39
0.71,1174.15
0.81,1138.17
0.91,1104.63
1.01,1072
1.11,1042.61
1.21,1013.22
1.31,986.157
1.41,960.278
1.51,934.4
1.61,910.146
1.71,887.928
1.81,865.709
1.91,843.491
2.01,824.483
2.11,802.847
2.21,782.342
2.31,762.889
2.41,744.407
2.51,726.693
2.61,709.58
2.71,693.364
2.81,677.92
2.91,663.163
3.01,649.06
3.11,635.515
3.21,622.54
3.31,610.108
3.41,598.182
3.51,586.824
3.61,576.206
3.71,565.982
3.81,556.128
3.91,546.628
4.01,537.474
4.11,528.612
4.21,520.038
4.31,511.778
4.41,503.796
4.51,496.065
4.61,488.578
4.71,481.327
4.81,474.303
4.91,467.496
5.01,460.895
5.11,454.491
5.21,448.276
5.31,442.241
5.41,436.38
5.51,430.691
5.61,425.16
5.71,419.778
5.81,414.533
5.91,409.427
6.01,404.455
6.11,399.612
6.21,394.891
6.31,390.289
6.41,385.801
6.51,381.423
6.61,377.151
6.71,372.982
6.81,368.912
6.91,364.937
7.01,361.054
7.11,357.26
7.21,353.552
7.31,349.93
7.41,346.389
7.51,342.92
7.61,339.524
7.71,336.2
7.81,332.946
7.91,329.76
8.01,326.64
8.11,323.583
8.21,320.587
8.31,317.65
8.41,314.771
8.51,311.948
8.61,309.179
8.71,306.464
8.81,303.799
8.91,301.185
9.01,298.618
9.11,296.099
9.21,293.625
9.31,291.196
9.41,288.81
9.51,286.467
9.61,284.164
9.71,281.901
9.81,279.678
9.91,277.492
10.01,275.344
10.11,273.231
10.21,271.153
10.31,269.11
10.41,267.099
10.51,265.121
10.61,263.172
10.71,261.255
10.81,259.368
10.91,257.511
11.01,255.683
11.11,253.883
11.21,252.11
11.31,250.365
11.41,248.645
11.51,246.952
11.61,245.283
11.71,243.639
11.81,242.018
11.91,240.422
12.01,238.848
12.11,237.297
12.21,235.767
12.31,234.259
12.41,232.773
12.51,231.306
12.61,229.86
12.71,228.434
12.81,227.027
12.91,225.638
13.01,224.268
13.11,222.917
13.21,221.583
13.31,220.266
13.41,218.967
13.51,217.684
13.61,216.418
13.71,215.168
13.81,213.934
13.91,212.715
14.01,211.511
14.11,210.323
14.21,209.149
14.31,207.989
14.41,206.843
14.51,205.712
14.61,204.593
14.71,203.489
14.81,202.397
14.91,201.318
15.01,200.251
15.11,199.196
15.21,198.153
15.31,197.122
15.41,196.102
15.51,195.094
15.61,194.098
15.71,193.112
15.81,192.138
15.91,191.175
16.01,190.222
16.11,189.279
16.21,188.347
16.31,187.424
16.41,186.512
16.51,185.61
16.61,184.717
16.71,183.833
16.81,182.959
16.91,182.094
17.01,181.238
17.11,180.391
17.21,179.553
17.31,178.723
17.41,177.902
17.51,177.089
17.61,176.284
17.71,175.487
17.81,174.698
17.91,173.917
18.01,173.144
18.11,172.378
18.21,171.62
18.31,170.869
18.41,170.125
18.51,169.389
18.61,168.659
18.71,167.937
18.81,167.221
18.91,166.512
19.01,165.81
19.11,165.114
19.21,164.425
19.31,163.742
19.41,163.065
19.51,162.394
19.61,161.73
19.71,161.072
19.81,160.419
19.91,159.772
20.01,159.131
20.11,158.496
20.21,157.866
20.31,157.242
20.41,156.624
20.51,156.01
20.61,155.402
20.71,154.8
20.81,154.202
20.91,153.61
21.01,153.023
21.11,152.44
21.21,151.863
21.31,151.292
21.41,150.724
21.51,150.162
21.61,149.604
21.71,149.051
21.81,148.503
21.91,147.959
22.01,147.419
22.11,146.884
22.21,146.353
22.31,145.826
22.41,145.304
22.51,144.786
22.61,144.271
22.71,143.761
22.81,143.255
22.91,142.753
23.01,142.255
23.11,141.761
23.21,141.27
23.31,140.783
23.41,140.3
23.51,139.821
23.61,139.345
23.71,138.873
23.81,138.405
23.91,137.939
24.01,137.478
24.11,137.019
24.21,136.565
24.31,136.113
24.41,135.665
24.51,135.22
24.61,134.778
24.71,134.34
24.81,133.905
24.91,133.473
25.01,133.044
25.11,132.618
25.21,132.195
25.31,131.775
25.41,131.359
25.51,130.945
25.61,130.534
25.71,130.126
25.81,129.721
25.91,129.319
26.01,128.919
26.11,128.522
26.21,128.128
26.31,127.737
26.41,127.348
26.51,126.962
26.61,126.579
26.71,126.198
26.81,125.82
26.91,125.445
27.01,125.071
27.11,124.701
27.21,124.333
27.31,123.967
27.41,123.604
27.51,123.243
27.61,122.884
27.71,122.528
27.81,122.174
27.91,121.823
28.01,121.474
28.11,121.127
28.21,120.782
28.31,120.439
28.41,120.099
28.51,119.761
28.61,119.424
28.71,119.09
28.81,118.759
28.91,118.429
29.01,118.101
29.11,117.776
29.21,117.452
29.31,117.13
29.41,116.811
29.51,116.493
29.61,116.177
29.71,115.863
29.81,115.552
29.91,115.242
30.01,114.934
30.11,114.627
30.21,114.323
30.31,114.02
30.41,113.72
30.51,113.421
30.61,113.123
30.71,112.828
30.81,112.534
30.91,112.242
31.01,111.952
31.11,111.663
31.21,111.377
31.31,111.091
31.41,110.808
31.51,110.526
31.61,110.246
31.71,109.967
31.81,109.69
31.91,109.414
32.01,109.14
32.11,108.868
32.21,108.597
32.31,108.328
32.41,108.06
32.51,107.794
32.61,107.529
32.71,107.266
32.81,107.004
32.91,106.743
33.01,106.484
33.11,106.226
33.21,105.97
33.31,105.715
33.41,105.462
33.51,105.209
33.61,104.959
33.71,104.709
33.81,104.461
33.91,104.214
34.01,103.969
34.11,103.725
34.21,103.482
34.31,103.241
34.41,103
34.51,102.761
34.61,102.524
34.71,102.287
34.81,102.052
34.91,101.818
35.01,101.585
35.11,101.354
35.21,101.123
35.31,100.894
35.41,100.666
35.51,100.439
35.61,100.214
35.71,99.9892
35.81,99.7658
35.91,99.5436
36.01,99.3225
36.11,99.1025
36.21,98.8836
36.31,98.6659
36.41,98.4492
36.51,98.2336
36.61,98.0191
36.71,97.8056
36.81,97.5932
36.91,97.3818
37.01,97.1715
37.11,96.9623
37.21,96.754
37.31,96.5468
37.41,96.3406
37.51,96.1353
37.61,95.9311
37.71,95.7279
37.81,95.5256
37.91,95.3244
38.01,95.1241
38.11,94.9247
38.21,94.7263
38.31,94.5289
38.41,94.3323
38.51,94.1368
38.61,93.9421
38.71,93.7484
38.81,93.5555
38.91,93.3636
39.01,93.1726
39.11,92.9825
39.21,92.7932
39.31,92.6048
39.41,92.4174
39.51,92.2307
39.61,92.045
39.71,91.8601
39.81,91.676
39.91,91.4928
40.01,91.3104
40.11,91.1289
40.21,90.9481
40.31,90.7682
40.41,90.5891
40.51,90.4109
40.61,90.2334
40.71,90.0567
40.81,89.8808
40.91,89.7057
41.01,89.5314
41.11,89.3579
41.21,89.1851
41.31,89.0131
41.41,88.8418
41.51,88.6714
41.61,88.5016
41.71,88.3326
41.81,88.1644
41.91,87.9969
42.01,87.8301
42.11,87.6641
42.21,87.4987
42.31,87.3341
42.41,87.1702
42.51,87.007
42.61,86.8445
42.71,86.6827
42.81,86.5216
42.91,86.3612
43.01,86.2015
43.11,86.0425
43.21,85.8841
43.31,85.7264
43.41,85.5694
43.51,85.413
43.61,85.2573
43.71,85.1022
43.81,84.9478
43.91,84.7941
44.01,84.641
44.11,84.4885
44.21,84.3366
44.31,84.1854
44.41,84.0349
44.51,83.8849
44.61,83.7355
44.71,83.5868
44.81,83.4387
44.91,83.2912
45.01,83.1443
45.11,82.998
45.21,82.8523
45.31,82.7071
45.41,82.5626
45.51,82.4187
45.61,82.2753
45.71,82.1325
45.81,81.9903
45.91,81.8486
46.01,81.7076
46.11,81.567
46.21,81.4271
46.31,81.2877
46.41,81.1488
46.51,81.0106
46.61,80.8728
46.71,80.7356
46.81,80.5989
46.91,80.4628
47.01,80.3274
47.11,80.1925
47.21,80.0582
47.31,79.9243
47.41,79.791
47.51,79.6582
47.61,79.526
47.71,79.3942
47.81,79.2629
47.91,79.1322
48.01,79.002
48.11,78.8722
48.21,78.743
48.31,78.6142
48.41,78.4859
48.51,78.3581
48.61,78.2308
48.71,78.104
48.81,77.9777
48.91,77.8518
49.01,77.7265
49.11,77.6016
49.21,77.4771
49.31,77.3531
49.41,77.2296
49.51,77.1066
49.61,76.984
49.71,76.8618
49.81,76.7401
49.91,76.6189
50.01,76.4981
50.11,76.3778
50.21,76.2579
50.31,76.1384
