energy_MeVu,total_kinetic_energy_MeV,electronic_stopping_power_MeV_per_mm,total_stopping_power_MeV_per_mm,csda_range_mm
0.01,0.12,355.438,399.961,0
0.11,1.32,1112.63,1120.11,0
0.21,2.52,1300.01,1304.41,0
0.31,3.72,1321.62,1324.8,0
0.41,4.92,1290.84,1293.35,0
0.51,6.12,1251.5,1253.58,0
0.61,7.32,1211.39,1213.19,0
0.71,8.52,1174.15,1175.73,0
0.81,9.72,1138.17,1139.59,0
0.91,10.92,1104.63,1105.91,0
1.01,12.12,1072,1073.16,0
1.11,13.32,1042.61,1043.68,0
1.21,14.52,1013.22,1014.22,0
1.31,15.72,986.157,987.091,0
1.41,16.92,960.278,961.154,0
1.51,18.12,934.4,935.225,0
1.61,19.32,910.146,910.927,0
1.71,20.52,887.928,888.669,0
1.81,21.72,865.709,866.414,0
1.91,22.92,843.491,844.16,0
2.01,24.12,824.483,825.117,0
2.11,25.32,802.847,803.455,0
2.21,26.52,782.342,782.927,0
2.31,27.72,762.889,763.453,0
2.41,28.92,744.407,744.95,0
2.51,30.12,726.693,727.216,0
2.61,31.32,709.58,710.085,0
2.71,32.52,693.364,693.85,0
2.81,33.72,677.92,678.391,0
2.91,34.92,663.163,663.621,0
3.01,36.12,649.06,649.505,0
3.11,37.32,635.515,635.947,0
3.21,38.52,622.54,622.961,0
3.31,39.72,610.108,610.516,0
3.41,40.92,598.182,598.58,0
3.51,42.12,586.824,587.213,0
3.61,43.32,576.206,576.586,0
3.71,44.52,565.982,566.352,0
3.81,45.72,556.128,556.49,0
3.91,46.92,546.628,546.981,0
4.01,48.12,537.474,537.818,0
4.11,49.32,528.612,528.949,0
4.21,50.52,520.038,520.368,0
4.31,51.72,511.778,512.101,0
4.41,52.92,503.796,504.113,0
4.51,54.12,496.065,496.376,0
4.61,55.32,488.578,488.883,0
4.71,56.52,481.327,481.626,0
4.81,57.72,474.303,474.596,0
4.91,58.92,467.496,467.784,0
5.01,60.12,460.895,461.178,0
5.11,61.32,454.491,454.769,0
5.21,62.52,448.276,448.549,0
5.31,63.72,442.241,442.509,0
5.41,64.92,436.38,436.643,0
5.51,66.12,430.691,430.95,0
5.61,67.32,425.16,425.415,0
5.71,68.52,419.778,420.029,0
5.81,69.72,414.533,414.781,0
5.91,70.92,409.427,409.672,0
6.01,72.12,404.455,404.697,0
6.11,73.32,399.612,399.85,0
6.21,74.52,394.891,395.126,0
6.31,75.72,390.289,390.521,0
6.41,76.92,385.801,386.029,0
6.51,78.12,381.423,381.648,0
6.61,79.32,377.151,377.373,0
6.71,80.52,372.982,373.201,0
6.81,81.72,368.912,369.127,0
6.91,82.92,364.937,365.15,0
7.01,84.12,361.054,361.265,0
7.11,85.32,357.26,357.468,0
7.21,86.52,353.552,353.757,0
7.31,87.72,349.93,350.133,0
7.41,88.92,346.389,346.589,0
7.51,90.12,342.92,343.118,0
7.61,91.32,339.524,339.72,0
7.71,92.52,336.2,336.394,0
7.81,93.72,332.946,333.138,0
7.91,94.92,329.76,329.95,0
8.01,96.12,326.64,326.827,0
8.11,97.32,323.583,323.767,0
8.21,98.52,320.587,320.769,0
8.31,99.72,317.65,317.83,0
8.41,100.92,314.771,314.949,0
8.51,102.12,311.948,312.124,0
8.61,103.32,309.179,309.354,0
8.71,104.52,306.464,306.637,0
8.81,105.72,303.799,303.971,0
8.91,106.92,301.185,301.354,0
9.01,108.12,298.618,298.786,0
9.11,109.32,296.099,296.265,0
9.21,110.52,293.625,293.789,0
9.31,111.72,291.196,291.359,0
9.41,112.92,288.81,288.971,0
9.51,114.12,286.467,286.626,0
9.61,115.32,284.164,284.322,0
9.71,116.52,281.901,282.057,0
9.81,117.72,279.678,279.832,0
9.91,118.92,277.492,277.645,0
10.01,120.12,275.344,275.495,0
10.11,121.32,273.231,273.381,0
10.21,122.52,271.153,271.302,0
10.31,123.72,269.11,269.257,0
10.41,124.92,267.099,267.245,0
10.51,126.12,265.121,265.266,0
10.61,127.32,263.172,263.316,0
10.71,128.52,261.255,261.398,0
10.81,129.72,259.368,259.51,0
10.91,130.92,257.511,257.651,0
11.01,132.12,255.683,255.822,0
11.11,133.32,253.883,254.02,0
11.21,134.52,252.11,252.247,0
11.31,135.72,250.365,250.501,0
11.41,136.92,248.645,248.78,0
11.51,138.12,246.952,247.086,0
11.61,139.32,245.283,245.416,0
11.71,140.52,243.639,243.771,0
11.81,141.72,242.018,242.15,0
11.91,142.92,240.422,240.552,0
12.01,144.12,238.848,238.978,0
12.11,145.32,237.297,237.425,0
12.21,146.52,235.767,235.895,0
12.31,147.72,234.259,234.386,0
12.41,148.92,232.773,232.898,0
12.51,150.12,231.306,231.431,0
12.61,151.32,229.86,229.984,0
12.71,152.52,228.434,228.557,0
12.81,153.72,227.027,227.149,0
12.91,154.92,225.638,225.76,0
13.01,156.12,224.268,224.389,0
13.11,157.32,222.917,223.036,0
13.21,158.52,221.583,221.702,0
13.31,159.72,220.266,220.384,0
13.41,160.92,218.967,219.084,0
13.51,162.12,217.684,217.801,0
13.61,163.32,216.418,216.534,0
13.71,164.52,215.168,215.283,0
13.81,165.72,213.934,214.048,0
13.91,166.92,212.715,212.828,0
14.01,168.12,211.511,211.624,0
14.11,169.32,210.323,210.435,0
14.21,170.52,209.149,209.26,0
14.31,171.72,207.989,208.099,0
14.41,172.92,206.843,206.953,0
14.51,174.12,205.712,205.821,0
14.61,175.32,204.593,204.702,0
14.71,176.52,203.489,203.596,0
14.81,177.72,202.397,202.504,0
14.91,178.92,201.318,201.424,0
