# TOPAS/Geant4 C-12 stopping power in Copper (electronic dE/dx)
# Extracted via CarbonStoppingPowerNtuple / G4EmCalculator; not Bethe-Bloch development table.
energy_MeVu,stopping_power_MeV_per_mm
0.01,574.604
0.11,2432.03
0.21,3049.85
0.31,3203.21
0.41,3218.43
0.51,3180.5
0.61,3119.27
0.71,3050.18
0.81,2979.67
0.91,2908.6
1.01,2839.11
1.11,2775.24
1.21,2711.37
1.31,2649.39
1.41,2588.37
1.51,2527.35
1.61,2470.2
1.71,2417.91
1.81,2365.61
1.91,2313.32
2.01,2629.01
2.11,2554.92
2.21,2484.5
2.31,2417.58
2.41,2356.5
2.51,2297.87
2.61,2240.32
2.71,2185.64
2.81,2133.68
2.91,2084.27
3.01,2037.23
3.11,1992.81
3.21,1951.39
3.31,1911.87
3.41,1874.13
3.51,1837.98
3.61,1803.15
3.71,1771.05
3.81,1741.19
3.91,1712.22
4.01,1684.18
4.11,1657.05
4.21,1631.03
4.31,1605.69
4.41,1581.08
4.51,1557.25
4.61,1534.16
4.71,1511.99
4.81,1490.55
4.91,1469.76
5.01,1449.54
5.11,1429.67
5.21,1410.38
5.31,1391.81
5.41,1374.22
5.51,1357.09
5.61,1340.39
5.71,1324.12
5.81,1308.26
5.91,1292.8
6.01,1277.73
6.11,1263.02
6.21,1248.69
6.31,1234.76
6.41,1221.16
6.51,1207.89
6.61,1194.93
6.71,1182.27
6.81,1169.91
6.91,1157.83
7.01,1146.02
7.11,1134.48
7.21,1123.2
7.31,1112.17
7.41,1101.37
7.51,1090.81
7.61,1080.3
7.71,1069.98
7.81,1059.89
7.91,1050.02
8.01,1040.36
8.11,1030.89
8.21,1021.62
8.31,1012.53
8.41,1003.57
8.51,994.781
8.61,986.172
8.71,977.734
8.81,969.461
8.91,961.348
9.01,953.39
9.11,945.584
9.21,937.924
9.31,930.406
9.41,922.964
9.51,915.645
9.61,908.459
9.71,901.401
9.81,894.468
9.91,887.657
10.01,880.964
10.11,874.386
10.21,867.92
10.31,861.563
10.41,855.319
10.51,849.196
10.61,843.174
10.71,837.25
10.81,831.421
10.91,825.686
11.01,820.039
11.11,814.482
11.21,809.011
11.31,803.624
11.41,798.32
11.51,793.096
11.61,787.95
11.71,782.882
11.81,777.888
11.91,772.968
12.01,768.119
12.11,763.34
12.21,758.63
12.31,753.986
12.41,749.408
12.51,744.895
12.61,740.454
12.71,735.887
12.81,731.3
12.91,726.777
13.01,722.315
13.11,717.913
13.21,713.569
13.31,709.284
13.41,705.054
13.51,700.88
13.61,696.76
13.71,692.694
13.81,688.679
13.91,684.715
14.01,680.801
14.11,676.937
14.21,673.12
14.31,669.351
14.41,665.628
14.51,661.95
14.61,658.316
14.71,654.733
14.81,651.194
14.91,647.697
15.01,644.268
15.11,640.878
15.21,637.528
15.31,634.215
15.41,630.94
15.51,627.702
15.61,624.499
15.71,621.329
15.81,618.166
15.91,615.037
16.01,611.943
16.11,608.882
16.21,605.854
16.31,602.859
16.41,599.895
16.51,596.963
16.61,594.062
16.71,591.191
16.81,588.352
16.91,585.547
17.01,582.771
17.11,580.023
17.21,577.303
17.31,574.61
17.41,571.945
17.51,569.307
17.61,566.694
17.71,564.108
17.81,561.547
17.91,559.193
18.01,556.949
18.11,554.725
18.21,552.52
18.31,550.334
18.41,548.167
18.51,546.018
18.61,543.888
18.71,541.776
18.81,539.682
18.91,537.606
19.01,535.547
19.11,533.504
19.21,531.479
19.31,529.47
19.41,527.478
19.51,525.503
19.61,523.543
19.71,521.6
19.81,519.672
19.91,517.761
20.01,515.864
20.11,513.983
20.21,512.118
20.31,510.267
20.41,508.431
20.51,506.609
20.61,504.802
20.71,503.009
20.81,501.231
20.91,499.466
21.01,497.715
21.11,495.978
21.21,494.257
21.31,492.55
21.41,490.856
21.51,489.175
21.61,487.507
21.71,485.852
21.81,484.209
21.91,482.579
22.01,480.961
22.11,479.355
22.21,477.761
22.31,476.175
22.41,474.601
22.51,473.039
