# TOPAS/Geant4 C-12 stopping power in Water_75eV (electronic dE/dx)
# Extracted via CarbonStoppingPowerNtuple / G4EmCalculator; not Bethe-Bloch development table.
energy_MeVu,stopping_power_MeV_per_mm
1.0,768.13
2.0,507.541
3.0,397.258
4.0,328.093
5.0,280.935
6.0,246.193
7.0,219.549
8.0,198.445
9.0,181.282
10.0,167.047
11.0,155.028
12.0,144.741
13.0,135.839
14.0,128.055
15.0,121.189
16.0,115.08
17.0,109.611
18.0,104.685
19.0,100.224
20.0,96.1633
21.0,92.4507
22.0,89.0425
23.0,85.9021
24.0,82.9981
25.0,80.3037
26.0,77.7979
27.0,75.4611
28.0,73.2765
29.0,71.2295
30.0,69.3073
31.0,67.4985
32.0,65.7933
33.0,64.1827
34.0,62.6589
35.0,61.2151
36.0,59.8447
37.0,58.5423
38.0,57.3027
39.0,56.1215
40.0,54.9945
41.0,53.918
42.0,52.8887
43.0,51.9035
44.0,50.9596
45.0,50.0544
46.0,49.1857
47.0,48.3511
48.0,47.5487
49.0,46.7766
50.0,46.0332
51.0,45.3168
52.0,44.626
53.0,43.9594
54.0,43.3158
55.0,42.6938
56.0,42.0925
57.0,41.5108
58.0,40.9477
59.0,40.4023
60.0,39.8739
61.0,39.3615
62.0,38.8645
63.0,38.3822
64.0,37.9139
65.0,37.4591
66.0,37.0171
67.0,36.5873
68.0,36.1694
69.0,35.7628
70.0,35.367
71.0,34.9817
72.0,34.6063
73.0,34.2406
74.0,33.8841
75.0,33.5366
76.0,33.1976
77.0,32.8669
78.0,32.5441
79.0,32.229
80.0,31.9212
81.0,31.6206
82.0,31.3269
83.0,31.0399
84.0,30.7592
85.0,30.4848
86.0,30.2163
87.0,29.9536
88.0,29.6966
89.0,29.4449
90.0,29.1985
91.0,28.9572
92.0,28.7208
93.0,28.4892
94.0,28.2622
95.0,28.0396
96.0,27.8214
97.0,27.6075
98.0,27.3976
99.0,27.1917
100.0,26.9897
101.0,26.7914
102.0,26.5968
103.0,26.4057
104.0,26.2181
105.0,26.0338
106.0,25.8528
107.0,25.675
108.0,25.5002
109.0,25.3285
110.0,25.1598
111.0,24.9939
112.0,24.8308
113.0,24.6704
114.0,24.5127
115.0,24.3576
116.0,24.205
117.0,24.0549
118.0,23.9072
119.0,23.7619
120.0,23.6188
121.0,23.478
122.0,23.3394
123.0,23.2029
124.0,23.0685
125.0,22.9362
126.0,22.8058
127.0,22.6774
128.0,22.551
129.0,22.4264
130.0,22.3036
131.0,22.1826
132.0,22.0633
133.0,21.9458
134.0,21.8299
135.0,21.7157
136.0,21.6031
137.0,21.492
138.0,21.3825
139.0,21.2745
140.0,21.1679
141.0,21.0628
142.0,20.9591
143.0,20.8568
144.0,20.7559
145.0,20.6562
146.0,20.5579
147.0,20.4609
148.0,20.3651
149.0,20.2705
