energy_MeVu,total_kinetic_energy_MeV,electronic_stopping_power_MeV_per_mm,total_stopping_power_MeV_per_mm,csda_range_mm
1,12,768.13,768.863,0
2,24,507.541,507.94,0
3,36,397.258,397.538,0
4,48,328.093,328.309,0
5,60,280.935,281.113,0
6,72,246.193,246.346,0
7,84,219.549,219.681,0
8,96,198.445,198.563,0
9,108,181.282,181.389,0
10,120,167.047,167.141,0
11,132,155.028,155.116,0
12,144,144.741,144.823,0
13,156,135.839,135.914,0
14,168,128.055,128.125,0
15,180,121.189,121.255,0
16,192,115.08,115.143,0
17,204,109.611,109.67,0
18,216,104.685,104.741,0
19,228,100.224,100.277,0
20,240,96.1633,96.2133,0
21,252,92.4507,92.4988,0
22,264,89.0425,89.0887,0
23,276,85.9021,85.9465,0
24,288,82.9981,83.0407,0
25,300,80.3037,80.3446,0
26,312,77.7979,77.8372,0
27,324,75.4611,75.4989,0
28,336,73.2765,73.3132,0
29,348,71.2295,71.2651,0
30,360,69.3073,69.3417,0
31,372,67.4985,67.532,0
32,384,65.7933,65.8257,0
33,396,64.1827,64.2142,0
34,408,62.6589,62.6895,0
35,420,61.2151,61.2449,0
36,432,59.8447,59.8447,0
37,444,58.5423,58.5423,0
38,456,57.3027,57.3027,0
39,468,56.1215,56.1215,0
40,480,54.9945,54.9945,0
41,492,53.918,53.918,0
42,504,52.8887,52.8887,0
43,516,51.9035,51.9035,0
44,528,50.9596,50.9596,0
45,540,50.0544,50.0544,0
46,552,49.1857,49.1857,0
47,564,48.3511,48.3511,0
48,576,47.5487,47.5487,0
49,588,46.7766,46.7766,0
50,600,46.0332,46.0332,0
51,612,45.3168,45.3168,0
52,624,44.626,44.626,0
53,636,43.9594,43.9594,0
54,648,43.3158,43.3158,0
55,660,42.6938,42.6938,0
56,672,42.0925,42.0925,0
57,684,41.5108,41.5108,0
58,696,40.9477,40.9477,0
59,708,40.4023,40.4023,0
60,720,39.8739,39.8739,0
61,732,39.3615,39.3615,0
62,744,38.8645,38.8645,0
63,756,38.3822,38.3822,0
64,768,37.9139,37.9139,0
65,780,37.4591,37.4591,0
66,792,37.0171,37.0171,0
67,804,36.5873,36.5873,0
68,816,36.1694,36.1694,0
69,828,35.7628,35.7628,0
70,840,35.367,35.367,0
71,852,34.9817,34.9817,0
72,864,34.6063,34.6063,0
73,876,34.2406,34.2406,0
74,888,33.8841,33.8841,0
75,900,33.5366,33.5366,0
76,912,33.1976,33.1976,0
77,924,32.8669,32.8669,0
78,936,32.5441,32.5441,0
79,948,32.229,32.229,0
80,960,31.9212,31.9212,0
81,972,31.6206,31.6206,0
82,984,31.3269,31.3269,0
83,996,31.0399,31.0399,0
84,1008,30.7592,30.7592,0
85,1020,30.4848,30.4848,0
86,1032,30.2163,30.2163,0
87,1044,29.9536,29.9536,0
88,1056,29.6966,29.6966,0
89,1068,29.4449,29.4449,0
90,1080,29.1985,29.1985,0
91,1092,28.9572,28.9572,0
92,1104,28.7208,28.7208,0
93,1116,28.4892,28.4892,0
94,1128,28.2622,28.2622,0
95,1140,28.0396,28.0396,0
96,1152,27.8214,27.8214,0
97,1164,27.6075,27.6075,0
98,1176,27.3976,27.3976,0
99,1188,27.1917,27.1917,0
100,1200,26.9897,26.9897,0
101,1212,26.7914,26.7914,0
102,1224,26.5968,26.5968,0
103,1236,26.4057,26.4057,0
104,1248,26.2181,26.2181,0
105,1260,26.0338,26.0338,0
106,1272,25.8528,25.8528,0
107,1284,25.675,25.675,0
108,1296,25.5002,25.5002,0
109,1308,25.3285,25.3285,0
110,1320,25.1598,25.1598,0
111,1332,24.9939,24.9939,0
112,1344,24.8308,24.8308,0
113,1356,24.6704,24.6704,0
114,1368,24.5127,24.5127,0
115,1380,24.3576,24.3576,0
116,1392,24.205,24.205,0
117,1404,24.0549,24.0549,0
118,1416,23.9072,23.9072,0
119,1428,23.7619,23.7619,0
120,1440,23.6188,23.6188,0
121,1452,23.478,23.478,0
122,1464,23.3394,23.3394,0
123,1476,23.2029,23.2029,0
124,1488,23.0685,23.0685,0
125,1500,22.9362,22.9362,0
126,1512,22.8058,22.8058,0
127,1524,22.6774,22.6774,0
128,1536,22.551,22.551,0
129,1548,22.4264,22.4264,0
130,1560,22.3036,22.3036,0
131,1572,22.1826,22.1826,0
132,1584,22.0633,22.0633,0
133,1596,21.9458,21.9458,0
134,1608,21.8299,21.8299,0
135,1620,21.7157,21.7157,0
136,1632,21.6031,21.6031,0
137,1644,21.492,21.492,0
138,1656,21.3825,21.3825,0
139,1668,21.2745,21.2745,0
140,1680,21.1679,21.1679,0
141,1692,21.0628,21.0628,0
142,1704,20.9591,20.9591,0
143,1716,20.8568,20.8568,0
144,1728,20.7559,20.7559,0
145,1740,20.6562,20.6562,0
146,1752,20.5579,20.5579,0
147,1764,20.4609,20.4609,0
148,1776,20.3651,20.3651,0
149,1788,20.2705,20.2705,0
150,1800,20.1771,20.1771,0
151,1812,20.0849,20.0849,0
152,1824,19.9939,19.9939,0
153,1836,19.904,19.904,0
154,1848,19.8152,19.8152,0
155,1860,19.7275,19.7275,0
156,1872,19.6409,19.6409,0
157,1884,19.5553,19.5553,0
158,1896,19.4708,19.4708,0
159,1908,19.3873,19.3873,0
160,1920,19.3048,19.3048,0
161,1932,19.2232,19.2232,0
162,1944,19.1426,19.1426,0
163,1956,19.063,19.063,0
164,1968,18.9843,18.9843,0
165,1980,18.9065,18.9065,0
166,1992,18.8296,18.8296,0
167,2004,18.7535,18.7535,0
168,2016,18.6784,18.6784,0
169,2028,18.6041,18.6041,0
170,2040,18.5306,18.5306,0
171,2052,18.4579,18.4579,0
172,2064,18.3861,18.3861,0
173,2076,18.3151,18.3151,0
174,2088,18.2448,18.2448,0
175,2100,18.1753,18.1753,0
176,2112,18.1066,18.1066,0
177,2124,18.0386,18.0386,0
178,2136,17.9713,17.9713,0
179,2148,17.9048,17.9048,0
180,2160,17.839,17.839,0
181,2172,17.7738,17.7738,0
182,2184,17.7094,17.7094,0
183,2196,17.6456,17.6456,0
184,2208,17.5825,17.5825,0
185,2220,17.5201,17.5201,0
186,2232,17.4583,17.4583,0
187,2244,17.3972,17.3972,0
188,2256,17.3366,17.3366,0
189,2268,17.2767,17.2767,0
190,2280,17.2174,17.2174,0
191,2292,17.1587,17.1587,0
192,2304,17.1006,17.1006,0
193,2316,17.0431,17.0431,0
194,2328,16.9861,16.9861,0
195,2340,16.9297,16.9297,0
196,2352,16.8739,16.8739,0
197,2364,16.8186,16.8186,0
198,2376,16.7639,16.7639,0
199,2388,16.7097,16.7097,0
200,2400,16.656,16.656,0
201,2412,16.6028,16.6028,0
202,2424,16.5502,16.5502,0
203,2436,16.498,16.498,0
204,2448,16.4463,16.4463,0
205,2460,16.3952,16.3952,0
206,2472,16.3445,16.3445,0
207,2484,16.2943,16.2943,0
208,2496,16.2445,16.2445,0
209,2508,16.1953,16.1953,0
210,2520,16.1464,16.1464,0
211,2532,16.0981,16.0981,0
212,2544,16.0501,16.0501,0
213,2556,16.0027,16.0027,0
214,2568,15.9556,15.9556,0
215,2580,15.909,15.909,0
216,2592,15.8628,15.8628,0
217,2604,15.817,15.817,0
218,2616,15.7716,15.7716,0
219,2628,15.7266,15.7266,0
220,2640,15.682,15.682,0
221,2652,15.6378,15.6378,0
222,2664,15.594,15.594,0
223,2676,15.5506,15.5506,0
224,2688,15.5076,15.5076,0
225,2700,15.4649,15.4649,0
226,2712,15.4226,15.4226,0
227,2724,15.3807,15.3807,0
228,2736,15.3391,15.3391,0
229,2748,15.2979,15.2979,0
230,2760,15.257,15.257,0
231,2772,15.2165,15.2165,0
232,2784,15.1763,15.1763,0
233,2796,15.1365,15.1365,0
234,2808,15.0969,15.0969,0
235,2820,15.0578,15.0578,0
236,2832,15.0189,15.0189,0
237,2844,14.9804,14.9804,0
238,2856,14.9422,14.9422,0
239,2868,14.9042,14.9042,0
240,2880,14.8667,14.8667,0
241,2892,14.8294,14.8294,0
242,2904,14.7924,14.7924,0
243,2916,14.7557,14.7557,0
244,2928,14.7193,14.7193,0
245,2940,14.6832,14.6832,0
246,2952,14.6474,14.6474,0
247,2964,14.6118,14.6118,0
248,2976,14.5766,14.5766,0
249,2988,14.5416,14.5416,0
250,3000,14.5069,14.5069,0
251,3012,14.4725,14.4725,0
252,3024,14.4383,14.4383,0
253,3036,14.4045,14.4045,0
254,3048,14.3708,14.3708,0
255,3060,14.3375,14.3375,0
256,3072,14.3043,14.3043,0
257,3084,14.2715,14.2715,0
258,3096,14.2389,14.2389,0
259,3108,14.2065,14.2065,0
260,3120,14.1744,14.1744,0
261,3132,14.1425,14.1425,0
262,3144,14.1109,14.1109,0
263,3156,14.0795,14.0795,0
264,3168,14.0483,14.0483,0
265,3180,14.0174,14.0174,0
266,3192,13.9867,13.9867,0
267,3204,13.9562,13.9562,0
268,3216,13.926,13.926,0
269,3228,13.896,13.896,0
270,3240,13.8662,13.8662,0
271,3252,13.8366,13.8366,0
272,3264,13.8072,13.8072,0
273,3276,13.778,13.778,0
274,3288,13.7491,13.7491,0
275,3300,13.7203,13.7203,0
276,3312,13.6918,13.6918,0
277,3324,13.6635,13.6635,0
278,3336,13.6353,13.6353,0
279,3348,13.6074,13.6074,0
280,3360,13.5797,13.5797,0
281,3372,13.5521,13.5521,0
282,3384,13.5248,13.5248,0
283,3396,13.4976,13.4976,0
284,3408,13.4707,13.4707,0
285,3420,13.4439,13.4439,0
286,3432,13.4173,13.4173,0
287,3444,13.3909,13.3909,0
288,3456,13.3647,13.3647,0
289,3468,13.3386,13.3386,0
290,3480,13.3128,13.3128,0
291,3492,13.2871,13.2871,0
292,3504,13.2616,13.2616,0
293,3516,13.2362,13.2362,0
294,3528,13.2111,13.2111,0
295,3540,13.1861,13.1861,0
296,3552,13.1612,13.1612,0
297,3564,13.1366,13.1366,0
298,3576,13.1121,13.1121,0
299,3588,13.0877,13.0877,0
300,3600,13.0636,13.0636,0
301,3612,13.0396,13.0396,0
302,3624,13.0157,13.0157,0
303,3636,12.992,12.992,0
304,3648,12.9685,12.9685,0
305,3660,12.9451,12.9451,0
306,3672,12.9219,12.9219,0
307,3684,12.8988,12.8988,0
308,3696,12.8759,12.8759,0
309,3708,12.8531,12.8531,0
310,3720,12.8304,12.8304,0
311,3732,12.8079,12.8079,0
312,3744,12.7856,12.7856,0
313,3756,12.7634,12.7634,0
314,3768,12.7413,12.7413,0
315,3780,12.7194,12.7194,0
316,3792,12.6976,12.6976,0
317,3804,12.676,12.676,0
318,3816,12.6545,12.6545,0
319,3828,12.6331,12.6331,0
320,3840,12.6119,12.6119,0
321,3852,12.5908,12.5908,0
322,3864,12.5698,12.5698,0
323,3876,12.549,12.549,0
324,3888,12.5283,12.5283,0
325,3900,12.5077,12.5077,0
326,3912,12.4872,12.4872,0
327,3924,12.4669,12.4669,0
328,3936,12.4467,12.4467,0
329,3948,12.4266,12.4266,0
330,3960,12.4067,12.4067,0
331,3972,12.3869,12.3869,0
332,3984,12.3671,12.3671,0
333,3996,12.3475,12.3475,0
334,4008,12.3281,12.3281,0
335,4020,12.3087,12.3087,0
336,4032,12.2895,12.2895,0
337,4044,12.2703,12.2703,0
338,4056,12.2513,12.2513,0
339,4068,12.2324,12.2324,0
340,4080,12.2137,12.2137,0
341,4092,12.195,12.195,0
342,4104,12.1764,12.1764,0
343,4116,12.158,12.158,0
344,4128,12.1396,12.1396,0
345,4140,12.1214,12.1214,0
346,4152,12.1033,12.1033,0
347,4164,12.0852,12.0852,0
348,4176,12.0673,12.0673,0
349,4188,12.0495,12.0495,0
350,4200,12.0318,12.0318,0
351,4212,12.0142,12.0142,0
352,4224,11.9967,11.9967,0
353,4236,11.9793,11.9793,0
354,4248,11.962,11.962,0
355,4260,11.9448,11.9448,0
356,4272,11.9277,11.9277,0
357,4284,11.9106,11.9106,0
358,4296,11.8937,11.8937,0
359,4308,11.8769,11.8769,0
360,4320,11.8602,11.8602,0
361,4332,11.8436,11.8436,0
362,4344,11.827,11.827,0
363,4356,11.8106,11.8106,0
364,4368,11.7942,11.7942,0
365,4380,11.778,11.778,0
366,4392,11.7618,11.7618,0
367,4404,11.7457,11.7457,0
368,4416,11.7297,11.7297,0
369,4428,11.7138,11.7138,0
370,4440,11.698,11.698,0
371,4452,11.6823,11.6823,0
372,4464,11.6667,11.6667,0
373,4476,11.6511,11.6511,0
374,4488,11.6356,11.6356,0
375,4500,11.6202,11.6202,0
376,4512,11.6049,11.6049,0
377,4524,11.5897,11.5897,0
378,4536,11.5746,11.5746,0
379,4548,11.5595,11.5595,0
380,4560,11.5446,11.5446,0
381,4572,11.5297,11.5297,0
382,4584,11.5149,11.5149,0
383,4596,11.5001,11.5001,0
384,4608,11.4855,11.4855,0
385,4620,11.4709,11.4709,0
386,4632,11.4564,11.4564,0
387,4644,11.442,11.442,0
388,4656,11.4276,11.4276,0
389,4668,11.4134,11.4134,0
390,4680,11.3992,11.3992,0
391,4692,11.385,11.385,0
392,4704,11.371,11.371,0
393,4716,11.357,11.357,0
394,4728,11.3431,11.3431,0
395,4740,11.3293,11.3293,0
396,4752,11.3155,11.3155,0
397,4764,11.3018,11.3018,0
398,4776,11.2882,11.2882,0
399,4788,11.2747,11.2747,0
400,4800,11.2612,11.2612,0
