# TOPAS/Geant4 C-12 stopping power in G4_LUNG_ICRP (electronic dE/dx)
# Extracted via CarbonStoppingPowerNtuple / G4EmCalculator; not Bethe-Bloch development table.
energy_MeVu,stopping_power_MeV_per_mm
0.01,215.789
0.11,691.516
0.21,818.656
0.31,831.967
0.41,810.347
0.51,784.614
0.61,759.696
0.71,737.532
0.81,716.33
0.91,696.72
1.01,677.526
1.11,659.791
1.21,642.056
1.31,625.535
1.41,609.628
1.51,593.72
1.61,578.668
1.71,564.685
1.81,550.703
1.91,536.721
2.01,506.133
2.11,492.523
2.21,479.658
2.31,467.481
2.41,455.937
2.51,444.896
2.61,434.194
2.71,424.069
2.81,414.414
2.91,405.198
3.01,396.396
3.11,387.977
3.21,379.919
3.31,372.201
3.41,364.801
3.51,357.776
3.61,351.273
3.71,345.01
3.81,338.974
3.91,333.155
4.01,327.54
4.11,322.11
4.21,316.86
4.31,311.788
4.41,306.886
4.51,302.136
4.61,297.536
4.71,293.083
4.81,288.769
4.91,284.588
5.01,280.535
5.11,276.604
5.21,272.788
5.31,269.084
5.41,265.486
5.51,261.991
5.61,258.593
5.71,255.288
5.81,252.071
5.91,248.94
6.01,245.892
6.11,242.923
6.21,240.031
6.31,237.212
6.41,234.463
6.51,231.782
6.61,229.167
6.71,226.615
6.81,224.123
6.91,221.69
7.01,219.314
7.11,216.991
7.21,214.722
7.31,212.507
7.41,210.341
7.51,208.218
7.61,206.14
7.71,204.106
7.81,202.115
7.91,200.165
8.01,198.256
8.11,196.385
8.21,194.553
8.31,192.757
8.41,190.998
8.51,189.272
8.61,187.58
8.71,185.92
8.81,184.292
8.91,182.695
9.01,181.127
9.11,179.588
9.21,178.077
9.31,176.594
9.41,175.137
9.51,173.706
9.61,172.301
9.71,170.919
9.81,169.562
9.91,168.228
10.01,166.916
10.11,165.627
10.21,164.359
10.31,163.112
10.41,161.885
10.51,160.677
10.61,159.488
10.71,158.318
10.81,157.166
10.91,156.033
11.01,154.917
11.11,153.819
11.21,152.737
11.31,151.672
11.41,150.622
11.51,149.589
11.61,148.571
11.71,147.568
11.81,146.58
11.91,145.606
12.01,144.646
12.11,143.699
12.21,142.767
12.31,141.847
12.41,140.94
12.51,140.046
12.61,139.164
12.71,138.295
12.81,137.437
12.91,136.59
13.01,135.756
13.11,134.932
13.21,134.119
13.31,133.316
13.41,132.525
13.51,131.743
13.61,130.972
13.71,130.21
13.81,129.458
13.91,128.715
14.01,127.982
14.11,127.258
14.21,126.543
14.31,125.836
14.41,125.139
14.51,124.449
14.61,123.768
14.71,123.096
14.81,122.431
14.91,121.774
15.01,121.125
15.11,120.483
15.21,119.848
15.31,119.22
15.41,118.6
15.51,117.987
15.61,117.38
15.71,116.781
15.81,116.188
15.91,115.602
16.01,115.022
16.11,114.449
16.21,113.882
16.31,113.321
16.41,112.766
16.51,112.217
16.61,111.674
16.71,111.137
16.81,110.605
16.91,110.079
17.01,109.559
17.11,109.044
17.21,108.534
17.31,108.03
17.41,107.53
17.51,107.036
17.61,106.547
17.71,106.062
17.81,105.583
17.91,105.108
18.01,104.638
18.11,104.173
18.21,103.712
18.31,103.255
18.41,102.803
18.51,102.356
18.61,101.913
18.71,101.474
18.81,101.039
18.91,100.608
19.01,100.181
19.11,99.7585
19.21,99.3398
19.31,98.9249
19.41,98.5138
19.51,98.1064
19.61,97.7028
19.71,97.3029
19.81,96.9066
19.91,96.5138
20.01,96.1245
20.11,95.7387
20.21,95.3564
20.31,94.9774
20.41,94.6017
20.51,94.2293
20.61,93.8602
20.71,93.4942
20.81,93.1315
20.91,92.7718
21.01,92.4152
21.11,92.0616
21.21,91.711
21.31,91.3634
21.41,91.0187
21.51,90.6769
21.61,90.3379
21.71,90.0018
21.81,89.6684
21.91,89.3377
22.01,89.0098
22.11,88.6845
22.21,88.3619
22.31,88.0418
22.41,87.7244
22.51,87.4094
22.61,87.097
22.71,86.7871
22.81,86.4796
22.91,86.1746
23.01,85.8719
23.11,85.5716
23.21,85.2736
23.31,84.9779
23.41,84.6846
23.51,84.3934
23.61,84.1045
23.71,83.8178
23.81,83.5331
23.91,83.2506
24.01,82.9701
24.11,82.6918
24.21,82.4156
24.31,82.1414
24.41,81.8692
24.51,81.5991
24.61,81.3309
24.71,81.0648
24.81,80.8005
24.91,80.5382
25.01,80.2778
25.11,80.0192
25.21,79.7626
25.31,79.5077
25.41,79.2547
25.51,79.0035
25.61,78.754
25.71,78.5064
25.81,78.2604
25.91,78.0162
26.01,77.7737
26.11,77.5329
26.21,77.2937
26.31,77.0562
26.41,76.8204
26.51,76.5861
26.61,76.3535
26.71,76.1224
26.81,75.8929
26.91,75.6649
27.01,75.4385
27.11,75.2136
27.21,74.9902
27.31,74.7683
27.41,74.5479
27.51,74.3289
27.61,74.1114
27.71,73.8953
27.81,73.6806
27.91,73.4673
28.01,73.2554
28.11,73.0449
28.21,72.8357
28.31,72.6279
28.41,72.4214
28.51,72.2162
28.61,72.0124
28.71,71.8098
28.81,71.6085
28.91,71.4085
29.01,71.2097
29.11,71.0122
29.21,70.8159
29.31,70.6209
29.41,70.427
29.51,70.2344
29.61,70.0429
29.71,69.8526
29.81,69.6635
29.91,69.4755
30.01,69.2887
30.11,69.103
30.21,68.9184
30.31,68.735
30.41,68.5526
30.51,68.3713
30.61,68.1911
30.71,68.012
30.81,67.834
30.91,67.657
31.01,67.481
31.11,67.3061
31.21,67.1322
31.31,66.9593
31.41,66.7874
31.51,66.6165
31.61,66.4466
31.71,66.2777
31.81,66.1097
31.91,65.9427
32.01,65.7767
32.11,65.6116
32.21,65.4475
32.31,65.2843
32.41,65.122
32.51,64.9606
32.61,64.8001
32.71,64.6405
32.81,64.4818
32.91,64.324
33.01,64.167
33.11,64.011
33.21,63.8557
33.31,63.7014
33.41,63.5479
33.51,63.3952
33.61,63.2433
33.71,63.0923
33.81,62.9421
33.91,62.7927
34.01,62.6441
34.11,62.4963
34.21,62.3493
34.31,62.2031
34.41,62.0577
34.51,61.913
34.61,61.7691
34.71,61.6259
34.81,61.4836
34.91,61.3419
35.01,61.201
35.11,61.0608
35.21,60.9214
35.31,60.7827
35.41,60.6447
35.51,60.5074
35.61,60.3708
35.71,60.2349
35.81,60.0997
35.91,59.9652
36.01,59.8314
36.11,59.6982
36.21,59.5658
36.31,59.434
36.41,59.3028
36.51,59.1723
36.61,59.0425
36.71,58.9133
36.81,58.7848
36.91,58.6569
37.01,58.5296
37.11,58.403
37.21,58.2769
37.31,58.1515
37.41,58.0267
37.51,57.9026
37.61,57.779
37.71,57.656
37.81,57.5336
37.91,57.4118
38.01,57.2906
38.11,57.17
38.21,57.05
38.31,56.9305
38.41,56.8116
38.51,56.6933
38.61,56.5755
38.71,56.4583
38.81,56.3416
38.91,56.2255
39.01,56.11
39.11,55.9949
39.21,55.8805
39.31,55.7665
39.41,55.6531
39.51,55.5402
39.61,55.4278
39.71,55.316
39.81,55.2046
39.91,55.0938
40.01,54.9835
40.11,54.8737
40.21,54.7643
40.31,54.6555
40.41,54.5472
40.51,54.4394
40.61,54.332
40.71,54.2252
40.81,54.1188
40.91,54.0129
41.01,53.9075
41.11,53.8025
41.21,53.698
41.31,53.594
41.41,53.4905
41.51,53.3874
41.61,53.2847
41.71,53.1825
41.81,53.0808
41.91,52.9795
42.01,52.8786
42.11,52.7782
42.21,52.6782
42.31,52.5787
42.41,52.4796
42.51,52.3809
42.61,52.2827
42.71,52.1848
42.81,52.0874
42.91,51.9904
43.01,51.8939
43.11,51.7977
43.21,51.7019
43.31,51.6066
43.41,51.5117
43.51,51.4171
43.61,51.323
43.71,51.2292
43.81,51.1359
43.91,51.0429
44.01,50.9504
44.11,50.8582
44.21,50.7664
44.31,50.675
44.41,50.5839
44.51,50.4933
44.61,50.403
44.71,50.3131
44.81,50.2236
44.91,50.1344
45.01,50.0456
45.11,49.9571
45.21,49.8691
45.31,49.7813
45.41,49.694
45.51,49.607
45.61,49.5203
45.71,49.434
45.81,49.348
45.91,49.2624
46.01,49.1771
46.11,49.0922
46.21,49.0076
46.31,48.9234
46.41,48.8395
46.51,48.7559
46.61,48.6726
46.71,48.5897
46.81,48.5071
46.91,48.4248
47.01,48.3429
47.11,48.2613
47.21,48.18
47.31,48.099
47.41,48.0183
47.51,47.9379
47.61,47.8579
47.71,47.7782
47.81,47.6987
47.91,47.6196
48.01,47.5408
48.11,47.4623
48.21,47.3841
48.31,47.3062
48.41,47.2286
48.51,47.1512
48.61,47.0742
48.71,46.9975
48.81,46.9211
48.91,46.8449
49.01,46.769
49.11,46.6935
49.21,46.6182
49.31,46.5432
49.41,46.4685
49.51,46.394
49.61,46.3198
49.71,46.2459
49.81,46.1723
49.91,46.099
50.01,46.0259
50.11,45.9531
50.21,45.8806
50.31,45.8083
50.41,45.7363
50.51,45.6646
50.61,45.5931
50.71,45.5219
50.81,45.4509
50.91,45.3803
51.01,45.3098
51.11,45.2396
51.21,45.1697
51.31,45.1
51.41,45.0306
51.51,44.9614
51.61,44.8925
51.71,44.8238
51.81,44.7554
51.91,44.6872
52.01,44.6193
52.11,44.5516
52.21,44.4841
52.31,44.4169
52.41,44.3499
52.51,44.2831
52.61,44.2166
52.71,44.1503
52.81,44.0843
52.91,44.0185
53.01,43.9529
53.11,43.8875
53.21,43.8224
53.31,43.7575
53.41,43.6928
53.51,43.6284
53.61,43.5642
53.71,43.5001
53.81,43.4364
53.91,43.3728
54.01,43.3094
54.11,43.2463
54.21,43.1834
54.31,43.1207
54.41,43.0582
54.51,42.9959
54.61,42.9339
54.71,42.872
54.81,42.8104
54.91,42.7489
55.01,42.6877
55.11,42.6267
55.21,42.5659
55.31,42.5052
55.41,42.4448
55.51,42.3846
55.61,42.3246
55.71,42.2648
55.81,42.2052
55.91,42.1458
56.01,42.0866
56.11,42.0276
56.21,41.9687
56.31,41.9101
56.41,41.8517
56.51,41.7934
56.61,41.7354
56.71,41.6775
56.81,41.6198
56.91,41.5623
57.01,41.505
57.11,41.4479
57.21,41.391
57.31,41.3343
57.41,41.2777
57.51,41.2213
57.61,41.1651
57.71,41.1091
57.81,41.0533
57.91,40.9976
58.01,40.9421
58.11,40.8868
58.21,40.8317
58.31,40.7768
58.41,40.722
58.51,40.6674
58.61,40.6129
58.71,40.5587
58.81,40.5046
58.91,40.4507
59.01,40.397
59.11,40.3434
59.21,40.29
59.31,40.2367
59.41,40.1837
59.51,40.1307
59.61,40.078
59.71,40.0254
59.81,39.973
59.91,39.9208
60.01,39.8687
60.11,39.8167
60.21,39.765
60.31,39.7133
60.41,39.6619
60.51,39.6106
60.61,39.5595
60.71,39.5085
60.81,39.4577
60.91,39.407
61.01,39.3565
61.11,39.3061
61.21,39.2559
61.31,39.2058
61.41,39.1559
61.51,39.1062
61.61,39.0566
61.71,39.0071
61.81,38.9578
61.91,38.9087
62.01,38.8596
62.11,38.8108
62.21,38.7621
62.31,38.7135
62.41,38.6651
62.51,38.6168
62.61,38.5686
62.71,38.5206
62.81,38.4728
62.91,38.4251
63.01,38.3775
63.11,38.33
63.21,38.2827
63.31,38.2356
63.41,38.1886
63.51,38.1417
63.61,38.0949
63.71,38.0483
63.81,38.0019
63.91,37.9555
64.01,37.9093
64.11,37.8633
64.21,37.8173
64.31,37.7715
64.41,37.7259
64.51,37.6803
64.61,37.6349
64.71,37.5896
64.81,37.5445
64.91,37.4995
65.01,37.4546
65.11,37.4098
65.21,37.3652
65.31,37.3207
65.41,37.2763
65.51,37.2321
65.61,37.188
65.71,37.144
65.81,37.1001
65.91,37.0563
66.01,37.0127
66.11,36.9692
66.21,36.9258
66.31,36.8826
66.41,36.8394
66.51,36.7964
66.61,36.7535
66.71,36.7107
66.81,36.6681
66.91,36.6255
67.01,36.5831
67.11,36.5408
67.21,36.4986
67.31,36.4565
67.41,36.4146
67.51,36.3728
67.61,36.331
67.71,36.2894
67.81,36.2479
67.91,36.2066
68.01,36.1653
68.11,36.1241
68.21,36.0831
68.31,36.0422
68.41,36.0014
68.51,35.9606
68.61,35.9201
68.71,35.8796
68.81,35.8392
68.91,35.7989
69.01,35.7588
69.11,35.7187
69.21,35.6788
69.31,35.639
69.41,35.5992
69.51,35.5596
69.61,35.5201
69.71,35.4807
69.81,35.4414
69.91,35.4022
70.01,35.3631
70.11,35.3241
70.21,35.2852
70.31,35.2465
70.41,35.2078
70.51,35.1692
70.61,35.1307
70.71,35.0924
70.81,35.0541
70.91,35.0159
71.01,34.9779
71.11,34.9399
71.21,34.902
71.31,34.8642
71.41,34.8266
71.51,34.789
71.61,34.7515
71.71,34.7141
71.81,34.6769
71.91,34.6397
72.01,34.6026
72.11,34.5656
72.21,34.5287
72.31,34.4919
72.41,34.4552
72.51,34.4186
72.61,34.3821
72.71,34.3457
72.81,34.3094
72.91,34.2731
73.01,34.237
73.11,34.2009
73.21,34.165
73.31,34.1291
73.41,34.0934
73.51,34.0577
73.61,34.0221
73.71,33.9866
73.81,33.9512
73.91,33.9159
74.01,33.8806
74.11,33.8455
74.21,33.8104
74.31,33.7755
74.41,33.7406
74.51,33.7058
74.61,33.6711
74.71,33.6365
74.81,33.6019
74.91,33.5675
75.01,33.5331
75.11,33.4989
75.21,33.4647
75.31,33.4306
75.41,33.3966
75.51,33.3626
