# TOPAS/Geant4 C-12 electronic stopping power in SchneiderSection07; 0.01+0.1*n MeV/u grid.
energy_MeVu,stopping_power_MeV_per_mm
0.01,210.428
0.11,670.636
0.21,791.766
0.31,804.095
0.41,782.941
0.51,757.732
0.61,733.229
0.71,711.353
0.81,690.422
0.91,671.084
1.01,652.188
1.11,634.84
1.21,617.493
1.31,601.402
1.41,585.947
1.51,570.492
1.61,555.899
1.71,542.386
1.81,528.872
1.91,515.359
2.01,495.456
2.11,482.052
2.21,469.384
2.31,457.397
2.41,446.034
2.51,435.173
2.61,424.666
2.71,414.727
2.81,405.252
2.91,396.209
3.01,387.574
3.11,379.315
3.21,371.411
3.31,363.842
3.41,356.586
3.51,349.692
3.61,343.291
3.71,337.128
3.81,331.191
3.91,325.469
4.01,319.95
4.11,314.613
4.21,309.454
4.31,304.472
4.41,299.657
4.51,294.993
4.61,290.478
4.71,286.107
4.81,281.874
4.91,277.773
5.01,273.797
5.11,269.941
5.21,266.2
5.31,262.568
5.41,259.04
5.51,255.615
5.61,252.285
5.71,249.047
5.81,245.894
5.91,242.827
6.01,239.84
6.11,236.932
6.21,234.098
6.31,231.337
6.41,228.645
6.51,226.019
6.61,223.458
6.71,220.959
6.81,218.52
6.91,216.138
7.01,213.811
7.11,211.538
7.21,209.317
7.31,207.148
7.41,205.028
7.51,202.951
7.61,200.918
7.71,198.928
7.81,196.98
7.91,195.073
8.01,193.205
8.11,191.375
8.21,189.583
8.31,187.827
8.41,186.106
8.51,184.418
8.61,182.763
8.71,181.14
8.81,179.548
8.91,177.986
9.01,176.453
9.11,174.949
9.21,173.472
9.31,172.021
9.41,170.597
9.51,169.199
9.61,167.824
9.71,166.474
9.81,165.148
9.91,163.844
10.01,162.562
10.11,161.302
10.21,160.063
10.31,158.844
10.41,157.645
10.51,156.465
10.61,155.303
10.71,154.16
10.81,153.035
10.91,151.928
11.01,150.838
11.11,149.765
11.21,148.709
11.31,147.668
11.41,146.643
11.51,145.634
11.61,144.64
11.71,143.66
11.81,142.695
11.91,141.744
12.01,140.807
12.11,139.883
12.21,138.972
12.31,138.074
12.41,137.189
12.51,136.316
12.61,135.455
12.71,134.606
12.81,133.768
12.91,132.942
13.01,132.127
13.11,131.322
13.21,130.529
13.31,129.746
13.41,128.973
13.51,128.21
13.61,127.457
13.71,126.713
13.81,125.979
13.91,125.255
14.01,124.539
14.11,123.832
14.21,123.135
14.31,122.445
14.41,121.764
14.51,121.092
14.61,120.427
14.71,119.77
14.81,119.122
14.91,118.481
15.01,117.847
15.11,117.221
15.21,116.601
15.31,115.989
15.41,115.384
15.51,114.786
15.61,114.194
15.71,113.609
15.81,113.031
15.91,112.459
16.01,111.894
16.11,111.334
16.21,110.781
16.31,110.234
16.41,109.693
16.51,109.157
16.61,108.628
16.71,108.104
16.81,107.585
16.91,107.072
17.01,106.565
17.11,106.063
17.21,105.565
17.31,105.073
17.41,104.586
17.51,104.104
17.61,103.627
17.71,103.155
17.81,102.687
17.91,102.224
18.01,101.766
18.11,101.312
18.21,100.863
18.31,100.418
18.41,99.9771
18.51,99.5406
18.61,99.1084
18.71,98.6803
18.81,98.2564
18.91,97.8364
19.01,97.4204
19.11,97.0082
19.21,96.5999
19.31,96.1954
19.41,95.7947
19.51,95.3976
19.61,95.0041
19.71,94.6142
19.81,94.2278
19.91,93.8449
20.01,93.4655
20.11,93.0894
20.21,92.7167
20.31,92.3472
20.41,91.981
20.51,91.6181
20.61,91.2583
20.71,90.9016
20.81,90.5479
20.91,90.1974
21.01,89.8498
21.11,89.5052
21.21,89.1635
21.31,88.8247
21.41,88.4888
21.51,88.1556
21.61,87.8253
21.71,87.4976
21.81,87.1727
21.91,86.8505
22.01,86.5309
22.11,86.2139
22.21,85.8995
22.31,85.5876
22.41,85.2783
22.51,84.9714
22.61,84.6669
22.71,84.3649
22.81,84.0653
22.91,83.7681
23.01,83.4731
23.11,83.1805
23.21,82.8902
23.31,82.6021
23.41,82.3162
23.51,82.0325
23.61,81.7511
23.71,81.4717
23.81,81.1943
23.91,80.919
24.01,80.6458
24.11,80.3747
24.21,80.1055
24.31,79.8384
24.41,79.5733
24.51,79.3101
24.61,79.0488
24.71,78.7895
24.81,78.5321
24.91,78.2765
25.01,78.0228
25.11,77.771
25.21,77.5209
25.31,77.2727
25.41,77.0262
25.51,76.7815
25.61,76.5385
25.71,76.2972
25.81,76.0577
25.91,75.8198
26.01,75.5836
26.11,75.349
26.21,75.116
26.31,74.8847
26.41,74.655
26.51,74.4268
26.61,74.2002
26.71,73.9751
26.81,73.7516
26.91,73.5296
27.01,73.309
27.11,73.09
27.21,72.8724
27.31,72.6563
27.41,72.4416
27.51,72.2283
27.61,72.0165
27.71,71.806
27.81,71.5969
27.91,71.3892
28.01,71.1828
28.11,70.9778
28.21,70.7741
28.31,70.5717
28.41,70.3706
28.51,70.1708
28.61,69.9723
28.71,69.775
28.81,69.579
28.91,69.3842
29.01,69.1906
29.11,68.9983
29.21,68.8071
29.31,68.6172
29.41,68.4284
29.51,68.2408
29.61,68.0544
29.71,67.8691
29.81,67.6849
29.91,67.5019
30.01,67.32
30.11,67.1392
30.21,66.9595
30.31,66.7808
30.41,66.6032
30.51,66.4267
30.61,66.2513
30.71,66.0769
30.81,65.9035
30.91,65.7312
31.01,65.5599
31.11,65.3895
31.21,65.2202
31.31,65.0519
31.41,64.8845
31.51,64.7182
31.61,64.5527
31.71,64.3883
31.81,64.2248
31.91,64.0622
32.01,63.9005
32.11,63.7398
32.21,63.58
32.31,63.4211
32.41,63.2631
32.51,63.106
32.61,62.9497
32.71,62.7944
32.81,62.6399
32.91,62.4862
33.01,62.3334
33.11,62.1815
33.21,62.0304
33.31,61.8801
33.41,61.7307
33.51,61.582
33.61,61.4342
33.71,61.2872
33.81,61.141
33.91,60.9955
34.01,60.8509
34.11,60.707
34.21,60.564
34.31,60.4216
34.41,60.2801
34.51,60.1392
34.61,59.9992
34.71,59.8598
34.81,59.7212
34.91,59.5833
35.01,59.4462
35.11,59.3098
35.21,59.174
35.31,59.039
35.41,58.9047
35.51,58.771
35.61,58.6381
35.71,58.5058
35.81,58.3742
35.91,58.2433
36.01,58.1131
36.11,57.9835
36.21,57.8546
36.31,57.7263
36.41,57.5986
36.51,57.4716
36.61,57.3453
36.71,57.2195
36.81,57.0944
36.91,56.97
37.01,56.8461
37.11,56.7228
37.21,56.6002
37.31,56.4781
37.41,56.3567
37.51,56.2358
37.61,56.1156
37.71,55.9959
37.81,55.8768
37.91,55.7583
38.01,55.6403
38.11,55.5229
38.21,55.4061
38.31,55.2899
38.41,55.1742
38.51,55.059
38.61,54.9444
38.71,54.8303
38.81,54.7168
38.91,54.6038
39.01,54.4913
39.11,54.3794
39.21,54.268
39.31,54.1571
39.41,54.0467
39.51,53.9369
39.61,53.8275
39.71,53.7187
39.81,53.6103
39.91,53.5025
40.01,53.3952
40.11,53.2883
40.21,53.1819
40.31,53.076
40.41,52.9706
40.51,52.8657
40.61,52.7613
40.71,52.6573
40.81,52.5538
40.91,52.4507
41.01,52.3482
41.11,52.246
41.21,52.1444
41.31,52.0432
41.41,51.9424
41.51,51.8421
41.61,51.7422
41.71,51.6428
41.81,51.5438
41.91,51.4452
42.01,51.3471
42.11,51.2494
42.21,51.1522
42.31,51.0553
42.41,50.9589
42.51,50.8629
42.61,50.7673
42.71,50.6721
42.81,50.5773
42.91,50.483
43.01,50.389
43.11,50.2954
43.21,50.2023
43.31,50.1095
43.41,50.0172
43.51,49.9252
43.61,49.8336
43.71,49.7424
43.81,49.6516
43.91,49.5611
44.01,49.4711
44.11,49.3814
44.21,49.2921
44.31,49.2032
44.41,49.1146
44.51,49.0264
44.61,48.9386
44.71,48.8511
44.81,48.764
44.91,48.6773
45.01,48.5909
45.11,48.5048
45.21,48.4192
45.31,48.3338
45.41,48.2488
45.51,48.1642
45.61,48.0799
