# DEVELOPMENT-ONLY TABLE; not an ICRU/Geant4 reference dataset.
# Generated by tools/generate_stopping_power.py using the documented
# Bethe-Bloch + Hubert-style effective-charge approximation for C-12 in water.
energy_MeVu,stopping_power_MeV_per_mm
1.0,660.19287903
2.0,489.08010698
3.0,387.58277037
4.0,321.60570659
5.0,275.39398345
6.0,241.23829623
7.0,214.96348222
8.0,194.11874861
9.0,177.17266405
10.0,163.11970855
11.0,151.27266497
12.0,141.14604626
13.0,132.38720380
14.0,124.73383540
15.0,117.98680837
16.0,111.99222779
17.0,106.62928039
18.0,101.80179590
19.0,97.43226485
20.0,93.45751767
21.0,89.82555106
22.0,86.49316141
23.0,83.42415572
24.0,80.58798211
25.0,77.95866942
26.0,75.51399749
27.0,73.23484165
28.0,71.10465017
29.0,69.10902420
30.0,67.23537756
31.0,65.47265914
32.0,63.81112484
33.0,62.24214916
34.0,60.75806848
35.0,59.35204998
36.0,58.01798157
37.0,56.75037883
38.0,55.54430607
39.0,54.39530907
40.0,53.29935744
41.0,52.25279514
42.0,51.25229776
43.0,50.29483560
44.0,49.37764147
45.0,48.49818280
46.0,47.65413705
47.0,46.84337036
48.0,46.06391857
49.0,45.31397066
50.0,44.59185398
51.0,43.89602122
52.0,43.22503883
53.0,42.57757665
54.0,41.95239876
55.0,41.34835517
56.0,40.76437450
57.0,40.19945727
58.0,39.65266998
59.0,39.12313969
60.0,38.61004917
61.0,38.11263252
62.0,37.63017114
63.0,37.16199013
64.0,36.70745501
65.0,36.26596870
66.0,35.83696879
67.0,35.41992505
68.0,35.01433717
69.0,34.61973260
70.0,34.23566473
71.0,33.86171103
72.0,33.49747152
73.0,33.14256721
74.0,32.79663879
75.0,32.45934531
76.0,32.13036306
77.0,31.80938445
78.0,31.49611704
79.0,31.19028258
80.0,30.89161621
81.0,30.59986560
82.0,30.31479024
83.0,30.03616077
84.0,29.76375829
85.0,29.49737382
86.0,29.23680769
87.0,28.98186908
88.0,28.73237547
89.0,28.48815224
90.0,28.24903223
91.0,28.01485533
92.0,27.78546812
93.0,27.56072354
94.0,27.34048052
95.0,27.12460371
96.0,26.91296320
97.0,26.70543420
98.0,26.50189684
99.0,26.30223589
100.0,26.10634057
101.0,25.91410431
102.0,25.72542456
103.0,25.54020261
104.0,25.35834338
105.0,25.17975530
106.0,25.00435011
107.0,24.83204272
108.0,24.66275110
109.0,24.49639608
110.0,24.33290129
111.0,24.17219300
112.0,24.01420000
113.0,23.85885353
114.0,23.70608713
115.0,23.55583659
116.0,23.40803981
117.0,23.26263675
118.0,23.11956931
119.0,22.97878130
120.0,22.84021831
121.0,22.70382767
122.0,22.56955837
123.0,22.43736101
124.0,22.30718771
125.0,22.17899207
126.0,22.05272911
127.0,21.92835523
128.0,21.80582812
129.0,21.68510674
130.0,21.56615128
131.0,21.44892309
132.0,21.33338465
133.0,21.21949952
134.0,21.10723233
135.0,20.99654869
136.0,20.88741523
137.0,20.77979947
138.0,20.67366986
139.0,20.56899573
140.0,20.46574726
141.0,20.36389542
142.0,20.26341199
143.0,20.16426951
144.0,20.06644124
145.0,19.96990117
146.0,19.87462397
147.0,19.78058498
148.0,19.68776017
149.0,19.59612614
150.0,19.50566009
151.0,19.41633982
152.0,19.32814366
153.0,19.24105051
154.0,19.15503981
155.0,19.07009147
156.0,18.98618595
157.0,18.90330414
158.0,18.82142744
159.0,18.74053767
160.0,18.66061711
161.0,18.58164845
162.0,18.50361480
163.0,18.42649967
164.0,18.35028695
165.0,18.27496093
166.0,18.20050623
167.0,18.12690786
168.0,18.05415116
169.0,17.98222180
170.0,17.91110578
171.0,17.84078942
172.0,17.77125935
173.0,17.70250248
174.0,17.63450603
175.0,17.56725750
176.0,17.50074466
177.0,17.43495554
178.0,17.36987844
179.0,17.30550191
180.0,17.24181475
181.0,17.17880599
182.0,17.11646490
183.0,17.05478097
184.0,16.99374392
185.0,16.93334368
186.0,16.87357039
187.0,16.81441439
188.0,16.75586623
189.0,16.69791663
190.0,16.64055652
191.0,16.58377702
192.0,16.52756940
193.0,16.47192512
194.0,16.41683583
195.0,16.36229331
196.0,16.30828953
197.0,16.25481660
198.0,16.20186680
199.0,16.14943254
200.0,16.09750639
201.0,16.04608107
202.0,15.99514942
203.0,15.94470443
204.0,15.89473923
205.0,15.84524705
