# TOPAS/Geant4 C-12 stopping power in Water_75eV (electronic dE/dx)
# Extracted via CarbonStoppingPowerNtuple / G4EmCalculator; not Bethe-Bloch development table.
energy_MeVu,stopping_power_MeV_per_mm
1.0,741.845
2.0,491.869
3.0,384.723
4.0,317.667
5.0,272.039
6.0,238.403
7.0,212.606
8.0,192.171
9.0,175.554
10.0,161.769
11.0,150.13
12.0,140.168
13.0,131.546
14.0,124.009
15.0,117.36
16.0,111.443
17.0,106.147
18.0,101.376
19.0,97.0558
20.0,93.1235
21.0,89.5281
22.0,86.2275
23.0,83.1862
24.0,80.3739
25.0,77.7646
26.0,75.3378
27.0,73.0747
28.0,70.9591
29.0,68.9767
30.0,67.1151
31.0,65.3634
32.0,63.7119
33.0,62.1522
34.0,60.6765
35.0,59.2782
36.0,57.9511
37.0,56.6897
38.0,55.4893
39.0,54.3454
40.0,53.2539
41.0,52.2114
42.0,51.2146
43.0,50.2605
44.0,49.3464
45.0,48.4698
46.0,47.6284
47.0,46.8202
48.0,46.0431
49.0,45.2954
50.0,44.5755
51.0,43.8818
52.0,43.2128
53.0,42.5672
54.0,41.9439
55.0,41.3415
56.0,40.7592
57.0,40.1959
58.0,39.6505
59.0,39.1224
60.0,38.6107
61.0,38.1145
62.0,37.6332
63.0,37.1661
64.0,36.7127
65.0,36.2722
66.0,35.8441
67.0,35.428
68.0,35.0232
69.0,34.6295
70.0,34.2462
71.0,33.873
72.0,33.5095
73.0,33.1554
74.0,32.8102
75.0,32.4736
76.0,32.1454
77.0,31.8251
78.0,31.5125
79.0,31.2073
80.0,30.9094
81.0,30.6183
82.0,30.3339
83.0,30.0559
84.0,29.7841
85.0,29.5183
86.0,29.2584
87.0,29.004
88.0,28.7551
89.0,28.5114
90.0,28.2728
91.0,28.0391
92.0,27.8101
93.0,27.5858
94.0,27.366
95.0,27.1505
96.0,26.9392
97.0,26.732
98.0,26.5288
99.0,26.3294
100.0,26.1338
101.0,25.9418
102.0,25.7533
103.0,25.5683
104.0,25.3866
105.0,25.2081
106.0,25.0329
107.0,24.8607
108.0,24.6915
109.0,24.5252
110.0,24.3618
111.0,24.2011
112.0,24.0432
113.0,23.8879
114.0,23.7352
115.0,23.585
116.0,23.4372
117.0,23.2919
118.0,23.1488
119.0,23.0081
120.0,22.8696
121.0,22.7332
122.0,22.599
123.0,22.4668
124.0,22.3367
125.0,22.2085
126.0,22.0823
127.0,21.958
128.0,21.8355
129.0,21.7148
130.0,21.596
131.0,21.4788
132.0,21.3633
133.0,21.2495
134.0,21.1373
135.0,21.0267
136.0,20.9176
137.0,20.8101
138.0,20.704
139.0,20.5994
140.0,20.4963
141.0,20.3945
142.0,20.2941
143.0,20.195
144.0,20.0972
145.0,20.0008
146.0,19.9056
147.0,19.8116
148.0,19.7188
149.0,19.6272
150.0,19.5368
151.0,19.4475
152.0,19.3594
153.0,19.2723
154.0,19.1864
155.0,19.1014
156.0,19.0176
157.0,18.9347
158.0,18.8528
159.0,18.772
160.0,18.6921
161.0,18.6131
162.0,18.5351
163.0,18.4579
164.0,18.3817
165.0,18.3064
166.0,18.2319
167.0,18.1583
168.0,18.0855
169.0,18.0136
170.0,17.9424
171.0,17.8721
172.0,17.8025
173.0,17.7337
174.0,17.6657
175.0,17.5984
176.0,17.5318
177.0,17.466
178.0,17.4008
179.0,17.3364
180.0,17.2727
181.0,17.2096
182.0,17.1472
183.0,17.0855
184.0,17.0244
185.0,16.9639
186.0,16.9041
187.0,16.8449
188.0,16.7863
189.0,16.7283
190.0,16.6708
191.0,16.614
192.0,16.5577
193.0,16.502
194.0,16.4469
195.0,16.3923
196.0,16.3382
197.0,16.2847
198.0,16.2317
199.0,16.1792
200.0,16.1272
201.0,16.0757
202.0,16.0247
203.0,15.9742
204.0,15.9242
205.0,15.8746
206.0,15.8256
207.0,15.7769
208.0,15.7288
209.0,15.681
210.0,15.6338
211.0,15.5869
212.0,15.5405
213.0,15.4945
214.0,15.449
215.0,15.4038
216.0,15.3591
217.0,15.3147
218.0,15.2708
219.0,15.2272
220.0,15.1841
221.0,15.1413
222.0,15.0989
223.0,15.0568
224.0,15.0151
225.0,14.9738
226.0,14.9329
227.0,14.8923
228.0,14.852
229.0,14.8121
230.0,14.7725
231.0,14.7333
232.0,14.6944
233.0,14.6558
234.0,14.6175
235.0,14.5796
236.0,14.542
237.0,14.5046
238.0,14.4676
239.0,14.4309
240.0,14.3945
241.0,14.3584
242.0,14.3226
243.0,14.2871
244.0,14.2518
245.0,14.2169
246.0,14.1822
247.0,14.1478
248.0,14.1137
249.0,14.0798
250.0,14.0462
251.0,14.0129
252.0,13.9798
253.0,13.947
254.0,13.9144
255.0,13.8821
256.0,13.85
257.0,13.8182
258.0,13.7867
259.0,13.7553
260.0,13.7242
261.0,13.6934
262.0,13.6627
263.0,13.6323
264.0,13.6021
265.0,13.5722
266.0,13.5425
267.0,13.513
268.0,13.4837
269.0,13.4546
270.0,13.4257
271.0,13.3971
272.0,13.3686
273.0,13.3404
274.0,13.3124
275.0,13.2845
276.0,13.2569
277.0,13.2295
278.0,13.2022
279.0,13.1752
280.0,13.1483
281.0,13.1217
282.0,13.0952
283.0,13.0689
284.0,13.0428
285.0,13.0168
286.0,12.9911
287.0,12.9655
288.0,12.9401
289.0,12.9149
290.0,12.8899
291.0,12.865
292.0,12.8403
293.0,12.8158
294.0,12.7914
295.0,12.7672
296.0,12.7432
297.0,12.7193
298.0,12.6956
299.0,12.672
300.0,12.6486
301.0,12.6253
302.0,12.6022
303.0,12.5793
304.0,12.5565
305.0,12.5339
306.0,12.5114
307.0,12.489
308.0,12.4668
309.0,12.4448
310.0,12.4228
311.0,12.4011
312.0,12.3794
313.0,12.3579
314.0,12.3366
315.0,12.3153
316.0,12.2943
317.0,12.2733
318.0,12.2525
319.0,12.2318
320.0,12.2112
321.0,12.1908
322.0,12.1705
323.0,12.1503
324.0,12.1303
325.0,12.1103
326.0,12.0905
327.0,12.0708
328.0,12.0513
329.0,12.0318
330.0,12.0125
331.0,11.9933
332.0,11.9742
333.0,11.9552
334.0,11.9364
335.0,11.9176
336.0,11.899
337.0,11.8805
338.0,11.8621
339.0,11.8438
340.0,11.8256
341.0,11.8075
342.0,11.7895
343.0,11.7717
