energy_MeVu,total_kinetic_energy_MeV,electronic_stopping_power_MeV_per_mm,total_stopping_power_MeV_per_mm,csda_range_mm
1,12,741.845,742.56,0
2,24,491.869,492.259,0
3,36,384.723,384.996,0
4,48,317.667,317.877,0
5,60,272.039,272.213,0
6,72,238.403,238.551,0
7,84,212.606,212.735,0
8,96,192.171,192.287,0
9,108,175.554,175.658,0
10,120,161.769,161.861,0
11,132,150.13,150.216,0
12,144,140.168,140.248,0
13,156,131.546,131.62,0
14,168,124.009,124.077,0
15,180,117.36,117.424,0
16,192,111.443,111.505,0
17,204,106.147,106.205,0
18,216,101.376,101.431,0
19,228,97.0558,97.1078,0
20,240,93.1235,93.1724,0
21,252,89.5281,89.575,0
22,264,86.2275,86.2726,0
23,276,83.1862,83.2296,0
24,288,80.3739,80.4156,0
25,300,77.7646,77.8046,0
26,312,75.3378,75.3762,0
27,324,73.0747,73.1117,0
28,336,70.9591,70.9949,0
29,348,68.9767,69.0114,0
30,360,67.1151,67.1488,0
31,372,65.3634,65.3961,0
32,384,63.7119,63.7437,0
33,396,62.1522,62.1829,0
34,408,60.6765,60.7063,0
35,420,59.2782,59.3073,0
36,432,57.9511,57.9511,0
37,444,56.6897,56.6897,0
38,456,55.4893,55.4893,0
39,468,54.3454,54.3454,0
40,480,53.2539,53.2539,0
41,492,52.2114,52.2114,0
42,504,51.2146,51.2146,0
43,516,50.2605,50.2605,0
44,528,49.3464,49.3464,0
45,540,48.4698,48.4698,0
46,552,47.6284,47.6284,0
47,564,46.8202,46.8202,0
48,576,46.0431,46.0431,0
49,588,45.2954,45.2954,0
50,600,44.5755,44.5755,0
51,612,43.8818,43.8818,0
52,624,43.2128,43.2128,0
53,636,42.5672,42.5672,0
54,648,41.9439,41.9439,0
55,660,41.3415,41.3415,0
56,672,40.7592,40.7592,0
57,684,40.1959,40.1959,0
58,696,39.6505,39.6505,0
59,708,39.1224,39.1224,0
60,720,38.6107,38.6107,0
61,732,38.1145,38.1145,0
62,744,37.6332,37.6332,0
63,756,37.1661,37.1661,0
64,768,36.7127,36.7127,0
65,780,36.2722,36.2722,0
66,792,35.8441,35.8441,0
67,804,35.428,35.428,0
68,816,35.0232,35.0232,0
69,828,34.6295,34.6295,0
70,840,34.2462,34.2462,0
71,852,33.873,33.873,0
72,864,33.5095,33.5095,0
73,876,33.1554,33.1554,0
74,888,32.8102,32.8102,0
75,900,32.4736,32.4736,0
76,912,32.1454,32.1454,0
77,924,31.8251,31.8251,0
78,936,31.5125,31.5125,0
79,948,31.2073,31.2073,0
80,960,30.9094,30.9094,0
81,972,30.6183,30.6183,0
82,984,30.3339,30.3339,0
83,996,30.0559,30.0559,0
84,1008,29.7841,29.7841,0
85,1020,29.5183,29.5183,0
86,1032,29.2584,29.2584,0
87,1044,29.004,29.004,0
88,1056,28.7551,28.7551,0
89,1068,28.5114,28.5114,0
90,1080,28.2728,28.2728,0
91,1092,28.0391,28.0391,0
92,1104,27.8101,27.8101,0
93,1116,27.5858,27.5858,0
94,1128,27.366,27.366,0
95,1140,27.1505,27.1505,0
96,1152,26.9392,26.9392,0
97,1164,26.732,26.732,0
98,1176,26.5288,26.5288,0
99,1188,26.3294,26.3294,0
100,1200,26.1338,26.1338,0
101,1212,25.9418,25.9418,0
102,1224,25.7533,25.7533,0
103,1236,25.5683,25.5683,0
104,1248,25.3866,25.3866,0
105,1260,25.2081,25.2081,0
106,1272,25.0329,25.0329,0
107,1284,24.8607,24.8607,0
108,1296,24.6915,24.6915,0
109,1308,24.5252,24.5252,0
110,1320,24.3618,24.3618,0
111,1332,24.2011,24.2011,0
112,1344,24.0432,24.0432,0
113,1356,23.8879,23.8879,0
114,1368,23.7352,23.7352,0
115,1380,23.585,23.585,0
116,1392,23.4372,23.4372,0
117,1404,23.2919,23.2919,0
118,1416,23.1488,23.1488,0
119,1428,23.0081,23.0081,0
120,1440,22.8696,22.8696,0
121,1452,22.7332,22.7332,0
122,1464,22.599,22.599,0
123,1476,22.4668,22.4668,0
124,1488,22.3367,22.3367,0
125,1500,22.2085,22.2085,0
126,1512,22.0823,22.0823,0
127,1524,21.958,21.958,0
128,1536,21.8355,21.8355,0
129,1548,21.7148,21.7148,0
130,1560,21.596,21.596,0
131,1572,21.4788,21.4788,0
132,1584,21.3633,21.3633,0
133,1596,21.2495,21.2495,0
134,1608,21.1373,21.1373,0
135,1620,21.0267,21.0267,0
136,1632,20.9176,20.9176,0
137,1644,20.8101,20.8101,0
138,1656,20.704,20.704,0
139,1668,20.5994,20.5994,0
140,1680,20.4963,20.4963,0
141,1692,20.3945,20.3945,0
142,1704,20.2941,20.2941,0
143,1716,20.195,20.195,0
144,1728,20.0972,20.0972,0
145,1740,20.0008,20.0008,0
146,1752,19.9056,19.9056,0
147,1764,19.8116,19.8116,0
148,1776,19.7188,19.7188,0
149,1788,19.6272,19.6272,0
150,1800,19.5368,19.5368,0
151,1812,19.4475,19.4475,0
152,1824,19.3594,19.3594,0
153,1836,19.2723,19.2723,0
154,1848,19.1864,19.1864,0
155,1860,19.1014,19.1014,0
156,1872,19.0176,19.0176,0
157,1884,18.9347,18.9347,0
158,1896,18.8528,18.8528,0
159,1908,18.772,18.772,0
160,1920,18.6921,18.6921,0
161,1932,18.6131,18.6131,0
162,1944,18.5351,18.5351,0
163,1956,18.4579,18.4579,0
164,1968,18.3817,18.3817,0
165,1980,18.3064,18.3064,0
166,1992,18.2319,18.2319,0
167,2004,18.1583,18.1583,0
168,2016,18.0855,18.0855,0
169,2028,18.0136,18.0136,0
170,2040,17.9424,17.9424,0
171,2052,17.8721,17.8721,0
172,2064,17.8025,17.8025,0
173,2076,17.7337,17.7337,0
174,2088,17.6657,17.6657,0
175,2100,17.5984,17.5984,0
176,2112,17.5318,17.5318,0
177,2124,17.466,17.466,0
178,2136,17.4008,17.4008,0
179,2148,17.3364,17.3364,0
180,2160,17.2727,17.2727,0
181,2172,17.2096,17.2096,0
182,2184,17.1472,17.1472,0
183,2196,17.0855,17.0855,0
184,2208,17.0244,17.0244,0
185,2220,16.9639,16.9639,0
