# TOPAS/Geant4 C-12 electronic stopping power in Water_75eV; 0.01+0.1*n MeV/u grid.
energy_MeVu,stopping_power_MeV_per_mm
0.01,204.473
0.11,661.42
0.21,786.874
0.31,800.404
0.41,779.805
0.51,755.392
0.61,731.933
0.71,711.24
0.81,691.471
0.91,673.171
1.01,655.211
1.11,638.446
1.21,621.681
1.31,605.964
1.41,590.778
1.51,575.591
1.61,561.172
1.71,547.713
1.81,534.254
1.91,520.796
2.01,490.502
2.11,477.282
2.21,464.791
2.31,452.973
2.41,441.769
2.51,431.058
2.61,420.648
2.71,410.797
2.81,401.406
2.91,392.443
3.01,383.884
3.11,375.702
3.21,367.872
3.31,360.373
3.41,353.183
3.51,346.366
3.61,340.081
3.71,334.026
3.81,328.19
3.91,322.563
4.01,317.132
4.11,311.88
4.21,306.802
4.31,301.897
4.41,297.155
4.51,292.559
4.61,288.107
4.71,283.797
4.81,279.622
4.91,275.576
5.01,271.652
5.11,267.846
5.21,264.153
5.31,260.566
5.41,257.083
5.51,253.698
5.61,250.407
5.71,247.206
5.81,244.092
5.91,241.062
6.01,238.111
6.11,235.237
6.21,232.437
6.31,229.707
6.41,227.046
6.51,224.451
6.61,221.919
6.71,219.448
6.81,217.035
6.91,214.679
7.01,212.378
7.11,210.13
7.21,207.933
7.31,205.788
7.41,203.691
7.51,201.636
7.61,199.623
7.71,197.654
7.81,195.725
7.91,193.837
8.01,191.988
8.11,190.177
8.21,188.403
8.31,186.665
8.41,184.961
8.51,183.29
8.61,181.651
8.71,180.044
8.81,178.468
8.91,176.921
9.01,175.403
9.11,173.913
9.21,172.45
9.31,171.014
9.41,169.603
9.51,168.218
9.61,166.857
9.71,165.519
9.81,164.205
9.91,162.913
10.01,161.643
10.11,160.395
10.21,159.167
10.31,157.959
10.41,156.771
10.51,155.602
10.61,154.45
10.71,153.317
10.81,152.201
10.91,151.104
11.01,150.023
11.11,148.959
11.21,147.911
11.31,146.88
11.41,145.864
11.51,144.863
11.61,143.877
11.71,142.906
11.81,141.949
11.91,141.005
12.01,140.076
12.11,139.159
12.21,138.256
12.31,137.365
12.41,136.487
12.51,135.621
12.61,134.767
12.71,133.925
12.81,133.094
12.91,132.275
13.01,131.466
13.11,130.668
13.21,129.881
13.31,129.104
13.41,128.337
13.51,127.58
13.61,126.833
13.71,126.096
13.81,125.367
13.91,124.648
14.01,123.938
14.11,123.237
14.21,122.544
14.31,121.86
14.41,121.185
14.51,120.517
14.61,119.858
14.71,119.206
14.81,118.562
14.91,117.926
15.01,117.297
15.11,116.676
15.21,116.061
15.31,115.453
15.41,114.852
15.51,114.258
15.61,113.671
15.71,113.091
15.81,112.516
15.91,111.949
16.01,111.387
16.11,110.832
16.21,110.283
16.31,109.74
16.41,109.202
16.51,108.671
16.61,108.145
16.71,107.624
16.81,107.11
16.91,106.6
17.01,106.096
17.11,105.598
17.21,105.104
17.31,104.615
17.41,104.132
17.51,103.653
17.61,103.179
17.71,102.71
17.81,102.246
17.91,101.786
18.01,101.331
18.11,100.88
18.21,100.434
18.31,99.9918
18.41,99.5542
18.51,99.1207
18.61,98.6914
18.71,98.2662
18.81,97.8451
18.91,97.4279
19.01,97.0147
19.11,96.6053
19.21,96.1997
19.31,95.7979
19.41,95.3998
19.51,95.0054
19.61,94.6145
19.71,94.2272
19.81,93.8433
19.91,93.463
20.01,93.086
20.11,92.7124
20.21,92.3421
20.31,91.975
20.41,91.6112
20.51,91.2506
20.61,90.8931
20.71,90.5387
20.81,90.1874
20.91,89.8391
21.01,89.4937
21.11,89.1513
21.21,88.8118
21.31,88.4752
21.41,88.1413
21.51,87.8103
21.61,87.482
21.71,87.1565
21.81,86.8336
21.91,86.5134
22.01,86.1958
22.11,85.8808
22.21,85.5683
22.31,85.2584
22.41,84.951
22.51,84.646
22.61,84.3434
22.71,84.0433
22.81,83.7455
22.91,83.4501
23.01,83.157
23.11,82.8662
23.21,82.5776
23.31,82.2913
23.41,82.0071
23.51,81.7252
23.61,81.4454
23.71,81.1677
23.81,80.892
23.91,80.6184
24.01,80.3468
24.11,80.0773
24.21,79.8098
24.31,79.5442
24.41,79.2807
24.51,79.0191
24.61,78.7594
24.71,78.5016
24.81,78.2457
24.91,77.9917
25.01,77.7395
25.11,77.4891
25.21,77.2405
25.31,76.9937
25.41,76.7487
25.51,76.5054
25.61,76.2638
25.71,76.0239
25.81,75.7858
25.91,75.5493
26.01,75.3144
26.11,75.0812
26.21,74.8496
26.31,74.6196
26.41,74.3911
26.51,74.1643
26.61,73.939
26.71,73.7152
26.81,73.4929
26.91,73.2722
27.01,73.0529
27.11,72.8351
27.21,72.6187
27.31,72.4038
27.41,72.1903
27.51,71.9783
27.61,71.7676
27.71,71.5583
27.81,71.3504
27.91,71.1439
28.01,70.9386
28.11,70.7348
28.21,70.5322
28.31,70.3309
28.41,70.1309
28.51,69.9322
28.61,69.7348
28.71,69.5386
28.81,69.3437
28.91,69.15
29.01,68.9575
29.11,68.7662
29.21,68.5761
29.31,68.3872
29.41,68.1995
29.51,68.0129
29.61,67.8275
29.71,67.6432
29.81,67.4601
29.91,67.278
30.01,67.0971
30.11,66.9173
30.21,66.7385
30.31,66.5608
30.41,66.3842
30.51,66.2087
30.61,66.0342
30.71,65.8607
30.81,65.6883
30.91,65.5168
31.01,65.3464
31.11,65.177
31.21,65.0086
31.31,64.8412
31.41,64.6747
31.51,64.5092
31.61,64.3447
31.71,64.1811
31.81,64.0184
31.91,63.8567
32.01,63.6959
32.11,63.536
32.21,63.3771
32.31,63.219
32.41,63.0618
32.51,62.9055
32.61,62.7501
32.71,62.5955
32.81,62.4418
32.91,62.289
33.01,62.137
33.11,61.9858
33.21,61.8355
33.31,61.686
33.41,61.5374
33.51,61.3895
33.61,61.2424
33.71,61.0962
33.81,60.9507
33.91,60.806
34.01,60.6621
34.11,60.519
34.21,60.3766
34.31,60.235
34.41,60.0942
34.51,59.9541
34.61,59.8147
34.71,59.6761
34.81,59.5382
34.91,59.401
35.01,59.2645
35.11,59.1288
35.21,58.9938
35.31,58.8594
35.41,58.7258
35.51,58.5928
35.61,58.4605
35.71,58.3289
35.81,58.198
35.91,58.0677
36.01,57.9381
36.11,57.8092
36.21,57.6809
36.31,57.5533
36.41,57.4263
36.51,57.2999
36.61,57.1742
36.71,57.0491
36.81,56.9246
36.91,56.8007
37.01,56.6774
37.11,56.5548
37.21,56.4328
37.31,56.3113
37.41,56.1905
37.51,56.0702
37.61,55.9505
37.71,55.8314
37.81,55.7129
37.91,55.595
38.01,55.4776
38.11,55.3608
38.21,55.2445
38.31,55.1288
38.41,55.0137
38.51,54.8991
38.61,54.785
38.71,54.6715
38.81,54.5585
