# C12 in Cu restricted loss-range table, Geant4 11.3.2 opt4, default-region 0.05mm cuts couple (theRangeTableForLoss).
# energy_MeVu,energy_total_MeV,loss_range_mm,restricted_dedx_MeV_per_mm,inverse_residual_MeV
0.010000,0.120000,0.000509,574.604000,2.795410
0.110000,1.320000,0.000992,2432.040000,4.444580
0.210000,2.520000,0.001232,3049.850000,4.492650
0.310000,3.720000,0.001465,3203.210000,4.417820
0.410000,4.920000,0.001706,3218.430000,4.307560
0.510000,6.120000,0.001960,3180.500000,4.184310
0.610000,7.320000,0.002228,3119.270000,4.061640
0.710000,8.520000,0.002513,3050.180000,3.947490
0.810000,9.720000,0.002815,2979.670000,3.842630
0.910000,10.920000,0.003132,2908.600000,3.745750
1.010000,12.120000,0.003464,2839.110000,3.655560
1.110000,13.320000,0.003812,2775.240000,3.570340
1.210000,14.520000,0.004174,2711.370000,3.487610
1.310000,15.720000,0.004549,2649.390000,3.406340
1.410000,16.920000,0.004938,2588.370000,3.326840
1.510000,18.120000,0.005341,2527.350000,3.250420
1.610000,19.320000,0.005758,2470.200000,3.180370
1.710000,20.520000,0.006188,2417.910000,3.117400
1.810000,21.720000,0.006631,2365.610000,3.057360
1.910000,22.920000,0.007085,2313.320000,2.995940
2.010000,24.120000,0.007550,2627.840000,2.931480
2.110000,25.320000,0.008026,2558.400000,2.863590
2.210000,26.520000,0.008516,2485.730000,2.795220
2.310000,27.720000,0.009019,2417.200000,2.730330
2.410000,28.920000,0.009536,2355.310000,2.670380
2.510000,30.120000,0.010067,2297.510000,2.613240
2.610000,31.320000,0.010610,2241.270000,2.556910
2.710000,32.520000,0.011166,2186.420000,2.501170
2.810000,33.720000,0.011736,2133.770000,2.446900
2.910000,34.920000,0.012319,2084.010000,2.395100
3.010000,36.120000,0.012915,2037.180000,2.346070
3.110000,37.320000,0.013525,1993.020000,2.299470
3.210000,38.520000,0.014146,1951.250000,2.254590
3.310000,39.720000,0.014781,1911.620000,2.211090
3.410000,40.920000,0.015428,1873.920000,2.168990
3.510000,42.120000,0.016087,1837.910000,2.128160
3.610000,43.320000,0.016759,1803.370000,2.088390
3.710000,44.520000,0.017443,1771.220000,2.049610
3.810000,45.720000,0.018138,1741.230000,2.011890
3.910000,46.920000,0.018846,1712.220000,1.975270
4.010000,48.120000,0.019566,1684.180000,1.939650
4.110000,49.320000,0.020299,1657.070000,1.904930
4.210000,50.520000,0.021042,1630.870000,1.871120
4.310000,51.720000,0.021798,1605.560000,1.838270
4.410000,52.920000,0.022566,1581.070000,1.806340
4.510000,54.120000,0.023345,1557.390000,1.775160
4.610000,55.320000,0.024136,1534.460000,1.744640
4.710000,56.520000,0.024939,1512.240000,1.714780
4.810000,57.720000,0.025753,1490.700000,1.685630
4.910000,58.920000,0.026579,1469.790000,1.657230
5.010000,60.120000,0.027416,1449.460000,1.629450
5.110000,61.320000,0.028265,1429.690000,1.602240
5.210000,62.520000,0.029125,1410.480000,1.575550
