# C12 in Water_75eV restricted loss-range table, Geant4 11.3.2 opt4+decay, default-region 0.05mm cuts couple.
# zeff 3.3334
# radlen_mm 360.829
# density_g_per_cm3 1.0
# energy_MeVu,energy_total_MeV,loss_range_mm,restricted_dedx_MeV_per_mm,inverse_residual_MeV
0.010000,0.120000,0.000899,266.746000,2.402170
0.110000,1.320000,0.001833,922.850000,3.225240
0.210000,2.520000,0.002468,961.225000,3.109750
0.310000,3.720000,0.003250,503.010000,3.076930
0.410000,4.920000,0.004156,499.529000,3.081590
0.510000,6.120000,0.005165,491.744000,3.092600
0.610000,7.320000,0.006262,482.936000,3.097620
0.710000,8.520000,0.007440,474.212000,3.093110
0.810000,9.720000,0.008694,465.532000,3.079040
0.910000,10.920000,0.010022,456.940000,3.056570
1.010000,12.120000,0.011421,448.317000,3.027230
1.110000,13.320000,0.012892,439.585000,2.992550
1.210000,14.520000,0.014434,430.852000,2.953540
1.310000,15.720000,0.016046,422.201000,2.911060
1.410000,16.920000,0.017728,413.592000,2.867090
1.510000,18.120000,0.019482,404.982000,2.823140
1.610000,19.320000,0.021305,396.562000,2.775250
1.710000,20.520000,0.023195,388.378000,2.720260
1.810000,21.720000,0.025157,380.194000,2.661600
1.910000,22.920000,0.027199,372.009000,2.603920
2.010000,24.120000,0.029323,490.768000,2.550550
2.110000,25.320000,0.031529,476.401000,2.504730
2.210000,26.520000,0.033811,464.418000,2.464000
2.310000,27.720000,0.036162,453.192000,2.422970
2.410000,28.920000,0.038580,441.998000,2.379630
2.510000,30.120000,0.041068,431.061000,2.335400
2.610000,31.320000,0.043629,420.636000,2.292070
2.710000,32.520000,0.046262,410.784000,2.250410
2.810000,33.720000,0.048968,401.404000,2.210040
2.910000,34.920000,0.051746,392.451000,2.170390
3.010000,36.120000,0.054594,383.894000,2.131480
3.110000,37.320000,0.057515,375.708000,2.093530
3.210000,38.520000,0.060506,367.863000,2.056580
3.310000,39.720000,0.063569,360.355000,2.020740
3.410000,40.920000,0.066702,353.197000,1.986160
3.510000,42.120000,0.069905,346.404000,1.952820
3.610000,43.320000,0.073176,339.983000,1.920390
3.710000,44.520000,0.076515,333.901000,1.888750
3.810000,45.720000,0.079922,328.105000,1.857950
3.910000,46.920000,0.083394,322.542000,1.828040
4.010000,48.120000,0.086932,317.157000,1.798630
4.110000,49.320000,0.090535,311.921000,1.769550
4.210000,50.520000,0.094204,306.839000,1.740830
4.310000,51.720000,0.097939,301.918000,1.712620
