spot_id,energy_MeV,x_mm,y_mm,weight,source_x_mm,source_y_mm,source_z_mm,direction_x,direction_y,direction_z,energy_spread_percent,sigma_x_mm,sigma_y_mm,sigma_x_prime,sigma_y_prime,correlation_x,correlation_y
1,3000,0,0,1,49.99,0,10.25,1,0,0,0,0,0,0,0,0,0
2,3000,0,0,1,-49.99,0,10.25,-1,0,0,0,0,0,0,0,0,0
3,3000,0,0,1,0,0,10.25,0.6,0,0.8,0,0,0,0,0,0,0
4,3000,0,0,1,0,0,10.25,-0.6,0,0.8,0,0,0,0,0,0,0
5,3000,0,0,1,49.99,0,10.25,1,0,0,0,0,0,0,0,0,0
6,3000,0,0,1,-49.99,0,10.25,-1,0,0,0,0,0,0,0,0,0
7,3000,0,0,1,0,0,10.25,0.6,0,0.8,0,0,0,0,0,0,0
8,3000,0,0,1,0,0,10.25,-0.6,0,0.8,0,0,0,0,0,0,0
9,3000,0,0,1,49.99,0,10.25,1,0,0,0,0,0,0,0,0,0
10,3000,0,0,1,-49.99,0,10.25,-1,0,0,0,0,0,0,0,0,0
11,3000,0,0,1,0,0,10.25,0.6,0,0.8,0,0,0,0,0,0,0
12,3000,0,0,1,0,0,10.25,-0.6,0,0.8,0,0,0,0,0,0,0
13,3000,0,0,1,49.99,0,10.25,1,0,0,0,0,0,0,0,0,0
14,3000,0,0,1,-49.99,0,10.25,-1,0,0,0,0,0,0,0,0,0
15,3000,0,0,1,0,0,10.25,0.6,0,0.8,0,0,0,0,0,0,0
16,3000,0,0,1,0,0,10.25,-0.6,0,0.8,0,0,0,0,0,0,0
17,3000,0,0,1,49.99,0,10.25,1,0,0,0,0,0,0,0,0,0
18,3000,0,0,1,-49.99,0,10.25,-1,0,0,0,0,0,0,0,0,0
19,3000,0,0,1,0,0,10.25,0.6,0,0.8,0,0,0,0,0,0,0
20,3000,0,0,1,0,0,10.25,-0.6,0,0.8,0,0,0,0,0,0,0
21,3000,0,0,1,49.99,0,10.25,1,0,0,0,0,0,0,0,0,0
22,3000,0,0,1,-49.99,0,10.25,-1,0,0,0,0,0,0,0,0,0
23,3000,0,0,1,0,0,10.25,0.6,0,0.8,0,0,0,0,0,0,0
24,3000,0,0,1,0,0,10.25,-0.6,0,0.8,0,0,0,0,0,0,0
25,3000,0,0,1,49.99,0,10.25,1,0,0,0,0,0,0,0,0,0
26,3000,0,0,1,-49.99,0,10.25,-1,0,0,0,0,0,0,0,0,0
27,3000,0,0,1,0,0,10.25,0.6,0,0.8,0,0,0,0,0,0,0
28,3000,0,0,1,0,0,10.25,-0.6,0,0.8,0,0,0,0,0,0,0
29,3000,0,0,1,49.99,0,10.25,1,0,0,0,0,0,0,0,0,0
30,3000,0,0,1,-49.99,0,10.25,-1,0,0,0,0,0,0,0,0,0
31,3000,0,0,1,0,0,10.25,0.6,0,0.8,0,0,0,0,0,0,0
32,3000,0,0,1,0,0,10.25,-0.6,0,0.8,0,0,0,0,0,0,0
33,3000,0,0,1,49.99,0,10.25,1,0,0,0,0,0,0,0,0,0
34,3000,0,0,1,-49.99,0,10.25,-1,0,0,0,0,0,0,0,0,0
35,3000,0,0,1,0,0,10.25,0.6,0,0.8,0,0,0,0,0,0,0
36,3000,0,0,1,0,0,10.25,-0.6,0,0.8,0,0,0,0,0,0,0
37,3000,0,0,1,49.99,0,10.25,1,0,0,0,0,0,0,0,0,0
38,3000,0,0,1,-49.99,0,10.25,-1,0,0,0,0,0,0,0,0,0
39,3000,0,0,1,0,0,10.25,0.6,0,0.8,0,0,0,0,0,0,0
40,3000,0,0,1,0,0,10.25,-0.6,0,0.8,0,0,0,0,0,0,0
41,3000,0,0,1,49.99,0,10.25,1,0,0,0,0,0,0,0,0,0
