spot_id,x,y,energy,weight
0,-15,-15,3000.0,100
1,-13,-15,3000.0,101
2,-11,-15,3000.0,102
3,-9,-15,3000.0,103
4,-7,-15,3000.0,104
5,-5,-15,3000.0,105
6,-3,-15,3000.0,106
7,-1,-15,3000.0,107
8,1,-15,3000.0,108
9,3,-15,3000.0,109
10,5,-15,3000.0,110
11,7,-15,3000.0,111
12,9,-15,3000.0,112
13,11,-15,3000.0,100
14,13,-15,3000.0,101
15,15,-15,3000.0,102
16,-15,-13,3000.0,103
17,-13,-13,3000.0,104
18,-11,-13,3000.0,105
19,-9,-13,3000.0,106
20,-7,-13,3000.0,107
21,-5,-13,3000.0,108
22,-3,-13,3000.0,109
23,-1,-13,3000.0,110
24,1,-13,3000.0,111
25,3,-13,3000.0,112
26,5,-13,3000.0,100
27,7,-13,3000.0,101
28,9,-13,3000.0,102
29,11,-13,3000.0,103
30,13,-13,3000.0,104
31,15,-13,3000.0,105
32,-15,-11,3000.0,106
33,-13,-11,3000.0,107
34,-11,-11,3000.0,108
35,-9,-11,3000.0,109
36,-7,-11,3000.0,110
37,-5,-11,3000.0,111
38,-3,-11,3000.0,112
39,-1,-11,3000.0,100
40,1,-11,3000.0,101
41,3,-11,3000.0,102
42,5,-11,3000.0,103
43,7,-11,3000.0,104
44,9,-11,3000.0,105
45,11,-11,3000.0,106
46,13,-11,3000.0,107
47,15,-11,3000.0,108
48,-15,-9,3000.0,109
49,-13,-9,3000.0,110
50,-11,-9,3000.0,111
51,-9,-9,3000.0,112
52,-7,-9,3000.0,100
53,-5,-9,3000.0,101
54,-3,-9,3000.0,102
55,-1,-9,3000.0,103
56,1,-9,3000.0,104
57,3,-9,3000.0,105
58,5,-9,3000.0,106
59,7,-9,3000.0,107
60,9,-9,3000.0,108
61,11,-9,3000.0,109
62,13,-9,3000.0,110
63,15,-9,3000.0,111
64,-15,-7,3000.0,112
65,-13,-7,3000.0,100
66,-11,-7,3000.0,101
67,-9,-7,3000.0,102
68,-7,-7,3000.0,103
69,-5,-7,3000.0,104
70,-3,-7,3000.0,105
71,-1,-7,3000.0,106
72,1,-7,3000.0,107
73,3,-7,3000.0,108
74,5,-7,3000.0,109
75,7,-7,3000.0,110
76,9,-7,3000.0,111
77,11,-7,3000.0,112
78,13,-7,3000.0,100
79,15,-7,3000.0,101
80,-15,-5,3000.0,102
81,-13,-5,3000.0,103
82,-11,-5,3000.0,104
83,-9,-5,3000.0,105
84,-7,-5,3000.0,106
85,-5,-5,3000.0,107
86,-3,-5,3000.0,108
87,-1,-5,3000.0,109
88,1,-5,3000.0,110
89,3,-5,3000.0,111
90,5,-5,3000.0,112
91,7,-5,3000.0,100
92,9,-5,3000.0,101
93,11,-5,3000.0,102
94,13,-5,3000.0,103
95,15,-5,3000.0,104
96,-15,-3,3000.0,105
97,-13,-3,3000.0,106
98,-11,-3,3000.0,107
99,-9,-3,3000.0,108
100,-7,-3,3000.0,109
101,-5,-3,3000.0,110
102,-3,-3,3000.0,111
103,-1,-3,3000.0,112
104,1,-3,3000.0,100
105,3,-3,3000.0,101
106,5,-3,3000.0,102
107,7,-3,3000.0,103
108,9,-3,3000.0,104
109,11,-3,3000.0,105
110,13,-3,3000.0,106
111,15,-3,3000.0,107
112,-15,-1,3000.0,108
113,-13,-1,3000.0,109
114,-11,-1,3000.0,110
115,-9,-1,3000.0,111
116,-7,-1,3000.0,112
117,-5,-1,3000.0,100
118,-3,-1,3000.0,101
119,-1,-1,3000.0,102
120,1,-1,3000.0,103
121,3,-1,3000.0,104
122,5,-1,3000.0,105
123,7,-1,3000.0,106
124,9,-1,3000.0,107
125,11,-1,3000.0,108
126,13,-1,3000.0,109
127,15,-1,3000.0,110
128,-15,1,3000.0,111
129,-13,1,3000.0,112
130,-11,1,3000.0,100
131,-9,1,3000.0,101
132,-7,1,3000.0,102
133,-5,1,3000.0,103
134,-3,1,3000.0,104
135,-1,1,3000.0,105
136,1,1,3000.0,106
137,3,1,3000.0,107
138,5,1,3000.0,108
139,7,1,3000.0,109
140,9,1,3000.0,110
141,11,1,3000.0,111
142,13,1,3000.0,112
143,15,1,3000.0,100
144,-15,3,3000.0,101
145,-13,3,3000.0,102
146,-11,3,3000.0,103
147,-9,3,3000.0,104
148,-7,3,3000.0,105
149,-5,3,3000.0,106
150,-3,3,3000.0,107
151,-1,3,3000.0,108
152,1,3,3000.0,109
153,3,3,3000.0,110
154,5,3,3000.0,111
155,7,3,3000.0,112
156,9,3,3000.0,100
157,11,3,3000.0,101
158,13,3,3000.0,102
159,15,3,3000.0,103
160,-15,5,3000.0,104
161,-13,5,3000.0,105
162,-11,5,3000.0,106
163,-9,5,3000.0,107
164,-7,5,3000.0,108
165,-5,5,3000.0,109
166,-3,5,3000.0,110
167,-1,5,3000.0,111
168,1,5,3000.0,112
169,3,5,3000.0,100
170,5,5,3000.0,101
171,7,5,3000.0,102
172,9,5,3000.0,103
173,11,5,3000.0,104
174,13,5,3000.0,105
175,15,5,3000.0,106
176,-15,7,3000.0,107
177,-13,7,3000.0,108
178,-11,7,3000.0,109
179,-9,7,3000.0,110
180,-7,7,3000.0,111
181,-5,7,3000.0,112
182,-3,7,3000.0,100
183,-1,7,3000.0,101
184,1,7,3000.0,102
185,3,7,3000.0,103
186,5,7,3000.0,104
187,7,7,3000.0,105
188,9,7,3000.0,106
189,11,7,3000.0,107
190,13,7,3000.0,108
191,15,7,3000.0,109
192,-15,9,3000.0,110
193,-13,9,3000.0,111
194,-11,9,3000.0,112
195,-9,9,3000.0,100
196,-7,9,3000.0,101
197,-5,9,3000.0,102
198,-3,9,3000.0,103
199,-1,9,3000.0,104
200,1,9,3000.0,105
201,3,9,3000.0,106
202,5,9,3000.0,107
203,7,9,3000.0,108
204,9,9,3000.0,109
205,11,9,3000.0,110
206,13,9,3000.0,111
207,15,9,3000.0,112
208,-15,11,3000.0,100
209,-13,11,3000.0,101
210,-11,11,3000.0,102
211,-9,11,3000.0,103
212,-7,11,3000.0,104
213,-5,11,3000.0,105
214,-3,11,3000.0,106
215,-1,11,3000.0,107
216,1,11,3000.0,108
217,3,11,3000.0,109
218,5,11,3000.0,110
219,7,11,3000.0,111
220,9,11,3000.0,112
221,11,11,3000.0,100
222,13,11,3000.0,101
223,15,11,3000.0,102
224,-15,13,3000.0,103
225,-13,13,3000.0,104
226,-11,13,3000.0,105
227,-9,13,3000.0,106
228,-7,13,3000.0,107
229,-5,13,3000.0,108
230,-3,13,3000.0,109
231,-1,13,3000.0,110
232,1,13,3000.0,111
233,3,13,3000.0,112
234,5,13,3000.0,100
235,7,13,3000.0,101
236,9,13,3000.0,102
237,11,13,3000.0,103
238,13,13,3000.0,104
239,15,13,3000.0,105
240,-15,15,3000.0,106
241,-13,15,3000.0,107
242,-11,15,3000.0,108
243,-9,15,3000.0,109
244,-7,15,3000.0,110
245,-5,15,3000.0,111
246,-3,15,3000.0,112
247,-1,15,3000.0,100
248,1,15,3000.0,101
249,3,15,3000.0,102
250,5,15,3000.0,103
251,7,15,3000.0,104
252,9,15,3000.0,105
253,11,15,3000.0,106
254,13,15,3000.0,107
255,15,15,3000.0,108
