depth_mm,ROI,gpu,topas,gpu_SE,topas_SE,difference_percent,CI95_low_percent,CI95_high_percent
0.125,peak,3.396129295651917e-10,3.2289450018652137e-10,7.637638988044923e-13,6.147432492502414e-13,5.17767548503083,4.414307251786089,5.941043718275572
0.375,peak,3.387028004908643e-10,3.2938198955889676e-10,4.3157354007642327e-13,8.183421447694423e-13,2.82978767128399,2.0649688798286006,3.594606462739379
0.625,peak,3.3734206454028025e-10,3.306454209450749e-10,7.839924174173458e-13,6.927433032293296e-13,2.0253247651410122,1.2421531542464725,2.808496376035552
0.875,peak,3.3623298804741345e-10,3.312656485832122e-10,9.507975722299817e-13,9.057927408082749e-13,1.499503339825936,0.5222914283817074,2.4767152512701647
1.125,peak,3.356208208060707e-10,3.3135090461655634e-10,1.040710039652384e-12,1.1279235244530177e-12,1.288638760306271,0.14501034797549522,2.432267172637047
1.375,peak,3.352525322952715e-10,3.3147205840577953e-10,9.652190858964854e-13,1.0784382798917254e-12,1.1405105780783575,0.06146902564401098,2.219552130512704
1.625,peak,3.3538236948515994e-10,3.312013541290071e-10,8.836728541214352e-13,9.588247864533918e-13,1.2623787022695288,0.29036878284152984,2.2343886216975277
1.875,peak,3.348719064888428e-10,3.307244037387136e-10,8.943332573112833e-13,8.33540332127806e-13,1.254066135804699,0.3435174660697499,2.164614805539648
2.125,peak,3.341154865665886e-10,3.299633021924819e-10,1.1056933995091853e-12,1.00202739099609e-12,1.2583776276079872,0.1435300566622012,2.373225198553773
2.375,peak,3.333567860863695e-10,3.2967504012049175e-10,8.270258649213259e-13,1.2736581188729278e-12,1.116780319350874,-0.0686458572026618,2.30220649590441
2.625,peak,3.3230123790417566e-10,3.29212693941372e-10,8.517861870864664e-13,1.2442916757396254e-12,0.9381606540826981,-0.22827487352615664,2.104596181691553
2.875,peak,3.314660125397495e-10,3.2867015988813365e-10,6.024106702519774e-13,1.3032596125351168e-12,0.8506560658160911,-0.3473489497031275,2.0486610813353097
3.125,peak,3.309411636109871e-10,3.2765345395091566e-10,6.460188811894347e-13,1.2310299435860355e-12,1.00341065245233,-0.13282599457401806,2.139647299478678
3.375,peak,3.307386282358493e-10,3.273637639722438e-10,4.448585271427154e-13,1.052374758776724e-12,1.0309217558641004,0.05526195261321542,2.006581559114985
3.625,peak,3.2942565439952886e-10,3.265157829446252e-10,7.930980641696332e-13,9.783403990686448e-13,0.8911886061560237,-0.06848169054687915,1.8508589028589266
3.875,peak,3.2901680697250414e-10,3.259119534959609e-10,4.327146382613633e-13,8.699655280181244e-13,0.9526663392485091,0.1460815266583905,1.7592511518386276
4.125,peak,3.2900961286941303e-10,3.2525525966775603e-10,3.843821728954307e-13,1.0889446527641854e-12,1.154279013194759,0.12812308661726401,2.1804349397722538
4.375,peak,3.278959502495127e-10,3.2459994145028753e-10,4.939693835182113e-13,1.12580458857111e-12,1.0154064675732322,-0.035674315120041294,2.0664872502665057
4.625,peak,3.2731353257986486e-10,3.241930971853435e-10,3.631460497470433e-13,1.3443717993143512e-12,0.962523700107476,-0.32438861279623155,2.2494360130111835
4.875,peak,3.267192460043588e-10,3.240459841435949e-10,5.414640200170738e-13,1.2528923622719838e-12,0.8249637371155583,-0.34507417406254587,1.995001648293662
5.125,peak,3.2675695138095764e-10,3.2349038519896573e-10,8.617496071832438e-13,9.77370573575905e-13,1.0097877190330617,0.014154706901040905,2.0054207311650827
5.375,peak,3.2604634952804187e-10,3.227594265808875e-10,5.834663782757874e-13,1.0122019587733066e-12,1.0183817036651721,0.06676687480426206,1.9699965325260822
5.625,peak,3.2540694519411774e-10,3.2243827263300773e-10,5.096184149795166e-13,7.46923671205464e-13,0.9206948470688703,0.2062686300334308,1.63512106410431
5.875,peak,3.250068994020694e-10,3.2215132705459843e-10,8.366421311259345e-13,6.090846321126892e-13,0.8864071346777358,0.08052107677986968,1.692293192575602
