depth_mm,evaluated_voxels,global_passing_voxels,global_pass_rate_percent,local_passing_voxels,local_pass_rate_percent
0.125,386,363,94.04145077720207,142,36.78756476683938
0.375,386,386,100.0,196,50.77720207253886
0.625,385,385,100.0,213,55.324675324675326
0.875,386,386,100.0,213,55.181347150259064
1.125,386,386,100.0,213,55.181347150259064
1.375,386,386,100.0,213,55.181347150259064
1.625,386,386,100.0,208,53.8860103626943
1.875,385,385,100.0,218,56.62337662337662
2.125,386,386,100.0,222,57.512953367875646
2.375,385,385,100.0,221,57.4025974025974
2.625,385,385,100.0,215,55.84415584415584
2.875,385,385,100.0,209,54.285714285714285
3.125,386,386,100.0,213,55.181347150259064
3.375,385,385,100.0,210,54.54545454545455
3.625,385,385,100.0,215,55.84415584415584
3.875,385,385,100.0,209,54.285714285714285
4.125,385,385,100.0,220,57.142857142857146
4.375,385,385,100.0,229,59.48051948051948
4.625,385,385,100.0,225,58.44155844155844
4.875,386,386,100.0,224,58.031088082901555
5.125,385,385,100.0,207,53.76623376623377
5.375,386,386,100.0,210,54.40414507772021
5.625,386,386,100.0,203,52.590673575129536
5.875,384,384,100.0,217,56.510416666666664
6.125,384,384,100.0,218,56.770833333333336
6.375,384,384,100.0,213,55.46875
6.625,384,384,100.0,220,57.291666666666664
6.875,384,384,100.0,235,61.197916666666664
7.125,385,385,100.0,231,60.0
7.375,383,383,100.0,225,58.746736292428196
7.625,383,383,100.0,213,55.61357702349869
7.875,384,384,100.0,212,55.208333333333336
8.125,384,384,100.0,220,57.291666666666664
8.375,384,384,100.0,214,55.729166666666664
8.625,384,384,100.0,215,55.989583333333336
8.875,384,384,100.0,222,57.8125
9.125,384,384,100.0,219,57.03125
9.375,384,384,100.0,220,57.291666666666664
9.625,384,384,100.0,232,60.416666666666664
9.875,385,385,100.0,223,57.922077922077925
10.125,384,384,100.0,214,55.729166666666664
10.375,384,384,100.0,219,57.03125
10.625,384,384,100.0,221,57.552083333333336
10.875,384,384,100.0,214,55.729166666666664
11.125,384,384,100.0,215,55.989583333333336
11.375,384,384,100.0,216,56.25
11.625,384,384,100.0,212,55.208333333333336
11.875,384,384,100.0,218,56.770833333333336
12.125,384,384,100.0,219,57.03125
12.375,384,384,100.0,222,57.8125
12.625,384,384,100.0,228,59.375
12.875,384,384,100.0,219,57.03125
13.125,384,384,100.0,222,57.8125
13.375,384,384,100.0,223,58.072916666666664
13.625,383,383,100.0,221,57.702349869451695
13.875,383,383,100.0,215,56.13577023498694
14.125,383,383,100.0,221,57.702349869451695
14.375,383,383,100.0,219,57.180156657963444
14.625,384,384,100.0,221,57.552083333333336
14.875,383,383,100.0,226,59.007832898172325
15.125,383,383,100.0,228,59.530026109660575
15.375,385,385,100.0,207,53.76623376623377
15.625,385,385,100.0,218,56.62337662337662
15.875,385,385,100.0,227,58.96103896103896
16.125,385,385,100.0,219,56.883116883116884
16.375,384,384,100.0,234,60.9375
16.625,385,385,100.0,220,57.142857142857146
16.875,383,383,100.0,209,54.56919060052219
17.125,383,383,100.0,218,56.91906005221932
17.375,385,385,100.0,222,57.66233766233766
17.625,385,385,100.0,224,58.18181818181818
17.875,385,385,100.0,216,56.103896103896105
18.125,385,385,100.0,226,58.701298701298704
18.375,385,385,100.0,233,60.51948051948052
18.625,384,384,100.0,224,58.333333333333336
18.875,384,384,100.0,225,58.59375
19.125,384,384,100.0,212,55.208333333333336
19.375,384,384,100.0,205,53.385416666666664
19.625,385,385,100.0,211,54.8051948051948
19.875,385,385,100.0,218,56.62337662337662
20.125,384,384,100.0,223,58.072916666666664
20.375,384,384,100.0,231,60.15625
20.625,384,384,100.0,222,57.8125
20.875,385,385,100.0,214,55.58441558441559
21.125,385,385,100.0,222,57.66233766233766
21.375,384,384,100.0,217,56.510416666666664
21.625,384,384,100.0,217,56.510416666666664
21.875,384,384,100.0,230,59.895833333333336
22.125,384,384,100.0,224,58.333333333333336
22.375,384,384,100.0,238,61.979166666666664
22.625,384,384,100.0,236,61.458333333333336
22.875,385,385,100.0,225,58.44155844155844
23.125,384,384,100.0,209,54.427083333333336
23.375,384,384,100.0,209,54.427083333333336
23.625,384,384,100.0,213,55.46875
23.875,384,384,100.0,211,54.947916666666664
24.125,384,384,100.0,219,57.03125
24.375,384,384,100.0,240,62.5
24.625,384,384,100.0,246,64.0625
24.875,384,384,100.0,239,62.239583333333336
25.125,384,384,100.0,240,62.5
25.375,384,384,100.0,229,59.635416666666664
25.625,384,384,100.0,225,58.59375
25.875,385,385,100.0,214,55.58441558441559
26.125,385,385,100.0,227,58.96103896103896
26.375,385,385,100.0,223,57.922077922077925
26.625,385,385,100.0,228,59.22077922077922
26.875,385,385,100.0,217,56.36363636363637
27.125,384,384,100.0,213,55.46875
27.375,384,384,100.0,210,54.6875
27.625,384,384,100.0,211,54.947916666666664
27.875,384,384,100.0,219,57.03125
28.125,384,384,100.0,221,57.552083333333336
28.375,384,384,100.0,229,59.635416666666664
28.625,384,384,100.0,223,58.072916666666664
28.875,384,384,100.0,227,59.114583333333336
29.125,384,384,100.0,228,59.375
29.375,384,384,100.0,226,58.854166666666664
29.625,384,384,100.0,223,58.072916666666664
29.875,384,384,100.0,229,59.635416666666664
30.125,384,384,100.0,220,57.291666666666664
30.375,384,384,100.0,223,58.072916666666664
30.625,385,385,100.0,224,58.18181818181818
30.875,385,385,100.0,220,57.142857142857146
31.125,385,385,100.0,219,56.883116883116884
31.375,385,385,100.0,221,57.4025974025974
31.625,385,385,100.0,217,56.36363636363637
31.875,385,385,100.0,220,57.142857142857146
32.125,385,385,100.0,223,57.922077922077925
32.375,385,385,100.0,222,57.66233766233766
32.625,385,385,100.0,232,60.25974025974026
32.875,385,385,100.0,229,59.48051948051948
33.125,385,385,100.0,218,56.62337662337662
33.375,385,385,100.0,224,58.18181818181818
33.625,386,386,100.0,220,56.994818652849744
33.875,386,386,100.0,227,58.80829015544042
34.125,386,386,100.0,225,58.29015544041451
34.375,385,385,100.0,225,58.44155844155844
34.625,386,386,100.0,214,55.44041450777202
34.875,385,385,100.0,212,55.064935064935064
35.125,385,385,100.0,222,57.66233766233766
35.375,385,385,100.0,226,58.701298701298704
35.625,385,385,100.0,230,59.74025974025974
35.875,385,385,100.0,219,56.883116883116884
36.125,385,385,100.0,229,59.48051948051948
36.375,384,384,100.0,228,59.375
36.625,385,385,100.0,223,57.922077922077925
36.875,385,385,100.0,218,56.62337662337662
37.125,386,386,100.0,209,54.145077720207254
37.375,385,385,100.0,216,56.103896103896105
37.625,385,385,100.0,207,53.76623376623377
37.875,384,384,100.0,201,52.34375
38.125,384,384,100.0,209,54.427083333333336
38.375,384,384,100.0,213,55.46875
38.625,385,385,100.0,225,58.44155844155844
38.875,385,385,100.0,227,58.96103896103896
39.125,384,384,100.0,225,58.59375
39.375,385,385,100.0,222,57.66233766233766
39.625,386,386,100.0,225,58.29015544041451
39.875,385,385,100.0,214,55.58441558441559
40.125,386,386,100.0,220,56.994818652849744
40.375,386,386,100.0,233,60.362694300518136
40.625,386,386,100.0,228,59.067357512953365
40.875,386,386,100.0,229,59.32642487046632
41.125,386,386,100.0,228,59.067357512953365
41.375,386,386,100.0,224,58.031088082901555
41.625,387,387,100.0,216,55.81395348837209
41.875,386,386,100.0,214,55.44041450777202
42.125,386,386,100.0,214,55.44041450777202
42.375,386,386,100.0,215,55.69948186528497
42.625,387,387,100.0,220,56.84754521963824
