depth_mm,evaluated_voxels,global_passing_voxels,global_pass_rate_percent,local_passing_voxels,local_pass_rate_percent
0.125,386,386,100.0,365,94.55958549222798
0.375,386,386,100.0,370,95.85492227979275
0.625,385,385,100.0,369,95.84415584415585
0.875,386,386,100.0,374,96.89119170984456
1.125,386,386,100.0,374,96.89119170984456
1.375,386,386,100.0,375,97.15025906735751
1.625,386,386,100.0,369,95.5958549222798
1.875,385,385,100.0,368,95.58441558441558
2.125,386,386,100.0,366,94.81865284974093
2.375,385,385,100.0,369,95.84415584415585
2.625,385,385,100.0,372,96.62337662337663
2.875,385,385,100.0,371,96.36363636363636
3.125,386,386,100.0,374,96.89119170984456
3.375,385,385,100.0,370,96.1038961038961
3.625,385,385,100.0,365,94.8051948051948
3.875,385,385,100.0,371,96.36363636363636
4.125,385,385,100.0,363,94.28571428571429
4.375,385,385,100.0,369,95.84415584415585
4.625,385,385,100.0,375,97.40259740259741
4.875,386,386,100.0,369,95.5958549222798
5.125,385,385,100.0,365,94.8051948051948
5.375,386,386,100.0,365,94.55958549222798
5.625,386,386,100.0,367,95.07772020725389
5.875,384,384,100.0,367,95.57291666666667
6.125,384,384,100.0,371,96.61458333333333
6.375,384,384,100.0,368,95.83333333333333
6.625,384,384,100.0,369,96.09375
6.875,384,384,100.0,371,96.61458333333333
7.125,385,385,100.0,372,96.62337662337663
7.375,383,383,100.0,371,96.8668407310705
7.625,383,383,100.0,368,96.08355091383812
7.875,384,384,100.0,366,95.3125
8.125,384,384,100.0,367,95.57291666666667
8.375,384,384,100.0,366,95.3125
8.625,384,384,100.0,371,96.61458333333333
8.875,384,384,100.0,368,95.83333333333333
9.125,384,384,100.0,372,96.875
9.375,384,384,100.0,372,96.875
9.625,384,384,100.0,372,96.875
9.875,385,385,100.0,370,96.1038961038961
10.125,384,384,100.0,368,95.83333333333333
10.375,384,384,100.0,369,96.09375
10.625,384,384,100.0,372,96.875
10.875,384,384,100.0,371,96.61458333333333
11.125,384,384,100.0,371,96.61458333333333
11.375,384,384,100.0,370,96.35416666666667
11.625,384,384,100.0,369,96.09375
11.875,384,384,100.0,371,96.61458333333333
12.125,384,384,100.0,372,96.875
12.375,384,384,100.0,371,96.61458333333333
12.625,384,384,100.0,369,96.09375
12.875,384,384,100.0,369,96.09375
13.125,384,384,100.0,366,95.3125
13.375,384,384,100.0,369,96.09375
13.625,383,383,100.0,368,96.08355091383812
13.875,383,383,100.0,367,95.822454308094
14.125,383,383,100.0,369,96.34464751958224
14.375,383,383,100.0,370,96.60574412532637
14.625,384,384,100.0,369,96.09375
14.875,383,383,100.0,371,96.8668407310705
15.125,383,383,100.0,368,96.08355091383812
15.375,385,385,100.0,375,97.40259740259741
15.625,385,385,100.0,379,98.44155844155844
15.875,385,385,100.0,374,97.14285714285714
16.125,385,385,100.0,373,96.88311688311688
16.375,384,384,100.0,375,97.65625
16.625,385,385,100.0,372,96.62337662337663
16.875,383,383,100.0,365,95.30026109660574
17.125,383,383,100.0,372,97.12793733681463
17.375,385,385,100.0,374,97.14285714285714
17.625,385,385,100.0,376,97.66233766233766
17.875,385,385,100.0,374,97.14285714285714
18.125,385,385,100.0,373,96.88311688311688
18.375,385,385,100.0,368,95.58441558441558
18.625,384,384,100.0,369,96.09375
18.875,384,384,100.0,371,96.61458333333333
19.125,384,384,100.0,374,97.39583333333333
19.375,384,384,100.0,371,96.61458333333333
19.625,385,385,100.0,370,96.1038961038961
19.875,385,385,100.0,373,96.88311688311688
20.125,384,384,100.0,371,96.61458333333333
20.375,384,384,100.0,369,96.09375
20.625,384,384,100.0,365,95.05208333333333
20.875,385,385,100.0,371,96.36363636363636
21.125,385,385,100.0,375,97.40259740259741
21.375,384,384,100.0,370,96.35416666666667
21.625,384,384,100.0,371,96.61458333333333
21.875,384,384,100.0,370,96.35416666666667
22.125,384,384,100.0,367,95.57291666666667
22.375,384,384,100.0,374,97.39583333333333
22.625,384,384,100.0,374,97.39583333333333
22.875,385,385,100.0,375,97.40259740259741
23.125,384,384,100.0,377,98.17708333333333
