ROI,requested_depth_mm,depth_mm,TOPAS_mean,GPU_mean,TOPAS_SE_percent,GPU_SE_percent,difference_percent,ratio_SE_pp,CI95_low_percent,CI95_high_percent,CI95_half_width_pp,welch_df
central_peak,0,0.125,3.2289450018652137e-10,3.396129295651917e-10,0.19038517190448656,0.2248924679582557,5.17767548503083,0.3099140760501562,4.414307251786089,5.941043718275572,0.7633682332447415,5.840886586132881
central_peak,20,19.875,2.9827916023350555e-10,3.003580638960557e-10,0.39410110493700473,0.32255235408056276,0.6969657755917957,0.5128192093633456,-0.5698432216815859,1.9637747728651773,1.2668089972733816,5.774300651122147
central_peak,40,39.875,2.721621478940506e-10,2.7343887268216345e-10,0.41917197425265784,0.1933644194215889,0.4691044651109477,0.4637875675622804,-0.7923654213797324,1.7305743516016279,1.2614698864906801,4.2214787681349035
central_peak,60,59.875,2.5602448772588105e-10,2.56377926461937e-10,0.20428302616543123,0.48669476960889163,0.13804880118903906,0.5285575670357823,-1.3258396581812797,1.6019372605593578,1.4638884593703188,4.0252446797514025
central_peak,80,79.875,2.467954118401394e-10,2.478296255503664e-10,0.47431124237642347,0.8195136114179171,0.4190571058496406,0.9508437149644656,-2.05496404074557,2.8930782524448513,2.4740211465952107,4.807087614162608
central_peak,100,99.875,2.5491947440059445e-10,2.572286587110284e-10,0.4494992499967182,0.7812262730739262,0.9058485295655228,0.909476938050025,-1.4631804021217523,3.2748774612527978,2.369028931687275,4.790149348781779
central_peak,120,119.875,3.773150478991738e-10,3.7935692262180965e-10,0.6498043349584547,1.0594294955200332,0.5411591013940953,1.2495597813660106,-2.675336023228524,3.7576542260167147,3.2164951246226194,4.97736022650322
adjacent_valleys,0,0.125,3.465674723202028e-11,3.3873665017836177e-11,0.5000676596840087,1.020181262773741,-2.2595375409628526,1.1104785441095752,-5.244154542880562,0.7250794609548561,2.9846170019177087,4.362947269402268
adjacent_valleys,20,19.875,3.0212221048486756e-11,3.023800184109859e-11,0.8350848741726187,1.4641362332578234,0.08533233147758335,1.686983228624486,-4.316298274317053,4.48696293727222,4.401630605794637,4.765071554522741
adjacent_valleys,40,39.875,3.125092575828603e-11,3.0922836828040096e-11,0.7757045630214687,0.7625591308216656,-1.049853475649265,1.0763365567907828,-3.6837406246956794,1.5840336733971494,2.6338871490464144,5.998248100668427
adjacent_valleys,60,59.875,3.4448207742343586e-11,3.340340236945849e-11,1.0961113360036043,1.0627458692137148,-3.032974547470657,1.4804196979734072,-6.656269786887259,0.5903206919459447,3.623295239416602,5.994275522932869
adjacent_valleys,80,79.875,3.8422623930500774e-11,3.8110249676037705e-11,1.0612402187702006,1.2055561103054993,-0.8129956325421572,1.593054558828742,-4.726306499684297,3.100315234599982,3.913310867142139,5.905033124489715
adjacent_valleys,100,99.875,4.652325100096277e-11,4.6433241067234124e-11,0.49663445293873343,1.369464431485868,-0.193473009284717,1.453917210017735,-4.326565624332407,3.9396196057629727,4.13309261504769,3.7756684215104914
adjacent_valleys,120,119.875,8.791685075948407e-11,8.743156166701737e-11,0.953447805565115,0.69409758724126,-0.5519864374968542,1.172826553107922,-3.488744135940038,2.3847712609463296,2.936757698443184,5.482537463759982
inner_field_peaks,0,0.125,3.0402425462692493e-10,3.1890870251813526e-10,0.10433555260296579,0.19808620518805686,4.895809352275315,0.23484494966233932,4.273511646512028,5.518107058038603,0.6222977057632876,4.545626211830232
inner_field_peaks,20,19.875,2.8083050598498256e-10,2.8350063410150193e-10,0.07336491930390518,0.1790849816585503,0.9507970322362835,0.1953700283071885,0.40725203115441944,1.4943420333181476,0.5435450010818641,3.979369980335685
inner_field_peaks,40,39.875,2.5721261462261766e-10,2.588815003518368e-10,0.07448322004548101,0.1819053905629487,0.6488351015239591,0.19783915883721426,0.09837001592958194,1.1993001871183362,0.5504650855943771,3.978447824234794
inner_field_peaks,60,59.875,2.4107236694202157e-10,2.4245209287448016e-10,0.1608670479622424,0.0804479307024142,0.5723285293790736,0.18089066800000836,0.0880699452146394,1.0565871135435079,0.48425858416443424,4.412210950430739
inner_field_peaks,80,79.875,2.3351406004140323e-10,2.348990922067006e-10,0.15217750481557274,0.294417337018115,0.5931258122323868,0.33338626100272567,-0.29357630643388855,1.4798279308986622,0.8867021186662754,4.496179684515915
