g4_version,physics_list,msc_process,urban_model,loss_process,particle,Z,A,charge_e,mass_MeV,context,couple_index,region,cut_mm,material,composition_mass_fraction,density_g_cm3,mean_excitation_eV,first_step_material,first_step_couple_index,E_total_MeV,R_msc_mm,R_loss_mm,DEDX_msc_MeV_mm,DEDX_loss_MeV_mm,E_from_Rmsc_MeV,E_from_Rloss_MeV,range_rel_error,dedx_rel_error,inverse_rel_error,ionisation_bound,tables_built
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p10mm,1,water_default_region,0.10000000000000001,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,1,4800,10905.402119768141,10905.402119768141,0.26774871967789765,0.26774871967789765,4800.000921592843,4800.000921592843,0,0,1.9199847210369686e-07,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p05mm,2,water_alt_region,0.050000000000000003,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,2,4800,11177.559136548465,11177.559136548465,0.26130209257200393,0.26130209257200393,4800.0009188262711,4800.0009188262711,0,0,1.9142210317376371e-07,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,copper_cut_0p05mm,3,copper_region,0.050000000000000003,G4_Cu,Cu:1,8.9599999999999991,322,G4_Cu,3,4800,1761.4926777909602,1761.4926777909602,1.6711338235203179,1.6711338235203179,4800.0010937009783,4800.0010937009783,0,0,2.2785431857087973e-07,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p10mm,1,water_default_region,0.10000000000000001,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,1,3000,4932.0085110038481,4932.0085110038481,0.35183578264256599,0.35183578264256599,2999.9999626349249,2999.9999626349249,0,0,1.2455025019638318e-08,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p05mm,2,water_alt_region,0.050000000000000003,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,2,3000,5055.6745387406472,5055.6745387406472,0.34321965935433396,0.34321965935433396,2999.9999628418886,2999.9999628418886,0,0,1.2386037118024736e-08,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,copper_cut_0p05mm,3,copper_region,0.050000000000000003,G4_Cu,Cu:1,8.9599999999999991,322,G4_Cu,3,3000,803.24969663069453,803.24969663069453,2.1876079536977726,2.1876079536977726,2999.9999591540823,2999.9999591540823,0,0,1.3615305912632417e-08,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p10mm,1,water_default_region,0.10000000000000001,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,1,1200,961.15743762392424,961.15743762392424,0.68402420854178692,0.68402420854178692,1200.0001494997136,1200.0001494997136,0,0,1.2458307918181154e-07,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p05mm,2,water_alt_region,0.050000000000000003,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,2,1200,983.70933051278223,983.70933051278223,0.66659807581973929,0.66659807581973929,1200.0001535446693,1200.0001535446693,0,0,1.2795387468963475e-07,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,copper_cut_0p05mm,3,copper_region,0.050000000000000003,G4_Cu,Cu:1,8.9599999999999991,322,G4_Cu,3,1200,161.3197161835144,161.3197161835144,4.2022838448744171,4.2022838448744171,1200.0006801518507,1200.0006801518507,0,0,5.6679288766381088e-07,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p10mm,1,water_default_region,0.10000000000000001,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,1,300,76.73072423094969,76.73072423094969,2.1631901143730041,2.1631901143730041,299.99999644756258,299.99999644756258,0,0,1.1841458065949458e-08,true,true
