spot_id,energy_MeV,x_mm,y_mm,weight,source_x_mm,source_y_mm,source_z_mm,direction_x,direction_y,direction_z,energy_spread_percent,sigma_x_mm,sigma_y_mm,sigma_x_prime,sigma_y_prime,correlation_x,correlation_y
1,0.1001,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
2,0.12,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
3,0.6,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
4,2.4,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
5,12,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
6,60,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
7,300,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
8,1200,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
9,3000,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
10,4800,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
11,0.1001,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
12,0.12,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
13,0.6,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
14,2.4,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
15,12,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
16,60,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
17,300,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
18,1200,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
19,3000,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
20,4800,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
21,0.1001,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
22,0.12,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
23,0.6,0,0,1,0,0,0.0001,0,0,1,0,0,0,0,0,0,0
