case,search_step_mm,evaluated_voxels,global_33,local_33,global_22,local_22,global_11,local_11,global_30,local_30
20022516,1.0,806092,100.0,99.79220734109754,99.99553400852508,96.47844166670801,94.97203793115426,62.091423807704324,99.99677456171256,93.83172144122507
20022516,0.5,806092,100.0,99.99863539149378,100.0,99.85882504726507,99.70003423926798,88.14812701279754,99.99677456171256,93.83172144122507
20022516,0.25,806092,100.0,99.99950377872501,100.0,99.97990303836288,99.85845288130884,98.92580499496336,99.99677456171256,93.83172144122507
20022516,0.125,806092,100.0,99.99950377872501,100.0,99.98114359155035,99.8630429281025,99.52784545684612,99.99677456171256,93.83172144122507
RT06423,1.0,369266,100.0,99.8719080554397,99.9964795025808,97.7804617809384,93.63114936116513,65.30685197120775,99.99891677002486,97.04142813039923
RT06423,0.5,369266,100.0,99.99864596253107,100.0,99.9190285593583,99.73894157599129,92.95440143419648,99.99891677002486,97.04142813039923
RT06423,0.25,369266,100.0,100.0,100.0,99.99864596253107,99.91632048442044,99.18053652380668,99.99891677002486,97.04142813039923
RT06423,0.125,369266,100.0,100.0,100.0,99.99972919250621,99.92336147925886,99.7568148705811,99.99891677002486,97.04142813039923
RT07575,1.0,350401,100.0,99.8618725403181,99.99400686641876,97.449208192899,94.8641699081909,66.18873804583892,99.99514841567233,97.17694869592268
RT07575,0.5,350401,100.0,99.9997146126866,100.0,99.90753451046088,99.76341391719772,90.68438731624624,99.99514841567233,97.17694869592268
RT07575,0.25,350401,100.0,100.0,100.0,99.99486302835894,99.92494313657781,99.14440883444968,99.99514841567233,97.17694869592268
RT07575,0.125,350401,100.0,100.0,100.0,99.9997146126866,99.92922394627868,99.74686145302097,99.99514841567233,97.17694869592268
