# E_MeV_total,t_req_mm,t_lim_mm,g_mm,t_inv_mm,lambda0_mm,range_mm
2.400000,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,1.872566843780e+00,3.333333333333e-01
2.400000,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,1.872566843780e+00,3.333333333333e-01
2.400000,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,1.872566843780e+00,3.333333333333e-01
2.400000,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,1.872566843780e+00,3.333333333333e-01
2.400000,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,1.872566843780e+00,3.333333333333e-01
2.400000,2.000000000000e-06,2.000000000000e-06,1.999998931981e-06,2.000000000000e-06,1.872566843780e+00,3.333333333333e-01
2.400000,5.000000000000e-06,5.000000000000e-06,4.999993324719e-06,5.000000000000e-06,1.872566843780e+00,3.333333333333e-01
2.400000,1.000000000000e-05,1.000000000000e-05,9.999973298728e-06,1.000000000000e-05,1.872566843780e+00,3.333333333333e-01
2.400000,1.000000000000e-04,1.000000000000e-04,9.999732991597e-05,1.000000000000e-04,1.872566843780e+00,3.333333333333e-01
2.400000,1.000000000000e-03,1.000000000000e-03,9.997330343592e-04,1.000000000000e-03,1.872566843780e+00,3.333333333333e-01
2.400000,5.000000000000e-03,5.000000000000e-03,4.993330608242e-03,5.000000000000e-03,1.872566843780e+00,3.333333333333e-01
2.400000,1.000000000000e-02,1.000000000000e-02,9.973346150778e-03,1.000000000000e-02,1.872566843780e+00,3.333333333333e-01
2.400000,2.500000000000e-02,2.500000000000e-02,2.482956499214e-02,2.500000000000e-02,1.872566843780e+00,3.333333333333e-01
2.400000,5.000000000000e-02,5.000000000000e-02,4.930298165013e-02,5.000000000000e-02,1.872566843780e+00,3.333333333333e-01
2.400000,1.000000000000e-01,1.000000000000e-01,9.707408765389e-02,1.000000000000e-01,1.872566843780e+00,3.333333333333e-01
2.400000,2.500000000000e-01,2.500000000000e-01,2.276922499615e-01,2.500000000000e-01,1.872566843780e+00,3.333333333333e-01
2.400000,5.000000000000e-01,3.333333333333e-01,2.829633699670e-01,3.333333333333e-01,1.872566843780e+00,3.333333333333e-01
2.400000,1.000000000000e+00,3.333333333333e-01,2.829633699670e-01,3.333333333333e-01,1.872566843780e+00,3.333333333333e-01
2.400000,1.666666666667e-01,1.666666666667e-01,1.579045742804e-01,1.666666666667e-01,1.872566843780e+00,3.333333333333e-01
2.400000,3.000000000000e-01,3.000000000000e-01,2.641822519252e-01,3.000000000000e-01,1.872566843780e+00,3.333333333333e-01
2.400000,3.333333333333e-01,3.333333333333e-01,2.829633699670e-01,3.333333333333e-01,1.872566843780e+00,3.333333333333e-01
6.000000,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,3.469609717255e+02,8.333333333333e-01
6.000000,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,3.469609717255e+02,8.333333333333e-01
6.000000,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,3.469609717255e+02,8.333333333333e-01
6.000000,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,3.469609717255e+02,8.333333333333e-01
6.000000,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,3.469609717255e+02,8.333333333333e-01
6.000000,2.000000000000e-06,2.000000000000e-06,1.999999994236e-06,2.000000000000e-06,3.469609717255e+02,8.333333333333e-01
6.000000,5.000000000000e-06,5.000000000000e-06,4.999999963973e-06,5.000000000000e-06,3.469609717255e+02,8.333333333333e-01
6.000000,1.000000000000e-05,1.000000000000e-05,9.999999855892e-06,1.000000000000e-05,3.469609717255e+02,8.333333333333e-01
6.000000,1.000000000000e-04,1.000000000000e-04,9.999998558916e-05,1.000000000000e-04,3.469609717255e+02,8.333333333333e-01
6.000000,1.000000000000e-03,1.000000000000e-03,9.999985589043e-04,1.000000000000e-03,3.469609717255e+02,8.333333333333e-01
6.000000,5.000000000000e-03,5.000000000000e-03,4.999963973053e-03,5.000000000000e-03,3.469609717255e+02,8.333333333333e-01
6.000000,1.000000000000e-02,1.000000000000e-02,9.999855892954e-03,1.000000000000e-02,3.469609717255e+02,8.333333333333e-01
6.000000,2.500000000000e-02,2.500000000000e-02,2.499909934396e-02,2.500000000000e-02,3.469609717255e+02,8.333333333333e-01
6.000000,5.000000000000e-02,5.000000000000e-02,4.999632317360e-02,5.000000000000e-02,3.469609717255e+02,8.333333333333e-01
6.000000,1.000000000000e-01,1.000000000000e-01,9.998497695038e-02,1.000000000000e-01,3.469609717255e+02,8.333333333333e-01
6.000000,2.500000000000e-01,2.500000000000e-01,2.498992970152e-01,2.500000000000e-01,3.469609717255e+02,8.333333333333e-01
6.000000,1.250000000000e+00,8.333333333333e-01,8.313366231102e-01,8.333333333333e-01,3.469609717255e+02,8.333333333333e-01
6.000000,2.500000000000e+00,8.333333333333e-01,8.313366231102e-01,8.333333333333e-01,3.469609717255e+02,8.333333333333e-01
6.000000,4.166666666667e-01,4.166666666667e-01,4.163597428767e-01,4.166666666667e-01,3.469609717255e+02,8.333333333333e-01
6.000000,7.500000000000e-01,7.500000000000e-01,7.486614513400e-01,7.500000000000e-01,3.469609717255e+02,8.333333333333e-01
6.000000,8.333333333333e-01,8.333333333333e-01,8.313366231102e-01,8.333333333333e-01,3.469609717255e+02,8.333333333333e-01
12.000000,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,1.214391177611e+03,1.666666666667e+00
12.000000,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,1.214391177611e+03,1.666666666667e+00
12.000000,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,1.214391177611e+03,1.666666666667e+00
12.000000,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,1.214391177611e+03,1.666666666667e+00
12.000000,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,1.214391177611e+03,1.666666666667e+00
12.000000,2.000000000000e-06,2.000000000000e-06,1.999999998353e-06,2.000000000000e-06,1.214391177611e+03,1.666666666667e+00
12.000000,5.000000000000e-06,5.000000000000e-06,4.999999989707e-06,5.000000000000e-06,1.214391177611e+03,1.666666666667e+00
12.000000,1.000000000000e-05,1.000000000000e-05,9.999999958827e-06,1.000000000000e-05,1.214391177611e+03,1.666666666667e+00
12.000000,1.000000000000e-04,1.000000000000e-04,9.999999588271e-05,1.000000000000e-04,1.214391177611e+03,1.666666666667e+00
12.000000,1.000000000000e-03,1.000000000000e-03,9.999995882711e-04,1.000000000000e-03,1.214391177611e+03,1.666666666667e+00
12.000000,5.000000000000e-03,5.000000000000e-03,4.999989706806e-03,5.000000000000e-03,1.214391177611e+03,1.666666666667e+00
12.000000,1.000000000000e-02,1.000000000000e-02,9.999958827259e-03,1.000000000000e-02,1.214391177611e+03,1.666666666667e+00
12.000000,2.500000000000e-02,2.500000000000e-02,2.499974267117e-02,2.500000000000e-02,1.214391177611e+03,1.666666666667e+00
12.000000,5.000000000000e-02,5.000000000000e-02,4.999897069172e-02,5.000000000000e-02,1.214391177611e+03,1.666666666667e+00
12.000000,1.000000000000e-01,1.000000000000e-01,9.999579792005e-02,1.000000000000e-01,1.214391177611e+03,1.666666666667e+00
12.000000,2.500000000000e-01,2.500000000000e-01,2.499728761197e-01,2.500000000000e-01,1.214391177611e+03,1.666666666667e+00
12.000000,2.500000000000e+00,1.666666666667e+00,1.664382418602e+00,1.666666666667e+00,1.214391177611e+03,1.666666666667e+00
12.000000,5.000000000000e+00,1.666666666667e+00,1.664382418602e+00,1.666666666667e+00,1.214391177611e+03,1.666666666667e+00
12.000000,8.333333333333e-01,8.333333333333e-01,8.329824929217e-01,8.333333333333e-01,1.214391177611e+03,1.666666666667e+00
12.000000,1.500000000000e+00,1.500000000000e+00,1.498469314106e+00,1.500000000000e+00,1.214391177611e+03,1.666666666667e+00
