control,ionisation_bound,particle,material,E_total_MeV,fallback_range_mm,expected_linear_range_mm,rel_error
unbound_G4VMscModel_fallback,false,C12,Water_75eV,0.12,0.016666666666666666,0.016666666666666666,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,0.12,0.016666666666666666,0.016666666666666666,0
unbound_G4VMscModel_fallback,false,C12,G4_Cu,0.12,0.0018601190476190475,0.0018601190476190475,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,0.59999999999999998,0.083333333333333329,0.083333333333333329,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,0.59999999999999998,0.083333333333333329,0.083333333333333329,0
unbound_G4VMscModel_fallback,false,C12,G4_Cu,0.59999999999999998,0.009300595238095238,0.009300595238095238,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,2.3999999999999999,0.33333333333333331,0.33333333333333331,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,2.3999999999999999,0.33333333333333331,0.33333333333333331,0
unbound_G4VMscModel_fallback,false,C12,G4_Cu,2.3999999999999999,0.037202380952380952,0.037202380952380952,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,12,1.6666666666666665,1.6666666666666665,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,12,1.6666666666666665,1.6666666666666665,0
unbound_G4VMscModel_fallback,false,C12,G4_Cu,12,0.18601190476190477,0.18601190476190477,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,60,8.3333333333333339,8.3333333333333339,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,60,8.3333333333333339,8.3333333333333339,0
unbound_G4VMscModel_fallback,false,C12,G4_Cu,60,0.93005952380952384,0.93005952380952384,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,300,41.666666666666664,41.666666666666664,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,300,41.666666666666664,41.666666666666664,0
unbound_G4VMscModel_fallback,false,C12,G4_Cu,300,4.6502976190476186,4.6502976190476186,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,1200,166.66666666666666,166.66666666666666,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,1200,166.66666666666666,166.66666666666666,0
unbound_G4VMscModel_fallback,false,C12,G4_Cu,1200,18.601190476190474,18.601190476190474,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,3000,416.66666666666663,416.66666666666663,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,3000,416.66666666666663,416.66666666666663,0
unbound_G4VMscModel_fallback,false,C12,G4_Cu,3000,46.50297619047619,46.50297619047619,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,4800,666.66666666666663,666.66666666666663,0
unbound_G4VMscModel_fallback,false,C12,Water_75eV,4800,666.66666666666663,666.66666666666663,0
unbound_G4VMscModel_fallback,false,C12,G4_Cu,4800,74.404761904761898,74.404761904761898,0
