case,depth_mm,depth_window_mm,valley_relative_percent,GPU_only_SE_pp,peak_relative_percent,excess_as_percent_TOPAS_peak,plane_sum_relative_percent
previous_250k,20,0.25,3.8831628360641357,3.2914190222474193,-1.4352529484054188,0.20116330120125905,0.1014571926328589
previous_250k,20,2.5,4.592492228936429,1.8334687219694605,-1.280101529941835,0.23765698662177964,0.07446440744816041
previous_250k,20,10,3.899071568636603,1.3216885716667486,-1.3331890861554618,0.20235165028643443,0.07608831561947138
previous_250k,40,0.25,4.144373379360733,1.4580496468701927,-0.41630707596520544,0.2427708946880234,-0.498290765507603
previous_250k,40,2.5,3.7220927805472925,1.379923314446585,-0.44349802490560863,0.21869978469965645,-0.4476465695504195
previous_250k,40,10,2.5128745831867194,2.2647064537034054,-0.3759659067911869,0.14773145348385108,-0.23157082870670642
previous_250k,60,0.25,5.022377844639703,4.846147849840253,-1.2370591482104176,0.34741296997045684,0.2571765042005181
previous_250k,60,2.5,5.1982078952317545,5.572770972449317,-1.2871370107999103,0.36152867897838475,0.29412482609567636
previous_250k,60,10,5.22733965765434,4.070298886952361,-1.3720021936068583,0.3634262657043657,0.19105743199971936
previous_250k,80,0.25,5.211883716836252,2.9936408388046574,-1.038180611706463,0.4075067277707903,-0.4598192570448356
previous_250k,80,2.5,4.676899635270271,1.568303542153736,-0.8558117834518875,0.3649949937309399,-0.38455545276521175
previous_250k,80,10,5.016431747167149,0.9558333647552831,-0.9858669089543581,0.3922084927015932,-0.39556681177255193
previous_250k,100,0.25,14.805964841551123,3.201643644409511,-0.6864589027565038,1.2217532718123254,0.34439519781537253
previous_250k,100,2.5,13.021410526795819,2.3316304140081634,-0.7879145978150648,1.0785395340449486,0.25360853167788466
previous_250k,100,10,11.713590056746925,1.748935638092128,-0.8983241241191431,0.9688750315257286,0.22094522050897236
previous_250k,120,0.25,5.719455387933103,2.767196979905858,-1.2485323707152496,0.5221066534311809,-0.46418166208782585
previous_250k,120,2.5,5.728016055091856,2.317843960496022,-1.2359189066691645,0.5232253978879905,-0.43931899055096313
previous_250k,120,10,4.191788342658076,2.364234498336041,-0.7350703754988475,0.3928697829270556,-0.45740130647442534
highstat_1m,20,0.25,3.487311518802927,3.1970889797128454,-0.25191486593129087,0.1806566263264442,0.23747647642498038
highstat_1m,20,2.5,4.773325125735028,2.289979524455608,-0.17938479680369435,0.24701491238253692,0.2651017492265373
highstat_1m,20,10,4.044811373464996,2.1730682560968027,-0.13542268727299023,0.20991516624153167,0.2338744393638903
highstat_1m,40,0.25,5.437286833628097,2.165660918376432,-0.5085521846906471,0.31850773770748203,0.0474701227482166
highstat_1m,40,2.5,5.091717117940964,1.9591700966952508,-0.6189611832795539,0.299175088612784,0.1629171085590686
highstat_1m,40,10,4.8572722393009915,1.7612270855455887,-0.6728204063242038,0.2855581781438149,0.19168451576150325
highstat_1m,60,0.25,5.59049132710745,0.8957832055741138,-0.8834560819971138,0.3867110869839011,0.197344155645518
highstat_1m,60,2.5,5.800987298886273,0.21433122276242017,-0.829987879790528,0.40345121188025257,0.18343785162757698
